Name,Region,Address,Location
Ainslie Newsagency and Licensed Post Office,Northside,"3 Edgar St, Ainslie ACT 2602",POINT (149.14508 -35.26243)
Blackjack Kiosk,Southside,"Shop 22B, Erindale Shopping Centre, Wanniassa",POINT (149.098627 -35.403686)
Calwell Video and Post,Southside,"Shop 22, Calwell Shopping Centre, Calwell",POINT (149.114312 -35.434953)
Canberra House Newsagency,Civic,8-10 Hobart Place,POINT (149.12629 -35.27903)
Canberra Institute of Technology,Civic,"36 Constitution Avenue, Reid ACT 2601",POINT (149.137633 -35.285974)
Charnwood Newsagency,Northside,"Shop 4, FADCO Building, Charnwood Place, Charnwood",POINT (149.03407480000004 -35.2045852)
Chisholm Newsagency and Post Office,Southside,"5 Halley Street, Chisholm",POINT (149.129624 -35.414149)
Cooleman Court Newsagency,Southside,"5/26 Brierly Street, Weston",POINT (149.052864 -35.3417)
Dickson Newsagency,Northside,"6 Dickson Place, Dickson",POINT (149.1388866 -35.2502366)
EzyMart,Civic,"Jolimont Centre, 65 Northbourne Ave, Canberra ACT 2601",POINT (149.128969 -35.277689)
Gungahlin Newsagency,Northside,"Shop 12, 33 Hibberson Street, Gungahlin",POINT (149.134114 -35.185216)
Gungahlin Post Office,Northside,"46-50 Hibberson Street, Gungahlin",POINT (149.136877 -35.186078)
Hawker Newsagency,Northside,"Shop 2 Hawker Place, Hawker",POINT (149.0435153 -35.2431766)
Jamison Centre Newsagency,Northside,"Shop 3 & 4, 39-43 Bowman Street, Macquarie",POINT (149.072889 -35.252313)
Kambah News Agency,Southside,"13/5 Primmer Ct, Kambah ACT 2902",POINT (149.057705 -35.379983)
Kingston Newsagency,Southside,"66 Giles Street, Kingston",POINT (149.141241 -35.315108)
Kippax Fair Newsagency,Northside,"25 Hardwick Crescent, Holt ACT 2615",POINT (149.019849 -35.222364)
Lanyon Newsagency,Southside,"Shop 18, Lanyon Market Place, Conder",POINT (149.09284 -35.45745)
Manuka Newsagency,Southside,"38 Franklin Street, Manuka",POINT (149.13274 -35.319892)
NewsXpress Belconnen,Northside,"Shop 114, Level 1, Westfield Belconnen, Belconnen",POINT (149.066786 -35.2382717)
NewsXpress Woden,Southside,"Shop L66 Westfield Woden, Woden",POINT (149.086637 -35.346323)
Nextra Hyperdome,Southside,"Shop 15A, Tuggeranong Hyperdome, Tuggeranong",POINT (149.0672421 -35.4167587)
Nextra/Newsfront Newsagency,Northside,"Shop 50A Westfield Belconnen, Belconnen",POINT (149.0655255 -35.2383112)
Southlands Newsagency,Southside,"Shop 6, Southlands Shopping Centre, Mawson",POINT (149.094781 -35.364687)
Supa24 Convenience,Civic,"2 Mort Street, City",POINT (149.130814 -35.278412)
Supanews,Civic,"EG11, Canberra Centre, Bunda Street, City",POINT (149.1331547 -35.2782666)
The Barrow,Civic,"146/2 Akuna Street, City",POINT (149.132541 -35.282206)
Thistle Kiosk,Southside,"Westfield Woden Marketplace (Opposite Coles), Woden",POINT (149.08534500000002 -35.346579)
University of Canberra,Northside,"University Drive, Bruce ACT 2617",POINT (149.0841085 -35.2381785)
Wanniassa Lotteries and Tobacco Station,Waniassa,2/12 Sangster Place,POINT (149.08542 -35.39055)
Evatt Newsagency,Evatt,"Shop 2, Heydon Place",POINT (149.07347 -35.20901)
Braddon Newsagency,Braddon,2/18 Lonsdale Street,POINT (149.13294 -35.27358)
Buddy's Convenience Store Canberra,City,161 London Circuit,POINT (149.13109 -35.28007)
Deakin Post Office and Newsagency,Deakin,4 Duff Place,POINT (149.108 -35.31471)
Red Hill LPO,Red Hill,2 Duyfken Place,POINT (149.13114 -35.34116)
Curtin Newsagency,Curtin,38 Curtin Place,POINT (149.08271 -35.32539)
News Xpress Gifted and More Kaleen,Kaleen,"Shop 2, Kaleen Shopping Plaza",POINT (149.10354 -35.21997)
Ajijo Coombs,Coombs,"Shop 3, 1 Fairhall Street",POINT (149.03756 -35.31841)
Rivett Newsagency and Post Office,Rivett,5/2 Rivett Place,POINT (149.03637 -35.34703)
Watson Post Office,Watson,"Shop 1, Watson Place",POINT (149.15326 -35.23909)
