CRASH_ID,CRASH_DATE,CRASH_TIME,SUBURB_LOCATION,LONGITUDE,LATITUDE,INTERSECTION,MIDBLOCK,CRASH_DIRECTION,CRASH_SEVERITY,LIGHTING_CONDITION,ROAD_CONDITION,WEATHER_CONDITION,Location
1209242,17/06/2019,11:30,WESTON,149.05180491123326,-35.341393840486695,NO,YES,North / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.341393840486695, 149.05180491123326)"
1209235,15/06/2019,19:00,GIRALANG,149.09532381937305,-35.20140474557591,YES,NO,East / West bound,Injury,Dark - good street lighting,Good dry surface,Fine,"(-35.20140474557591, 149.09532381937305)"
1209213,04/06/2019,08:50,PIALLIGO,149.17272403538018,-35.29459680781376,NO,YES,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.29459680781376, 149.17272403538018)"
1209219,04/06/2019,15:20,GUNGAHLIN,149.12987626122316,-35.18470175366862,NO,YES,South / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.18470175366862, 149.12987626122316)"
1209169,24/04/2019,08:10,TURNER,149.12030231648555,-35.27282779175493,YES,NO,East / West bound,Injury,Daylight,Good dry surface,Fine,"(-35.27282779175493, 149.12030231648555)"
1207873,18/05/2019,19:30,DICKSON,149.13774125028283,-35.25057637222948,NO,YES,North bound / Unknown,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.25057637222948, 149.13774125028283)"
1209172,12/06/2019,11:11,FORREST,149.12478112526202,-35.31571448958941,YES,NO,North / West bound,Injury,Daylight,Good dry surface,Fine,"(-35.31571448958941, 149.12478112526202)"
1209177,15/06/2019,12:32,NICHOLLS,149.09579191698035,-35.17686274278893,YES,NO,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.17686274278893, 149.09579191698035)"
1209231,05/06/2019,14:37,HUGHES,149.0919937959117,-35.33922798593531,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.33922798593531, 149.0919937959117)"
1209227,05/06/2019,09:30,YARRALUMLA,149.08300563772772,-35.31272802599128,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.31272802599128, 149.08300563772772)"
1209230,05/06/2019,13:30,DICKSON,149.1363139630832,-35.25122678905505,NO,YES,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.25122678905505, 149.1363139630832)"
1209245,17/06/2019,23:10,DUNLOP,149.0229284348256,-35.1888797759718,YES,NO,East / West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.1888797759718, 149.0229284348256)"
1209215,04/06/2019,09:15,MAWSON,149.1049436979686,-35.361461267353725,NO,YES,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.361461267353725, 149.1049436979686)"
1209038,03/06/2019,15:05,PIALLIGO,149.12440663898437,-35.30749542682909,YES,NO,North bound,Property Damage Only,Daylight,Wet surface,Light rain,"(-35.30749542682909, 149.12440663898437)"
1209229,05/06/2019,13:15,PHILLIP,149.0985544415752,-35.34405401375792,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.34405401375792, 149.0985544415752)"
1209221,04/06/2019,17:30,DOWNER,149.13435305586373,-35.247822051628646,YES,NO,North bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.247822051628646, 149.13435305586373)"
1209225,05/06/2019,08:05,MACQUARIE,149.06618263198024,-35.24954969356639,NO,YES,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.24954969356639, 149.06618263198024)"
1209234,13/06/2019,02:00,GIRALANG,149.08976137432032,-35.206068132793355,NO,YES,South bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.206068132793355, 149.08976137432032)"
1209167,27/06/2018,22:30,TURNER,149.1244703602229,-35.27485173289369,NO,YES,Unknown,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.27485173289369, 149.1244703602229)"
1209174,13/06/2019,17:20,ACTON,149.12462557439895,-35.27580692196324,YES,NO,North bound,Property Damage Only,Semi-darkness,Good dry surface,Fine,"(-35.27580692196324, 149.12462557439895)"
1209168,26/03/2019,09:05,ACTON,149.1124054579413,-35.26801303094445,YES,NO,South / West bound,Injury,Daylight,Good dry surface,Fine,"(-35.26801303094445, 149.1124054579413)"
1209244,17/06/2019,16:15,PARKES,149.1456572263104,-35.29974052923724,NO,YES,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.29974052923724, 149.1456572263104)"
1209171,08/06/2019,02:47,CHISHOLM,149.12970774166814,-35.41238649375019,YES,NO,West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.41238649375019, 149.12970774166814)"
1209238,17/06/2019,08:40,ISABELLA PLAINS,149.10306554083473,-35.42126024909091,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.42126024909091, 149.10306554083473)"
1209222,04/06/2019,17:45,GOWRIE,149.10275130425975,-35.406579282204206,YES,NO,West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.406579282204206, 149.10275130425975)"
1209178,15/06/2019,12:56,FLOREY,149.04711169532672,-35.23046834269315,YES,NO,East / West bound,Injury,Daylight,Good dry surface,Fine,"(-35.23046834269315, 149.04711169532672)"
1209220,04/06/2019,15:35,RED HILL,149.12668237601287,-35.32263426176209,YES,NO,South / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32263426176209, 149.12668237601287)"
1209237,17/06/2019,08:30,LAWSON,149.07460157700964,-35.225914221245034,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.225914221245034, 149.07460157700964)"
1209217,04/06/2019,12:55,PARKES,149.13861368551485,-35.28801387242007,NO,YES,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.28801387242007, 149.13861368551485)"
1209946,26/06/2019,14:30,GREENWAY,149.06949323291877,-35.41779380515731,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.41779380515731, 149.06949323291877)"
1209223,04/06/2019,18:00,FRANKLIN,149.14709697534275,-35.20846796677219,YES,NO,East bound,Property Damage Only,Dark - poor street lighting,Good dry surface,Fine,"(-35.20846796677219, 149.14709697534275)"
1209024,30/05/2019,09:00,HUME,149.16070065171175,-35.402194667856946,NO,YES,Unknown,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.402194667856946, 149.16070065171175)"
