Property Reference,Charge Type,Gross Charge,Supplement,Small Business Relief,Charity Relief,Exemption Relief,Discretionary Relief,Additional Relief,Supporting Small Business Relief,Start Date,End Date,Company Name,Address,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,Socrata ID
UPRN00622003900094,Occupied,1386.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,VODAFONE LIMITED,"SITE (2717) AT, 39 REGENTS PARK ROAD, LONDON, NW1 7SY",528155,183744,-0.153561,51.538058,Postcode Level,"(51.538058, -0.153561)",30/10/2020 11:08:27 AM,http://opendatacommunities.org/id/london-borough-council/camden,58659
UPRN00642002800037,Occupied,16883.20,287.33,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,13/11/2010,HI SUSHI (HOLDINGS) LIMITED,"3A CAMDEN WHARF, 28 JAMESTOWN ROAD, LONDON, NW1 7BY",528573,183991,-0.147448,51.540183,Postcode Level,"(51.540183, -0.147448)",30/10/2020 11:06:56 AM,http://opendatacommunities.org/id/london-borough-council/camden,3195
UPRN00000264399003,Occupied,195720.00,5460.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2017,31/03/2018,COIN FURNITURE LTD,"BST & GND FS, 200-204 TOTTENHAM COURT ROAD, LONDON, W1T 7PL",529549,181853,-0.134168,51.520747,Postcode Level,"(51.520747, -0.134168)",30/10/2020 11:10:36 AM,http://opendatacommunities.org/id/london-borough-council/camden,136061
UPRN00937000100066,Occupied,22464.62,438.18,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,14/08/2010,ADOBE SYSTEMS EUROPE LTD,"3RD F ADAM HOUSE, 1 FITZROY SQUARE, LONDON, W1T 5HE",,,,,No spatial information available,,30/10/2020 11:07:01 AM,http://opendatacommunities.org/id/london-borough-council/camden,5879
UPRN00895343605014,Occupied,8463.81,154.00,0.00,6894.25,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,ENERGY 4 IMPACT,"5TH F, 34-36 GRAYS INN ROAD, LONDON, WC1X 8HR",531116,181726,-0.111643,51.519244,Postcode Level,"(51.519244, -0.111643)",30/10/2020 11:08:01 AM,http://opendatacommunities.org/id/london-borough-council/camden,43032
UPRN05006018319992,Occupied,35760.00,968.50,0.00,0.00,0.00,600.00,0.00,0.00,01/04/2018,31/03/2019,ROBERT DYAS LTD,"BST & GND FS, 183-185 FINCHLEY ROAD, LONDON, NW3 6LB",526368,184568,-0.178993,51.545868,Postcode Level,"(51.545868, -0.178993)",30/10/2020 11:11:36 AM,http://opendatacommunities.org/id/london-borough-council/camden,172875
UPRN01188001610034,Occupied,38577.00,751.50,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,BULB LTD T/A THE THINK TANK,"3RD FLR, 16 KIRBY STREET, LONDON, EC1N 8TS",531422,181844,-0.107191,51.520233,Postcode Level,"(51.520233, -0.107191)",30/10/2020 11:08:39 AM,http://opendatacommunities.org/id/london-borough-council/camden,66761
UPRN01046005961048,Occupied,10527.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2016,31/03/2017,ATTICMEDIA LIMITED,"3RD FLR UNIT B, COLONIAL BUILDING, 59-61 HATTON GARDEN, LONDON, EC1N 8LS",531291,181962,-0.109034,51.521324,Postcode Level,"(51.521324, -0.109034)",30/10/2020 11:10:15 AM,http://opendatacommunities.org/id/london-borough-council/camden,123985
UPRN00694009400006,Occupied,3547.68,93.93,0.00,0.00,0.00,0.00,0.00,0.00,20/02/2020,31/03/2020,PERSIAN ALMASS LTD,"94 BOUNDARY ROAD, LONDON, NW8 0RH",525941,183618,-0.185512,51.537424,Postcode Level,"(51.537424, -0.185512)",30/10/2020 11:12:22 AM,http://opendatacommunities.org/id/london-borough-council/camden,200834
UPRN01238003920024,Void (empty),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2019,31/03/2020,CINECENTRE LIMITED,"4TH FLR (RSG), 39-41 PARKER STREET, LONDON, WC2B 5PQ",530453,181327,-0.12134,51.515812,Postcode Level,"(51.515812, -0.12134)",30/10/2020 11:12:10 AM,http://opendatacommunities.org/id/london-borough-council/camden,193944
