Ticket Issue Date,Issue Time,Meter,Violation Description,Location,Department
12/12/2018,,,BIKE LANE,,
08/26/2018,,,WRNG DIRCT,,
04/04/2019,1899-12-31T11:10:00.000,MAIN-0397,METER EXP,,
08/20/2018,1899-12-31T13:55:00.000,,NO STOPPIN,,Traffic & Parking
09/18/2018,1899-12-31T09:07:00.000,,STREET CLE,,Police
08/29/2018,1899-12-31T15:27:00.000,,NO PARKING,,Traffic & Parking
10/30/2018,1899-12-31T13:24:00.000,,NO STOPPIN,,Traffic & Parking
09/20/2018,1899-12-31T09:34:00.000,,RESIDENT P,,Traffic & Parking
09/28/2018,1899-12-31T13:41:00.000,ALB-0110,METER EXP,,Traffic & Parking
10/24/2018,1899-12-31T11:00:00.000,FRAN-0306,METER EXP,,Traffic & Parking
04/11/2019,1899-12-31T23:25:00.000,,NO STOPPIN,,
10/10/2018,1899-12-31T17:05:00.000,,RESIDENT P,,Traffic & Parking
12/05/2018,1899-12-31T13:21:00.000,BOW-0033,METER EXP,,Traffic & Parking
10/17/2018,1899-12-31T17:22:00.000,,RESIDENT P,,Traffic & Parking
12/03/2018,1899-12-31T13:24:00.000,,NO STOPPIN,,Traffic & Parking
08/17/2018,1899-12-31T12:45:00.000,ROG-0009,METER EXP,,Traffic & Parking
08/17/2018,1899-12-31T13:42:00.000,LOT2-019,METER EXP,,Traffic & Parking
12/18/2018,1899-12-31T11:10:00.000,,TAXI STAND,,Traffic & Parking
01/08/2019,1899-12-31T15:55:00.000,,RESIDENT P,,Traffic & Parking
09/10/2018,1899-12-31T13:48:00.000,MAIN-0395,METER EXP,,Traffic & Parking
04/09/2019,1899-12-31T16:45:00.000,,NO STOPPIN,,
09/17/2018,1899-12-31T09:36:00.000,RBRT-0004,METER EXP,,Traffic & Parking
08/27/2018,1899-12-31T16:30:00.000,BRAT-0214,METER EXP,,Traffic & Parking
09/18/2018,1899-12-31T08:21:00.000,CHA-0013,METER EXP,,Traffic & Parking
09/13/2018,1899-12-31T08:17:00.000,LOT6-0000,METER EXP,"1587 BISHOP ALLEN DR
Cambridge, MA",Traffic & Parking
09/04/2018,1899-12-31T11:14:00.000,,NO STOPPIN,,Traffic & Parking
08/21/2018,1899-12-31T10:09:00.000,,NO STOPPIN,,Traffic & Parking
10/17/2018,1899-12-31T08:12:00.000,OSB-0003,METER EXP,,Traffic & Parking
09/05/2018,1899-12-31T14:58:00.000,PORT-0011,METER EXP,,Traffic & Parking
08/24/2018,1899-12-31T17:23:00.000,FRST-0207,METER EXP,,Traffic & Parking
10/04/2018,1899-12-31T08:26:00.000,,BUS STOP,,Traffic & Parking
10/11/2018,1899-12-31T08:19:00.000,,O/T TIME,,Traffic & Parking
11/28/2018,1899-12-31T08:58:00.000,,HHP/VETS,,Traffic & Parking
08/23/2018,1899-12-31T08:27:00.000,,STREET CLE,,
01/05/2019,1899-12-31T15:37:00.000,CHU-0000,METER EXP,,Traffic & Parking
08/25/2018,1899-12-31T17:42:00.000,GRE-0311,METER EXP,,Traffic & Parking
08/23/2018,1899-12-31T09:47:00.000,BAD-0092,METER EXP,,Traffic & Parking
11/06/2018,1899-12-31T08:47:00.000,,STREET CLE,,Police
08/27/2018,1899-12-31T16:20:00.000,,NO STOPPIN,,
09/04/2018,1899-12-31T14:23:00.000,GARD-0021,METER EXP,,Traffic & Parking
09/05/2018,1899-12-31T10:00:00.000,,STREET CLE,,Police
