StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:30:00 PM,1055363,41.56,43.72
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:28:00 PM,3045392,45.83,45.83
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:26:00 PM,4190802,41.19,41.19
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:31:00 PM,1055364,41.56,43.72
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:29:00 PM,3045393,45.83,45.83
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:27:00 PM,4190803,41.18,41.18
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:32:00 PM,1055365,41.57,43.72
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:30:00 PM,3045394,45.83,45.83
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:28:00 PM,4190804,41.17,41.17
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:33:00 PM,1055366,41.58,43.72
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:31:00 PM,3045395,45.82,45.82
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:29:00 PM,4190805,41.17,41.17
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:34:00 PM,1055367,41.58,43.72
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:32:00 PM,3045396,45.82,45.82
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:30:00 PM,4190806,41.16,41.16
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:35:00 PM,1055368,41.58,43.71
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:33:00 PM,3045397,45.82,45.82
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:31:00 PM,4190807,41.14,41.14
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:36:00 PM,1055369,41.59,43.71
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:34:00 PM,3045398,45.82,45.82
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:35:00 PM,3045399,45.82,45.82
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:32:00 PM,4190808,41.13,41.13
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:37:00 PM,1055370,41.59,43.72
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:36:00 PM,3045400,45.82,45.82
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:33:00 PM,4190809,41.11,41.11
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:37:00 PM,3045401,45.81,45.81
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:38:00 PM,1055371,41.59,43.70
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:34:00 PM,4190810,41.10,41.10
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:38:00 PM,3045402,45.81,45.81
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:39:00 PM,1055372,41.60,43.70
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:35:00 PM,4190811,41.09,41.09
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/09/2020 07:40:00 PM,1055373,41.60,43.70
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:39:00 PM,3045403,45.81,45.81
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:36:00 PM,4190812,41.07,41.07
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:37:00 PM,4190813,41.06,41.06
NE45StViaduct,POINT (-122.301929 47.66127),11/09/2020 07:26:00 PM,4196795,41.15,40.16
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/09/2020 07:38:00 PM,4190814,41.05,41.05
NE45StViaduct,POINT (-122.301929 47.66127),11/09/2020 07:27:00 PM,4196796,41.14,40.18
AuroraBridge,POINT (-122.347278 47.643174),11/09/2020 07:26:00 PM,4127380,43.21,39.80
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:10:00 PM,4156864,40.58,41.64
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 06:56:00 PM,3045360,45.96,45.96
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 06:57:00 PM,3045361,45.96,45.96
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 06:58:00 PM,3045362,45.95,45.95
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 06:59:00 PM,3045363,45.94,45.94
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:00:00 PM,3045364,45.94,45.94
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:01:00 PM,3045365,45.94,45.94
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:02:00 PM,3045366,45.93,45.93
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:03:00 PM,3045367,45.92,45.92
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:04:00 PM,3045368,45.92,45.92
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:05:00 PM,3045369,45.91,45.91
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:06:00 PM,3045370,45.91,45.91
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:07:00 PM,3045371,45.91,45.91
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:08:00 PM,3045372,45.90,45.90
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:09:00 PM,3045373,45.89,45.89
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/09/2020 07:10:00 PM,3045374,45.88,45.88
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:06:00 PM,4156860,40.61,41.59
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:07:00 PM,4156861,40.61,41.70
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:08:00 PM,4156862,40.60,41.73
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:09:00 PM,4156863,40.60,41.78
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:10:00 PM,4156864,40.58,41.64
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:11:00 PM,4156865,40.57,41.46
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:12:00 PM,4156866,40.54,41.55
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:13:00 PM,4156867,40.52,41.64
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:14:00 PM,4156868,40.53,41.69
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:15:00 PM,4156869,40.53,41.50
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:16:00 PM,4156870,40.53,41.43
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:17:00 PM,4156871,40.52,41.36
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:18:00 PM,4156872,40.49,41.25
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:19:00 PM,4156873,40.49,41.27
MagnoliaBridge,POINT (-122.387341 47.633454),11/09/2020 07:20:00 PM,4156874,40.46,41.24
