Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
15TH AV E / E REPUBLICAN ST,Aid Response,11/23/2019 03:41:00 PM,47.623102,-122.312631,POINT (-122.312631 47.623102),F190124488
4700 Sw Admiral Way,Aid Response,06/06/2019 04:45:00 AM,47.581214,-122.391903,POINT (-122.391903 47.581214),F190058688
1044 Ne 117th St,Trans to AMR,11/23/2019 03:42:00 PM,47.714008,-122.317357,POINT (-122.317357 47.714008),F190124491
1711 E Olive Way,Automatic Fire Alarm False,11/23/2019 03:43:00 PM,47.619869,-122.323072,POINT (-122.323072 47.619869),F190124489
407 Cedar St,Aid Response,11/23/2019 03:44:00 PM,47.61802,-122.347749,POINT (-122.347749 47.61802),F190124490
6th Av / Pine St,Trans to AMR,06/20/2019 12:38:00 AM,47.612136,-122.335373,POINT (-122.335373 47.612136),F190064315
1811 Eastlake Av,Auto Fire Alarm,10/12/2019 04:26:00 AM,47.618002,-122.329182,POINT (-122.329182 47.618002),F190108960
1401 2nd Av,Auto Fire Alarm,08/19/2019 07:52:00 PM,47.608292,-122.337995,POINT (-122.337995 47.608292),F190088779
318 2nd Av Et S,Aid Response,09/10/2019 01:38:00 PM,47.600194,-122.330541,POINT (-122.330541 47.600194),F190097152
2nd Av / University St,Aid Response,08/19/2019 07:56:00 PM,47.607299,-122.337087,POINT (-122.337087 47.607299),F190088780
8500 20th Av Ne,1RED 1 Unit,08/19/2019 08:00:00 PM,47.690303,-122.306854,POINT (-122.306854 47.690303),F190088781
8819 14th Av S,Aid Response,05/02/2019 01:02:00 PM,47.524577,-122.314942,POINT (-122.314942 47.524577),F190044172
107 Cherry St,Auto Fire Alarm,07/30/2019 02:40:00 PM,47.602588,-122.334202,POINT (-122.334202 47.602588),F190080686
1606 42nd Av Sw,Aid Response,07/30/2019 02:42:00 PM,47.589224,-122.384976,POINT (-122.384976 47.589224),F190080687
1727 Harbor Av Sw,Aid Response Yellow,07/30/2019 02:43:00 PM,47.588472,-122.380074,POINT (-122.380074 47.588472),F190080688
4419 Cascadia Av S,Aid Response,06/20/2019 12:26:00 AM,47.563889,-122.2828,POINT (-122.2828 47.563889),F190064311
1429 Broadway,Aid Response,06/20/2019 12:36:00 AM,47.613281,-122.320767,POINT (-122.320767 47.613281),F190064313
5800 22nd Av Nw,Auto Fire Alarm,06/20/2019 12:48:00 AM,47.670912,-122.384743,POINT (-122.384743 47.670912),F190064319
207 N 104th St,Alarm Bell,06/20/2019 01:44:00 AM,47.704367,-122.356762,POINT (-122.356762 47.704367),F190064331
5444 Delridge Way Sw,Aid Response,06/20/2019 12:51:00 AM,47.553321,-122.362969,POINT (-122.362969 47.553321),F190064320
8520 Evanston Av N,Aid Response,06/20/2019 12:51:00 AM,47.691194,-122.35131,POINT (-122.35131 47.691194),F190064321
2964 Sw Avalon Way,Auto Fire Alarm,06/20/2019 12:59:00 AM,47.569061,-122.370737,POINT (-122.370737 47.569061),F190064322
1820 BOYLSTON AV,Aid Response,06/20/2019 01:02:00 AM,47.617636,-122.323447,POINT (-122.323447 47.617636),F190064323
11 W Aloha St,Aid Response,06/30/2019 03:37:00 PM,47.627192,-122.356823,POINT (-122.356823 47.627192),F190068586
1410 E John St,Aid Response,06/20/2019 01:13:00 AM,47.61996,-122.313736,POINT (-122.313736 47.61996),F190064324
8039 14th Av Nw,Medic Response- 7 per Rule,06/20/2019 01:14:00 AM,47.687127,-122.374096,POINT (-122.374096 47.687127),F190064325
1420 N 45th St,Aid Response,06/20/2019 01:15:00 AM,47.661386,-122.34051,POINT (-122.34051 47.661386),F190064326
201 16th Av E,Auto Fire Alarm,06/20/2019 01:21:00 AM,47.619677,-122.311397,POINT (-122.311397 47.619677),F190064327
10215 Greenwood Av N,Auto Fire Alarm,06/20/2019 01:35:00 AM,47.703014,-122.355431,POINT (-122.355431 47.703014),F190064328
8201 Aurora Av N,Aid Response,06/20/2019 01:47:00 AM,47.688389,-122.344511,POINT (-122.344511 47.688389),F190064333
2411 Alaskan Way,Aid Response,06/20/2019 01:48:00 AM,47.612258,-122.35014,POINT (-122.35014 47.612258),F190064335
509 3rd Av,Auto Fire Alarm,06/20/2019 01:57:00 AM,47.602114,-122.330809,POINT (-122.330809 47.602114),F190064337
420 Valley St,Water Job Minor,06/20/2019 02:01:00 AM,47.626285,-122.348596,POINT (-122.348596 47.626285),F190064339
Sb I5 At Yesler,MVI Freeway,06/20/2019 02:07:00 AM,47.607412,-122.330402,POINT (-122.330402 47.607412),F190064340
4054 Ne 88th St,Aid Response,06/20/2019 02:44:00 AM,47.692347,-122.284587,POINT (-122.284587 47.692347),F190064347
301 Minor Av N,Aid Response,06/20/2019 03:11:00 AM,47.620814,-122.332986,POINT (-122.332986 47.620814),F190064348
10627 60th Av S,Aid Response,06/20/2019 03:19:00 AM,47.505644,-122.25832,POINT (-122.25832 47.505644),F190064349
704 Terry Av,Auto Fire Alarm,03/03/2020 10:56:00 AM,47.606755,-122.324314,POINT (-122.324314 47.606755),F200022405
401 5th Av S,Aid Response,10/22/2019 09:34:00 AM,47.599186,-122.327667,POINT (-122.327667 47.599186),F190112739
418 E Loretta Pl,Aid Response,12/04/2019 05:15:00 PM,47.619219,-122.326346,POINT (-122.326346 47.619219),F190128267
14th Av / E Union St,Aid Response,12/04/2019 05:16:00 PM,47.612917,-122.314167,POINT (-122.314167 47.612917),F190128268
3943 West Stevens Way Ne,Auto Fire Alarm,02/09/2020 02:22:00 PM,47.655314,-122.311655,POINT (-122.311655 47.655314),F200014237
7401 Rainier Av S,Aid Response,06/06/2019 05:05:00 AM,47.5359,-122.270028,POINT (-122.270028 47.5359),F190058690
1641 BELLEVUE AV,Aid Response,07/20/2019 11:35:00 AM,47.616342,-122.326788,POINT (-122.326788 47.616342),F190076644
1000 4th Av,Aid Response,07/20/2019 11:40:00 AM,47.606088,-122.332909,POINT (-122.332909 47.606088),F190076645
5th Av S / S Jackson St,Aid Response,09/21/2019 12:04:00 AM,47.599195,-122.327667,POINT (-122.327667 47.599195),F190101077
7325 Rainier Av S,Trans to AMR,06/20/2019 02:21:00 AM,47.536696,-122.270213,POINT (-122.270213 47.536696),F190064341
505 3rd Av,Auto Fire Alarm,06/20/2019 02:25:00 AM,47.602085,-122.330783,POINT (-122.330783 47.602085),F190064342
517 3rd Av,Medic Response,06/20/2019 02:27:00 AM,47.602172,-122.330863,POINT (-122.330863 47.602172),F190064343
76 Cedar St,Aid Response,06/20/2019 02:32:00 AM,47.615345,-122.351207,POINT (-122.351207 47.615345),F190064344
6802 Phinney Av N,Aid Response,05/30/2019 03:38:00 PM,47.678739,-122.354383,POINT (-122.354383 47.678739),F190056133
5th Av S / S Jackson St,Aid Response,06/06/2019 05:21:00 AM,47.599195,-122.327667,POINT (-122.327667 47.599195),F190058691
University Way Ne / Ne 45th St,Trans to AMR,06/20/2019 02:39:00 AM,47.661269,-122.31313,POINT (-122.31313 47.661269),F190064346
525 14th Av E,Medic Response,06/20/2019 02:39:00 AM,47.623391,-122.314649,POINT (-122.314649 47.623391),F190064345
4115 Brooklyn Av Ne,Alarm Bell,06/20/2019 03:20:00 AM,47.65706,-122.314396,POINT (-122.314396 47.65706),F190064350
937 N 96th St,Aid Response,06/06/2019 05:54:00 AM,47.698721,-122.34681,POINT (-122.34681 47.698721),F190058694
12520 Roosevelt Way Ne,Investigate Out Of Service,05/15/2019 08:29:00 PM,47.719745,-122.318132,POINT (-122.318132 47.719745),F190049565
5601 California Av Sw,Trans to AMR,06/06/2019 06:01:00 AM,47.552104,-122.387038,POINT (-122.387038 47.552104),F190058695
