RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,Link,Latitude,Longitude,Location1
1038228-VI,Notice of Violation,Case,,,2016-08-23,,,Initiated,112 13TH AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1038228-VI,47.60210402,-122.31474612,"112 13TH AVE
SEATTLE, WA 98122
(47.60210402, -122.31474612)"
1045324-UB,Unfit Building,Case,,,2018-10-30,,,Under Investigation,1219 S Cloverdale ST,SEATTLE,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045324-UB,47.52627875,-122.31668727,"1219 S Cloverdale ST
SEATTLE
(47.52627875, -122.31668727)"
1045643-TR,Tenant Relocation,Request,,,2018-12-21,,,Closed,123 26TH AVE E,SEATTLE,WA,98112,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045643-TR,47.61960238,-122.2988438,"123 26TH AVE E
SEATTLE, WA 98112
(47.61960238, -122.2988438)"
1045611-TR,Tenant Relocation,Request,,,2018-12-14,,,Closed,1827 25TH AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045611-TR,47.61844949,-122.30026466,"1827 25TH AVE
SEATTLE, WA 98122
(47.61844949, -122.30026466)"
001019-12CP,Complaint,Request,,,2012-01-04,,,Closed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001019-12CP,,,
1011457-VI,Notice of Violation,Case,,,2007-03-23,,,Initiated,6338 14TH AVE NE,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1011457-VI,47.67559628,-122.31291387,"6338 14TH AVE NE
SEATTLE, WA 98115
(47.67559628, -122.31291387)"
1023753-VI,Notice of Violation,Case,,,2010-09-13,,,Completed,1601 M L KING JR WAY,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1023753-VI,47.61544679,-122.2966333,"1601 M L KING JR WAY
SEATTLE, WA 98122
(47.61544679, -122.2966333)"
1002606-VI,Notice of Violation,Case,,,2004-06-21,,,Completed,8534 STONE AVE N,SEATTLE,WA,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1002606-VI,47.69144753,-122.34130561,"8534 STONE AVE N
SEATTLE, WA
(47.69144753, -122.34130561)"
1045870-TR,Tenant Relocation,Request,,,2019-02-07,,,Closed,4727 12TH AVE NE,SEATTLE,WA,98105,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045870-TR,47.66392045,-122.31552531,"4727 12TH AVE NE
SEATTLE, WA 98105
(47.66392045, -122.31552531)"
1036371-VI,Notice of Violation,Case,,,2015-12-18,,,Completed,1501 33RD AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036371-VI,47.61420338,-122.2906751,"1501 33RD AVE
SEATTLE, WA 98122
(47.61420338, -122.2906751)"
1035130-VI,Notice of Violation,Case,,,2015-07-17,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1035130-VI,,,
1012705-VI,Notice of Violation,Case,,,2007-07-09,,,Completed,4050 39TH AVE SW,SEATTLE,WA,98116,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1012705-VI,47.56693774,-122.38112979,"4050 39TH AVE SW
SEATTLE, WA 98116
(47.56693774, -122.38112979)"
1006723-TR,Tenant Relocation,Request,,,2005-10-28,,,Initiated,200 N 85TH ST,SEATTLE,WA,98103,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1006723-TR,47.69079409,-122.35642799,"200 N 85TH ST
SEATTLE, WA 98103
(47.69079409, -122.35642799)"
1001601-VI,Notice of Violation,Case,,,2004-02-26,,,Completed,153 14TH AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001601-VI,47.60285133,-122.31459319,"153 14TH AVE
SEATTLE, WA 98122
(47.60285133, -122.31459319)"
1041826-VI,Notice of Violation,Case,,,2017-11-13,,,Initiated,1618 S SPOKANE ST,SEATTLE,WA,98144,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1041826-VI,47.57209505,-122.31174072,"1618 S SPOKANE ST
SEATTLE, WA 98144
(47.57209505, -122.31174072)"
003826-18CP,Complaint,Request,,,2018-04-30,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003826-18CP,,,
