PermitNum,PermitClass,PermitClassMapped,PermitType,PermitTypeMapped,Description,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
6533432-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,8610 AURORA AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6533432-ME,47.69180139,-122.34374234,"8610 AURORA AVE N
SEATTLE, WA 98103
(47.69180139, -122.34374234)"
6111190-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6111190-SS,,,
6348872-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6348872-SS,,,
6106939-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6106939-BP,,,
6382915-SB,N/A,N/A,"Sign, Awning and Canopy",Trade,,,,,,,Closed,5221 15TH AVE NW,SEATTLE,WA,98107,O'SAGE SIGNS LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6382915-SB,47.66695987,-122.37685902,"5221 15TH AVE NW
SEATTLE, WA 98107
(47.66695987, -122.37685902)"
6186177-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,508 LAKESIDE AVE S,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6186177-ME,47.59760367,-122.28646447,"508 LAKESIDE AVE S
SEATTLE, WA 98144
(47.59760367, -122.28646447)"
6633031-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,1725 M L KING JR WAY,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6633031-RF,47.61731959,-122.29648629,"1725 M L KING JR WAY
SEATTLE, WA 98122
(47.61731959, -122.29648629)"
6117926-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6117926-CY,,,
6617628-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6617628-RF,,,
6118073-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6118073-SS,,,
