OccupancyDateTime,PaidOccupancy,BlockfaceName,SideOfStreet,SourceElementKey,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,ParkingCategory,Location
12/09/2020 08:31:00 AM,1,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,NW,35429,120,6,First Hill,,Paid Parking,POINT (-122.32922971 47.60968103)
12/11/2020 10:37:00 AM,1,MINOR AVE BETWEEN COLUMBIA ST AND MARION ST,NE,11866,120,6,First Hill,,Paid Parking,POINT (-122.32295988 47.60872645)
12/11/2020 02:10:00 PM,1,BATTERY ST BETWEEN WESTERN AVE AND 1ST AVE,NW,54305,240,5,Belltown,North,Paid Parking,POINT (-122.34830871 47.61387783)
12/11/2020 03:57:00 PM,3,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,N,12545,120,7,South Lake Union,South,Paid Parking,POINT (-122.33509668 47.6232647)
12/12/2020 03:58:00 PM,0,WALL ST BETWEEN 2ND AVE AND 3RD AVE,NW,58685,240,9,Belltown,North,Paid Parking,POINT (-122.34754004 47.61572569)
12/11/2020 01:53:00 PM,5,E PIKE ST BETWEEN 12TH AVE AND 13TH AVE,S,59966,120,10,Pike-Pine,,Paid Parking,POINT (-122.31615961 47.61403722)
12/11/2020 07:36:00 PM,2,3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,49649,120,10,Belltown,South,Paid Parking,POINT (-122.34292292 47.61348569)
12/12/2020 12:21:00 PM,0,WALL ST BETWEEN 2ND AVE AND 3RD AVE,NW,58685,240,9,Belltown,North,Paid Parking,POINT (-122.34754004 47.61572569)
12/14/2020 05:03:00 PM,1,S WELLER ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,N,66617,120,4,Chinatown/ID,Core,Paid Parking,POINT (-122.32469977 47.59758631)
12/14/2020 02:01:00 PM,1,MADISON ST BETWEEN 9TH AVE AND TERRY AVE,SE,11594,120,6,First Hill,,Paid Parking,POINT (-122.32676193 47.60857537)
12/14/2020 09:49:00 AM,4,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,SE,58086,120,4,First Hill,,Paid Parking,POINT (-122.32580847 47.61096366)
12/14/2020 12:16:00 PM,2,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,N,56073,120,4,South Lake Union,South,Paid Parking,POINT (-122.33914567 47.62212606)
12/14/2020 10:51:00 AM,2,E UNION ST BETWEEN SENECA ST AND BROADWAY,N,14949,120,4,Pike-Pine,,Paid Parking,POINT (-122.3213099 47.61304161)
12/14/2020 12:40:00 PM,4,5TH AVE BETWEEN WALL ST AND VINE ST,SW,52529,240,9,Belltown,North,Paid Parking,POINT (-122.34584433 47.61758347)
12/14/2020 05:36:00 PM,6,WESTERN AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,36101,120,7,Commercial Core,Waterfront,Paid Parking,POINT (-122.33908111 47.60597802)
12/14/2020 09:34:00 AM,2,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,W,70501,120,18,Cherry Hill,,Paid Parking,POINT (-122.30901722 47.60711882)
12/14/2020 01:14:00 PM,15,NE BOAT ST BETWEEN NE BOAT WR ST AND BROOKLYN AVE NE,SW,63126,120,20,University District,Core,Paid Parking,POINT (-122.3162868 47.65239047)
12/14/2020 07:47:00 PM,2,NE BOAT ST BETWEEN NE BOAT WR ST AND BROOKLYN AVE NE,NE,63125,120,33,University District,Core,Paid Parking,POINT (-122.31616438 47.6524982)
12/14/2020 02:23:00 PM,7,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,W,3337,240,8,Ballard,Edge,Paid Parking,POINT (-122.38482847 47.66717275)
12/14/2020 04:09:00 PM,1,BALLARD AVE NW BETWEEN NW DOCK PL AND NW IONE PL,NE,9110,240,4,Ballard,Edge,Paid Parking,POINT (-122.38119769 47.6648245)
12/14/2020 11:38:00 AM,4,15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,E,25042,240,16,University District,Edge,Paid Parking,POINT (-122.3118412 47.66219373)
12/14/2020 01:34:00 PM,3,ROOSEVELT WAY NE BETWEEN NE 43RD N ST AND NE 45TH ST,W,35237,240,6,University District,Edge,Paid Parking,POINT (-122.31780478 47.66054298)
12/14/2020 05:29:00 PM,1,CHERRY ST BETWEEN BOREN AVE AND MINOR AVE,SE,77562,120,11,First Hill,,Paid Parking,POINT (-122.32255557 47.60739467)
12/14/2020 03:58:00 PM,3,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,8617,240,4,Denny Triangle,North,Paid Parking,POINT (-122.33514821 47.61596122)
12/14/2020 07:52:00 PM,4,VINE ST BETWEEN WESTERN AVE AND 1ST AVE,SE,58614,240,6,Belltown,North,Paid Parking,POINT (-122.35000368 47.61488386)
12/14/2020 05:41:00 PM,1,CHERRY ST BETWEEN BOREN AVE AND MINOR AVE,SE,77562,120,11,First Hill,,Paid Parking,POINT (-122.32255557 47.60739467)
12/14/2020 10:42:00 AM,1,SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,12953,120,10,First Hill,,Restricted Parking Zone,POINT (-122.32463043 47.61203512)
12/14/2020 01:06:00 PM,4,FREMONT AVE N BETWEEN FREMONT PL N AND N 36TH ST,W,33273,120,6,Fremont,,Paid Parking,POINT (-122.34999529 47.65097205)
12/14/2020 06:00:00 PM,2,E PIKE ST BETWEEN BROADWAY AND 10TH AVE,N,37137,120,7,Pike-Pine,,Paid Parking,POINT (-122.32006021 47.61415756)
