Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count
General Contractor,YIN ELECTRIC LTD,,346200109-002,ISSUED,10/22/2020 12:00:00 AM,11/06/2021 12:00:00 AM,,5200,Garneau,Ward 8,,,,1
General Contractor,QIN LAO 888 ENTERPRISES,,373999252-002,ISSUED,10/06/2020 12:00:00 AM,10/05/2021 12:00:00 AM,,5452,MacEwan,Ward 9,,,,1
General Contractor,JAN PRO OF EDMONTON,,357197427-002,ISSUED,03/10/2020 12:00:00 AM,03/09/2021 12:00:00 AM,,6680,Satoo,Ward 11,,,,1
General Contractor,HOP TO IT MAIDS,,90929868-002,ISSUED,08/27/2020 12:00:00 AM,09/06/2021 12:00:00 AM,,4280,Lynnwood,Ward 5,,,,1
General Business,LARRY THIBODEAU,,295400683-003,ISSUED,01/03/2020 12:00:00 AM,01/15/2021 12:00:00 AM,,6360,King Edward Park,Ward 11,,,,1
General Contractor,BHANDHAL HOMESLTD.,,327410194-002,ISSUED,08/07/2020 12:00:00 AM,08/20/2021 12:00:00 AM,,2050,Belle Rive,Ward 3,,,,1
General Contractor,M & M PAINTING,,7247178-001,ISSUED,12/27/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,2130,Casselman,Ward 4,,,,1
Delivery/Transportation Services,ISTRA TRUCKING,,7256136-001,ISSUED,01/22/2020 12:00:00 AM,01/29/2021 12:00:00 AM,,3030,Baturyn,Ward 3,,,,1
General Business,GOOD FOR YOU...EH!,,352320709-002,ISSUED,01/22/2020 12:00:00 AM,01/21/2021 12:00:00 AM,,6662,Walker,Ward 12,,,,1
General Contractor,WERNZIES CONSULTING LTD,,282896552-002,ISSUED,05/13/2020 12:00:00 AM,05/27/2021 12:00:00 AM,Downtown,1020,Boyle Street,Ward 6,,,,1
General Business,RAINBOW LABELS,,361961973-002,ISSUED,05/11/2020 12:00:00 AM,12/27/2020 12:00:00 AM,,5350,Rhatigan Ridge,Ward 9,,,,1
General Business,THREAD STONE DESIGNS,,221489483-002,ISSUED,05/13/2020 12:00:00 AM,05/14/2021 12:00:00 AM,,2560,Newton,Ward 7,,,,1
Personal Service Shop,PERFECT PERSUASION NAILS AND ESTHETICS,,363021260-002,ISSUED,07/28/2020 12:00:00 AM,07/27/2021 12:00:00 AM,,4750,Rosenthal,Ward 1,,,,1
General Business,BLONDY PHOTOGRAPHY,12925 - 148 STREET NW,145328276-001,RENEWAL NOTICE,10/09/2019 12:00:00 AM,11/10/2020 12:00:00 AM,,4050,Bonaventure Industrial,Ward 2,53.587236,-113.573587,"(53.58723562952762, -113.57358661456098)",1
Restaurant or Food Service,LA BOULE PATISSERIE & BAKERY INC,8020 - 101 STREET NW,226986280-004,ISSUED,11/17/2019 12:00:00 AM,12/20/2020 12:00:00 AM,Old Strathcona,6610,Ritchie,Ward 11,53.516798,-113.491676,"(53.51679804139405, -113.49167611913784)",1
General Contractor,ROOF-EX,,111075443-002,ISSUED,05/02/2020 12:00:00 AM,05/23/2021 12:00:00 AM,,6550,Ottewell,Ward 8,,,,1
General Contractor,RJE ELECTRIC LTD.,,305385237-002,ISSUED,03/24/2020 12:00:00 AM,03/24/2021 12:00:00 AM,,5452,MacEwan,Ward 9,,,,1
General Contractor,FU HUI,,231663342-002,ISSUED,02/11/2020 12:00:00 AM,02/26/2021 12:00:00 AM,,2700,Schonsee,Ward 3,,,,1
Vehicle Sales/Rental,1579064 ALBERTA LTD,,134662967-002,ISSUED,08/17/2020 12:00:00 AM,08/17/2021 12:00:00 AM,,6790,Wild Rose,Ward 12,,,,1
Vehicle Sales/Rental,1779949 ALBERTA LTD,,220060954-002,RENEWAL NOTICE,12/15/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6444,Laurel,Ward 12,,,,1
