Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
1007,12/04/2020 12:00:00 AM,12/10/2020 12:00:00 AM,01/04/2021 12:00:00 AM,Current,Candy Cane Lane 2020,148 Street NW,92 Avenue NW,100 Avenue NW,Travel Delays,3 Weeks,"All-Way Stops will be installed at 148 St/95 Ave, 148 St/96 Ave, 148 St/98 Ave . Parking restricted daily 5PM to Midnight on East side of 148 St; 100 Ave to 92 Avenue, and South side of 99 Ave; 149 St to 148 St, and North side of 92 Ave; 148 St to 147 St.",Candy Cane Lane 2020,Construction,Northwest,Road,POINT (-113.576269335157 53.539265058271)
1007,12/04/2020 12:00:00 AM,12/10/2020 12:00:00 AM,01/04/2021 12:00:00 AM,Current,Candy Cane Lane 2020,148 Street NW,92 Avenue NW,100 Avenue NW,Travel Delays,3 Weeks,"All-Way Stops will be installed at 148 St/95 Ave, 148 St/96 Ave, 148 St/98 Ave . Parking restricted daily 5PM to Midnight on East side of 148 St; 100 Ave to 92 Avenue, and South side of 99 Ave; 149 St to 148 St, and North side of 92 Ave; 148 St to 147 St.",Candy Cane Lane 2020,Construction,Northwest,Road,POINT (-113.57619548435 53.525736194229)
933,11/03/2020 12:00:00 AM,11/13/2020 12:00:00 AM,12/20/2020 12:00:00 AM,REVISED,River Valley Road WB Closure,River Valley Road NW,105 Street NW,Fortway Drive NW,Directional Closure,5 Weeks,"Starts Fri, Nov 13th at 9am. River Valley Rd Westbound will be closed from 105 St to aprprox 100 meters west of Fortway Dr. Detour using other routes.",Waterline Construction,Construction,Central,Road,POINT (-113.501079976098 53.530575546534)
933,11/03/2020 12:00:00 AM,11/13/2020 12:00:00 AM,12/20/2020 12:00:00 AM,REVISED,River Valley Road WB Closure,River Valley Road NW,105 Street NW,Fortway Drive NW,Directional Closure,5 Weeks,"Starts Fri, Nov 13th at 9am. River Valley Rd Westbound will be closed from 105 St to aprprox 100 meters west of Fortway Dr. Detour using other routes.",Waterline Construction,Construction,Central,Road,POINT (-113.513217598302 53.531970463001)
20,01/03/2020 12:00:00 AM,03/02/2017 12:00:00 AM,07/30/2021 12:00:00 AM,Current,Trans Ed LRT Whitemud Dr Reduction,Whitemud Drive NW,66 Street NW,,Travel Delays,"~3 yrs, 9 mos",Reduced to two lanes per direction.,Trans Ed LRT Bridge Constructn,Construction,Southeast,Road,POINT (-113.442671754876 53.485091760176)
354,05/22/2020 12:00:00 AM,05/22/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Current,Trans Ed 83 St Closures,83 Street NW,82 Avenue NW,Argyll Road NW,Directional Closure,Periodic Nightly 9pm - 6am,Trans Ed LRT will have periodic overnight closures of sections of 83 St between 82 Av and Argyll Rd. Check their website for details. Extended end date.,LRT Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.452804313465 53.503244673955)
838,09/29/2020 12:00:00 AM,10/05/2020 12:00:00 AM,01/15/2021 12:00:00 AM,Current,Allard Way Drainage Repair,Allard Way NW,51 Avenue NW,54 Avenue NW,Directional Closure,4 Months,Allard Way at 51 Ave will be closed to Northbound traffic for a drainage repar. Please use other routes and available detours.,Allard Way Drainage Repair,Construction,Southwest,Road,POINT (-113.497627895799 53.488192280995)
838,09/29/2020 12:00:00 AM,10/05/2020 12:00:00 AM,01/15/2021 12:00:00 AM,Current,Allard Way Drainage Repair,Allard Way NW,51 Avenue NW,54 Avenue NW,Directional Closure,4 Months,Allard Way at 51 Ave will be closed to Northbound traffic for a drainage repar. Please use other routes and available detours.,Allard Way Drainage Repair,Construction,Southwest,Road,POINT (-113.497629866986 53.491339586525)
761,09/09/2020 12:00:00 AM,09/13/2020 12:00:00 AM,01/22/2021 12:00:00 AM,REVISED,Utility Tunnelling,101 Avenue NW,Ravine Drive,,Total Closure,Approximately 4 Months,Intersection of Ravine Drive and 101 Avenue will be totally closed for construction. Pedestrians will be detoured around the site on the road.,Tunnel Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.563965232317 53.54125513485)
956,11/13/2020 12:00:00 AM,11/16/2020 12:00:00 AM,10/31/2021 12:00:00 AM,Current,Hoarding,97 Street NW,102 Avenue NW,102A Avenue NW,Increased Travel Time,11 Months,"Starts Monday Nov 16, 2020 until Oct 31, 2021. West sidewalk and curb lane along 97 St SBD, 102 Ave - 102A Ave closed due to Winspear Center Expansion project. Pedestrians must detour using the east sidewalk. 97 St SBD reduced to single lane.",Winspear Center Project,Construction,Central,Road and Sidewalk,POINT (-113.486191224854 53.544007342293)
