Row ID,Station Number,Station Description,Latitude,Longitude,Station Location,Date and Time,Water Level (m),Water Flow (cu meter per sec)
05DA009-20200428050000,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:00:00 AM,0.3480,-1.0000
05DA009-20200428050500,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:05:00 AM,0.3460,-1.0000
05DA009-20200428051000,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:10:00 AM,0.3460,-1.0000
05DA009-20200428051500,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:15:00 AM,0.3460,-1.0000
05DA009-20200428052000,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:20:00 AM,0.3460,-1.0000
05DA009-20200428052500,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:25:00 AM,0.3460,-1.0000
05DA009-20200428053000,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:30:00 AM,0.3480,-1.0000
05DA009-20200428053500,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:35:00 AM,0.3470,-1.0000
05DA009-20200428054000,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:40:00 AM,0.3440,-1.0000
05DA009-20200428054500,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:45:00 AM,0.3470,-1.0000
05DA009-20200428055000,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:50:00 AM,0.3470,-1.0000
05DA009-20200428055500,05DA009,North Saskatchewan River at Whirlpool Point,52.00119,-116.47093,"(52.00119, -116.47093)",04/28/2020 05:55:00 AM,0.3480,-1.0000
