"YEAR";"MONTH_NUMBER";"MONTH";"REPORT_PERIOD";"NEIGHBOURHOOD";"NEIGHBOURHOOD_ID";"COMPLAINT";"INITIATED_BY";"STATUS";"COUNT";"LATITUDE";"LONGITUDE";"LOCATION"
"2020";"5";"MAY";"MAY-2020";"Clover Bar Area, River Valley Hermitage, Canon Ridge";"2160, 2630, 2120";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2017";"5";"MAY";"MAY-2017";"Anthony Henday Mistatim, Mistatim Industrial";"4015, 4320";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2019";"7";"JULY";"JULY-2019";"Gorman, Ebbers, Anthony Henday Horse Hill";"2311, 2251, 4021";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"5";"MAY";"MAY-2019";"Gorman, Ebbers, Anthony Henday Horse Hill";"2311, 2251, 4021";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"8";"AUGUST";"AUGUST-2019";"Gorman, Ebbers, Anthony Henday Horse Hill";"2311, 2251, 4021";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2017";"10";"OCTOBER";"OCTOBER-2017";"Gorman, Ebbers, Anthony Henday Horse Hill";"2311, 2251, 4021";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"7";"JULY";"JULY-2018";"";"";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2019";"8";"AUGUST";"AUGUST-2019";"Clover Bar Area, River Valley Hermitage, Canon Ridge";"2160, 2630, 2120";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2014";"9";"SEPTEMBER";"SEPTEMBER-2014";"Trumpeter Area, Rural West Big Lake, Rampart Industrial, Starling, Cumberland";"4471, 4470, 3360, 4474, 3150";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2011";"3";"MARCH";"MARCH-2011";"";"";"Unlicensed Business";"Citizen";"Under Investigation";"2";"";"";""
"2019";"7";"JULY";"JULY-2019";"";"";"Nuisance Property";"Citizen";"Under Investigation";"1";"";"";""
"2020";"4";"APRIL";"APRIL-2020";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
