YEAR,MONTH,MONTH_NUMBER,LICENSE_DATE,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,PET_TYPE,BREED,GENDER,SPAYED_OR_NEUTERED,LATITUDE,LONGITUDE,LOCATION,COUNT,Point Location
2020,June,6,06/26/2020 12:00:00 AM,Rosslyn,3390,Dog,BORDER COLLIE,Male,Yes,53.59575774042817,-113.50428716089968,"(53.59575774042817, -113.50428716089968)",1,POINT (-113.50428716089968 53.59575774042817)
2020,February,2,02/23/2020 12:00:00 AM,Sweet Grass,5490,Dog,YORKSHIRE TERRIER,Male,Yes,53.46431590241292,-113.52756884463375,"(53.46431590241292, -113.52756884463375)",1,POINT (-113.52756884463375 53.46431590241292)
2020,November,11,11/02/2020 12:00:00 AM,Allendale,5010,Dog,POODLE (TOY),Male,Yes,53.50227700015803,-113.50482111013511,"(53.50227700015803, -113.50482111013511)",1,POINT (-113.50482111013511 53.50227700015803)
2020,June,6,06/24/2020 12:00:00 AM,Allard,5458,Dog,UNKNOWN,Male,Yes,53.401173930960695,-113.52664141392435,"(53.401173930960695, -113.52664141392435)",1,POINT (-113.52664141392435 53.401173930960695)
2020,September,9,09/28/2020 12:00:00 AM,Terra Losa,4540,Dog,DACHSHUND (MINIATURE SMOOTH HAIRED),Male,No,53.53329320017489,-113.62217806446893,"(53.53329320017489, -113.62217806446893)",1,POINT (-113.62217806446893 53.53329320017489)
2020,April,4,04/30/2020 12:00:00 AM,Lago Lindo,2450,Cat,DOMESTIC (LONG HAIR),Female,Yes,53.636039092708586,-113.48464731636797,"(53.636039092708586, -113.48464731636797)",1,POINT (-113.48464731636797 53.636039092708586)
2020,February,2,02/24/2020 12:00:00 AM,North Glenora,3310,Cat,DOMESTIC (SHORT HAIR),Male,Yes,53.554940888671084,-113.55826514897456,"(53.554940888671084, -113.55826514897456)",1,POINT (-113.55826514897456 53.554940888671084)
2020,May,5,05/26/2020 12:00:00 AM,Ekota,6200,Cat,DOMESTIC (MEDIUM HAIR),Female,Yes,53.44941007965293,-113.44233568157355,"(53.44941007965293, -113.44233568157355)",1,POINT (-113.44233568157355 53.44941007965293)
2019,December,12,12/30/2019 12:00:00 AM,Klarvatten,2440,Dog,LABRADOR RETRIEVER,Female,Yes,53.637224004755694,-113.47666510949303,"(53.637224004755694, -113.47666510949303)",1,POINT (-113.47666510949303 53.637224004755694)
2020,July,7,07/09/2020 12:00:00 AM,Michaels Park,6480,Cat,DOMESTIC (LONG HAIR),Male,Yes,53.479574887970564,-113.44621358136584,"(53.479574887970564, -113.44621358136584)",1,POINT (-113.44621358136584 53.479574887970564)
2020,February,2,02/27/2020 12:00:00 AM,Gariepy,4160,Dog,BOXER,Female,Yes,53.49359649621341,-113.62265689700894,"(53.49359649621341, -113.62265689700894)",1,POINT (-113.62265689700894 53.49359649621341)
