Event Number,Event Type Group,Event Description,Approximate Location,Neighbourhood Id,Neighbourhood Name,Dispatch Date,Dispatch Time,Dispatch Year,Dispatch Month Name,Dispatch Month Number,Dispatch Day Number,Day Of Week,Event Close Date,Event Close Time,Latitude,Longitude,Location,Count
E20046930,88,,105 AV NW / 106 AV NW,1030,CENTRAL MCDOUGALL,,,,,,,,August 17 2020,14:03:28,53.54912269924386,-113.50036756425263,"(53.54912269924386, -113.50036756425263)",1
E20029164,MD,MEDICAL,No location,3260,LAUDERDALE,May 21 2020,04:11:53,2020,MAY,05,21,Thursday,May 21 2020,05:43:50,53.58930969659059,-113.50735147604152,"(53.58930969659059, -113.50735147604152)",1
E20066084,MD,MEDICAL,No location,3111,GRIESBACH,November 19 2020,21:00:31,2020,NOVEMBER,11,19,Thursday,November 19 2020,23:50:04,53.60871154923284,-113.49284829775742,"(53.60871154923284, -113.49284829775742)",1
E20069320,AL,ALARMS,No location,5454,RUTHERFORD,December 06 2020,12:02:38,2020,DECEMBER,12,06,Sunday,December 06 2020,12:10:08,53.421409735105435,-113.51818633518792,"(53.421409735105435, -113.51818633518792)",1
E20059032,MD,MEDICAL,No location,1010,ALBERTA AVENUE,October 15 2020,11:33:49,2020,OCTOBER,10,15,Thursday,October 15 2020,14:24:16,53.57575496047557,-113.48397853253923,"(53.57575496047557, -113.48397853253923)",1
E20052484,MD,MEDICAL,119 AV NW / 34 ST NW,2010,ABBOTTSFIELD,,,,,,,,September 14 2020,01:09:08,53.5744934370281,-113.38871785951473,"(53.5744934370281, -113.38871785951473)",1
E20061812,MD,MEDICAL,No location,5330,QUEEN ALEXANDRA,October 29 2020,07:38:38,2020,OCTOBER,10,29,Thursday,October 29 2020,09:40:56,53.517918878640025,-113.49977048736916,"(53.517918878640025, -113.49977048736916)",1
E20010286,PM,PERMIT-BURNING OR OTHER,DEAD END / 95 AV NW,6310,HOLYROOD,,,,,,,,February 08 2020,20:41:03,53.53143613457642,-113.4515979299493,"(53.53143613457642, -113.4515979299493)",1
E20022054,MD,MEDICAL,No location,1170,PRINCE RUPERT,,,,,,,,April 10 2020,00:48:17,53.561167381220145,-113.5222627056826,"(53.561167381220145, -113.5222627056826)",1
E20061777,MD,MEDICAL,104 ST NW / 96 AV NW,1220,ROSSDALE,October 28 2020,23:54:17,2020,OCTOBER,10,28,Wednesday,October 29 2020,02:45:59,53.532469809377176,-113.49921477975913,"(53.532469809377176, -113.49921477975913)",1
