Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location
21361,BLUE,> 95 L/s,2012,53.44672,-113.61547,POINT (-113.61546613495766 53.44672093731793)
21370,BLUE,> 95 L/s,2012,53.44871,-113.61851,POINT (-113.61850740585614 53.44870609471034)
21356,BLUE,> 95 L/s,2012,53.47904,-113.66716,POINT (-113.66716071687016 53.479036677694936)
21371,BLUE,> 95 L/s,2012,53.44846,-113.61743,POINT (-113.61742732049919 53.448461801646246)
21366,BLUE,> 95 L/s,2012,53.44722,-113.62162,POINT (-113.621624880877 53.44722452503281)
21369,BLUE,> 95 L/s,2012,53.44843,-113.61955,POINT (-113.61954895608145 53.44842950239608)
21376,BLUE,> 95 L/s,2011,53.58645,-113.69517,POINT (-113.69517115893689 53.58644543987754)
21373,BLUE,> 95 L/s,2012,53.44790,-113.61522,POINT (-113.61521690478621 53.44789866679028)
21357,BLUE,> 95 L/s,2012,53.62273,-113.56380,POINT (-113.56380219890389 53.62273440339301)
21351,BLUE,> 95 L/s,2012,53.63664,-113.42227,POINT (-113.42227117222967 53.63664412181907)
21372,BLUE,> 95 L/s,2012,53.44813,-113.61648,POINT (-113.61647596732966 53.44813452068771)
21377,BLUE,> 95 L/s,2011,53.58613,-113.69397,POINT (-113.69396739027842 53.58612991000739)
21362,BLUE,> 95 L/s,2012,53.44741,-113.61724,POINT (-113.6172385058694 53.44741444631735)
21365,BLUE,> 95 L/s,2012,53.44658,-113.62189,POINT (-113.62189078467135 53.44657874812799)
21350,BLUE,> 95 L/s,2012,53.63665,-113.42432,POINT (-113.42432287206164 53.63664618582259)
21368,BLUE,> 95 L/s,2012,53.44813,-113.62030,POINT (-113.6203049595044 53.44813472091258)
21374,BLUE,> 95 L/s,2012,53.44711,-113.38288,POINT (-113.38287627173825 53.447108228381225)
21354,BLUE,> 95 L/s,2012,53.41730,-113.43057,POINT (-113.43056628796775 53.417301351311394)
21353,BLUE,> 95 L/s,2012,53.63729,-113.42196,POINT (-113.42196265369118 53.637292506950146)
21358,BLUE,> 95 L/s,2012,53.62192,-113.56452,POINT (-113.56451667273288 53.62191945673808)
21364,BLUE,> 95 L/s,2012,53.44659,-113.62042,POINT (-113.62041762597346 53.44658963071124)
26821,BLUE,> 95 L/s,2019,53.43042,-113.40281,POINT (-113.40280552124295 53.43041792927128)
26777,BLUE,> 95 L/s,2019,53.54109,-113.43025,POINT (-113.43024892198025 53.54108927863492)
26798,BLUE,> 95 L/s,2019,53.54494,-113.47119,POINT (-113.47118760119483 53.54494253614092)
26899,BLUE,> 95 L/s,2019,53.57310,-113.48362,POINT (-113.48362194173733 53.57310275892221)
869147,BLUE,> 95 L/s,2018,53.60749,-113.40734,POINT (-113.40733812809239 53.607489997639085)
26928,BLUE,> 95 L/s,2019,53.58629,-113.33277,POINT (-113.33277462347321 53.58628856819092)
26790,BLUE,> 95 L/s,2019,53.55907,-113.57855,POINT (-113.57855456743022 53.559065270168176)
26792,BLUE,> 95 L/s,2019,53.54609,-113.51792,POINT (-113.517917935834 53.54608530270832)
26820,BLUE,> 95 L/s,2019,53.42989,-113.40254,POINT (-113.40254482832134 53.42988592158484)
51847,BLUE,> 95 L/s,2012,53.62580,-113.55532,POINT (-113.5553179921054 53.62580408968284)
26773,BLUE,> 95 L/s,2019,53.52128,-113.63698,POINT (-113.63698224737605 53.52128115592092)
26929,BLUE,> 95 L/s,2019,53.61562,-113.59099,POINT (-113.59098761579574 53.61561508229479)
26778,BLUE,> 95 L/s,2019,53.58502,-113.57398,POINT (-113.57397829321049 53.585021343087156)
26905,BLUE,> 95 L/s,2019,53.45786,-113.42819,POINT (-113.42819272316333 53.457858403611304)
42511,BLUE,> 95 L/s,2010,53.55886,-113.46646,POINT (-113.46645878368156 53.55886364963577)
26791,BLUE,> 95 L/s,2019,53.58488,-113.57148,POINT (-113.57148281499221 53.58487684322566)
26818,BLUE,> 95 L/s,2019,53.42467,-113.52000,POINT (-113.51999919204921 53.424666345513394)
27358,BLUE,> 95 L/s,2007,53.52213,-113.57264,POINT (-113.57263937735887 53.52212546674569)
26771,BLUE,> 95 L/s,2019,53.51995,-113.62373,POINT (-113.62373300677088 53.5199495729025)
26776,BLUE,> 95 L/s,2019,53.54109,-113.43139,POINT (-113.43139007661104 53.541090351581076)
26785,BLUE,> 95 L/s,2019,53.49580,-113.49942,POINT (-113.49942315611571 53.49580411893464)
17244,BLUE,> 95 L/s,2003,53.42327,-113.51610,POINT (-113.51609799585795 53.42327211446471)
2628,BLUE,> 95 L/s,1982,53.58907,-113.50422,POINT (-113.50421928352843 53.58906535247897)
9950,BLUE,> 95 L/s,1978,53.44338,-113.40583,POINT (-113.40582948555291 53.443383159097785)
809,BLUE,> 95 L/s,2005,53.51530,-113.50037,POINT (-113.50036572258237 53.515298145561054)
16962,BLUE,> 95 L/s,2002,53.45887,-113.56367,POINT (-113.56367020035904 53.45886519190629)
25676,BLUE,> 95 L/s,2018,53.57665,-113.47281,POINT (-113.47281190661892 53.57664872870381)
19681,BLUE,> 95 L/s,2010,53.40699,-113.53045,POINT (-113.5304548490939 53.40698521878268)
23973,BLUE,> 95 L/s,2016,53.40858,-113.45234,POINT (-113.45234431752084 53.40858450938048)
21779,BLUE,> 95 L/s,2013,53.42484,-113.56616,POINT (-113.56615924914915 53.424840977064626)
19593,BLUE,> 95 L/s,2007,53.41823,-113.52681,POINT (-113.52681204623858 53.418230149761484)
1131,BLACK,> 95 L/s,1973,53.56295,-113.61204,POINT (-113.61203513358869 53.5629481462894)
97,BLUE,> 95 L/s,1972,53.51493,-113.62837,POINT (-113.62837021749215 53.514932808522374)
13108,BLUE,> 95 L/s,1987,53.59918,-113.61475,POINT (-113.61475428473902 53.59918464303999)
19419,BLUE,> 95 L/s,2008,53.43665,-113.62610,POINT (-113.62609904724756 53.436647854048026)
19054,BLUE,> 95 L/s,2006,53.62684,-113.41644,POINT (-113.41643685678781 53.626843557324015)
6258,BLUE,> 95 L/s,1968,53.61233,-113.44835,POINT (-113.44834831499416 53.61233136042745)
6795,BLACK,> 95 L/s,1972,53.57516,-113.39113,POINT (-113.39112741161438 53.57516245180087)
8530,BLUE,> 95 L/s,1976,53.46093,-113.49783,POINT (-113.49783023087117 53.4609285967763)
6607,BLUE,> 95 L/s,1971,53.47446,-113.50478,POINT (-113.50478277291178 53.4744629579054)
23132,BLUE,> 95 L/s,2014,53.42576,-113.63144,POINT (-113.63143609529665 53.42576325360948)
24420,BLUE,> 95 L/s,2016,53.51666,-113.52873,POINT (-113.5287337035511 53.51665670263371)
18050,BLUE,> 95 L/s,2004,53.62933,-113.45554,POINT (-113.4555371076877 53.62932593918048)
11545,BLACK,> 95 L/s,1980,53.47721,-113.60221,POINT (-113.602209607366 53.47720639068996)
14574,BLUE,> 95 L/s,1991,53.49256,-113.65296,POINT (-113.65296438166209 53.49256060884804)
15826,BLUE,> 95 L/s,1999,53.44690,-113.53780,POINT (-113.537799103409 53.446896915614374)
21165,BLUE,> 95 L/s,2011,53.43736,-113.58656,POINT (-113.58655876683437 53.43736315011578)
2684,BLUE,> 95 L/s,2003,53.50594,-113.45190,POINT (-113.45190064052748 53.50593678105833)
9306,BLUE,> 95 L/s,1977,53.43931,-113.42442,POINT (-113.42441940971284 53.43931191940628)
3617,BLACK,> 95 L/s,2000,53.59766,-113.54278,POINT (-113.54278264331974 53.59766384565257)
16631,BLACK,> 95 L/s,2000,53.62367,-113.54275,POINT (-113.5427450439995 53.62366585220428)
9878,BLACK,> 95 L/s,1978,53.62133,-113.51302,POINT (-113.51302218517837 53.62132882587428)
6321,BLUE,> 95 L/s,1969,53.52452,-113.45830,POINT (-113.45830385550019 53.52452090350022)
24426,BLUE,> 95 L/s,2017,53.44609,-113.37744,POINT (-113.37744269664832 53.44609445004562)
1666,BLUE,> 95 L/s,1950,53.54682,-113.54574,POINT (-113.54573864177563 53.546821670654076)
2067,ORANGE,30-60 L/s,2014,53.52052,-113.44650,POINT (-113.44650477319021 53.52052011158464)
18942,BLUE,> 95 L/s,2011,53.43272,-113.59981,POINT (-113.599807267087 53.432719629393276)
6408,BLUE,> 95 L/s,1969,53.50512,-113.44112,POINT (-113.44111811286788 53.50511508793302)
6636,BLACK,> 95 L/s,1971,53.47295,-113.49890,POINT (-113.49890499423606 53.472947844705)
1321,GREEN,60-95 L/s,2006,53.51371,-113.52560,POINT (-113.52560172183993 53.51371248086397)
11613,BLUE,> 95 L/s,1981,53.51188,-113.42988,POINT (-113.42987786504185 53.5118768365263)
3388,BLACK,> 95 L/s,1988,53.58269,-113.47269,POINT (-113.47268788214741 53.58269039839534)
8457,BLUE,> 95 L/s,1976,53.50308,-113.63376,POINT (-113.63375818743482 53.503077198821806)
20075,BLUE,> 95 L/s,2011,53.41144,-113.48027,POINT (-113.48027494561282 53.411438905055654)
17921,BLUE,> 95 L/s,2004,53.60489,-113.55600,POINT (-113.55599759679374 53.604892016285376)
23319,BLUE,> 95 L/s,2014,53.51419,-113.50198,POINT (-113.50197601191908 53.5141909261827)
11643,BLUE,> 95 L/s,1981,53.45393,-113.47237,POINT (-113.47237270392836 53.4539334309855)
10576,BLUE,> 95 L/s,1979,53.45533,-113.52159,POINT (-113.52158583363729 53.455334457183426)
3174,BLUE,> 95 L/s,1988,53.59277,-113.55917,POINT (-113.55917376437677 53.59277308377708)
15964,BLUE,> 95 L/s,1998,53.45837,-113.56833,POINT (-113.56832634653857 53.45836707757003)
18983,BLUE,> 95 L/s,2006,53.55738,-113.50301,POINT (-113.50301405767097 53.557380877084206)
7110,BLUE,> 95 L/s,1973,53.53921,-113.60783,POINT (-113.607825920701 53.53921316905055)
16200,BLACK,> 95 L/s,1996,53.54752,-113.48279,POINT (-113.48279267952125 53.547521847999114)
4559,BLUE,> 95 L/s,1991,53.59050,-113.46544,POINT (-113.46543606730617 53.59050088847982)
13272,BLUE,> 95 L/s,1986,53.56607,-113.52691,POINT (-113.52690906437907 53.56606584718464)
4896,BLUE,> 95 L/s,1964,53.60351,-113.43871,POINT (-113.43871019671157 53.60350944705552)
18807,BLUE,> 95 L/s,2006,53.43829,-113.58459,POINT (-113.58458965520515 53.43828664522713)
24508,BLUE,> 95 L/s,2016,53.53228,-113.68100,POINT (-113.68100438198164 53.53227950174017)
1977,BLUE,> 95 L/s,1980,53.55823,-113.55528,POINT (-113.55527663448801 53.55822883582757)
9965,BLUE,> 95 L/s,1978,53.43835,-113.39844,POINT (-113.3984353350192 53.43834827589883)
19241,BLUE,> 95 L/s,2007,53.49039,-113.40255,POINT (-113.40255483061252 53.490388297568266)
1880,BLUE,> 95 L/s,2017,53.53511,-113.44150,POINT (-113.44150420347395 53.53510625139492)
23633,BLUE,> 95 L/s,2015,53.63436,-113.43109,POINT (-113.43109320827038 53.63435929322782)
22610,BLUE,> 95 L/s,2013,53.54468,-113.50136,POINT (-113.5013615430458 53.54467839565999)
4911,BLUE,> 95 L/s,1986,53.53760,-113.59370,POINT (-113.59369974966499 53.53759842236939)
2962,BLUE,> 95 L/s,1983,53.58995,-113.54875,POINT (-113.54875431746859 53.58995191167237)
24003,BLUE,> 95 L/s,2015,53.56120,-113.47247,POINT (-113.47246883444659 53.56119783250051)
10370,BLUE,> 95 L/s,1979,53.49343,-113.46560,POINT (-113.46560004364332 53.49343071577664)
18265,BLUE,> 95 L/s,2004,53.42025,-113.46097,POINT (-113.46096990078412 53.420248524624526)
10872,BLACK,> 95 L/s,1979,53.56898,-113.63676,POINT (-113.63675874649674 53.56897789038083)
999,BLUE,> 95 L/s,1985,53.50747,-113.51641,POINT (-113.51641238599632 53.50747268600062)
8528,BLACK,> 95 L/s,1976,53.45924,-113.50184,POINT (-113.50183974677535 53.45924221259465)
19467,BLUE,> 95 L/s,2007,53.43215,-113.56900,POINT (-113.56899517949556 53.43214712651761)
21901,BLUE,> 95 L/s,2013,53.58823,-113.31822,POINT (-113.31821739729202 53.58823000087163)
19549,BLUE,> 95 L/s,2007,53.42831,-113.60708,POINT (-113.60707860881627 53.42830830824793)
18614,BLUE,> 95 L/s,2005,53.42514,-113.47492,POINT (-113.47491936738275 53.425138559651174)
10338,BLACK,> 95 L/s,1979,53.45544,-113.40053,POINT (-113.40053133684924 53.45543564598074)
21519,BLUE,> 95 L/s,2012,53.52110,-113.69066,POINT (-113.69066067229306 53.52109764528478)
5333,BLUE,> 95 L/s,1986,53.55589,-113.58881,POINT (-113.58880713130377 53.55589086539064)
20945,BLUE,> 95 L/s,2014,53.40767,-113.48333,POINT (-113.4833344487322 53.407673202427574)
8973,BLUE,> 95 L/s,1977,53.49297,-113.62317,POINT (-113.62317461018813 53.492974257789655)
21267,BLUE,> 95 L/s,2011,53.47819,-113.67148,POINT (-113.67148147402403 53.47819191404604)
15934,BLACK,> 95 L/s,2000,53.63424,-113.47330,POINT (-113.47330411403408 53.634238307106706)
5193,BLUE,> 95 L/s,2009,53.50782,-113.58719,POINT (-113.5871915505891 53.5078191072427)
24856,BLUE,> 95 L/s,2017,53.44958,-113.66605,POINT (-113.66605357184496 53.44958147834151)
4657,ORANGE,30-60 L/s,1963,53.56953,-113.40593,POINT (-113.40592508245798 53.56953155344354)
2321,BLUE,> 95 L/s,2008,53.52836,-113.57762,POINT (-113.57762283995312 53.528363902452355)
20943,BLUE,> 95 L/s,2014,53.40942,-113.48320,POINT (-113.48319925416583 53.40941773626598)
6304,BLUE,> 95 L/s,1997,53.54338,-113.58249,POINT (-113.58248895709761 53.543383692019525)
14131,BLUE,> 95 L/s,1989,53.44436,-113.41637,POINT (-113.41637199487462 53.44436310453449)
1682,GREEN,60-95 L/s,2014,53.56719,-113.42087,POINT (-113.42087229984668 53.56718729878935)
17955,BLUE,> 95 L/s,2004,53.61272,-113.51147,POINT (-113.51147491507581 53.61271633836441)
12614,BLACK,> 95 L/s,2019,53.60580,-113.54106,POINT (-113.54105613113757 53.605797759090095)
16264,BLUE,> 95 L/s,1999,53.48345,-113.65156,POINT (-113.65155992300582 53.4834509874142)
2129,BLACK,> 95 L/s,2019,53.52763,-113.45505,POINT (-113.45505425790371 53.52762916149704)
21112,BLUE,> 95 L/s,2011,53.41403,-113.52760,POINT (-113.52760352603977 53.41403131116375)
17054,BLACK,> 95 L/s,2002,53.42353,-113.46182,POINT (-113.46181713583994 53.42352992872163)
19914,BLUE,> 95 L/s,2011,53.41187,-113.47519,POINT (-113.47518859945245 53.411872088614686)
2550,BLUE,> 95 L/s,1957,53.53103,-113.57261,POINT (-113.57261237217679 53.53103150868977)
7927,BLUE,> 95 L/s,1975,53.56408,-113.60258,POINT (-113.6025833858691 53.564077261459474)
6358,BLUE,> 95 L/s,1969,53.59985,-113.47542,POINT (-113.47541765261633 53.59985388171208)
16319,BLACK,> 95 L/s,2000,53.61305,-113.55430,POINT (-113.55430461815034 53.61305006572995)
10661,BLUE,> 95 L/s,1979,53.61652,-113.51717,POINT (-113.5171663464257 53.61652366780253)
23189,BLUE,> 95 L/s,2014,53.41012,-113.46067,POINT (-113.46067471282468 53.41011866844116)
4639,GREEN,60-95 L/s,2018,53.48471,-113.52638,POINT (-113.52637663959551 53.48470513789561)
1766,BLUE,> 95 L/s,2013,53.54381,-113.50095,POINT (-113.50094732394042 53.54380650462672)
17842,BLUE,> 95 L/s,2003,53.57772,-113.54027,POINT (-113.5402688433441 53.577715663265785)
8598,BLACK,> 95 L/s,1976,53.58864,-113.38266,POINT (-113.38265828908176 53.58864204937359)
12686,BLACK,> 95 L/s,1983,53.55943,-113.63072,POINT (-113.63071734974056 53.55943431828676)
18792,BLUE,> 95 L/s,2007,53.48416,-113.67656,POINT (-113.67656454609629 53.484163564239225)
6238,BLUE,> 95 L/s,1968,53.47735,-113.53529,POINT (-113.53529398076203 53.47735483454552)
7443,BLACK,> 95 L/s,1974,53.45011,-113.44102,POINT (-113.44102133856073 53.450112317032264)
791,BLUE,> 95 L/s,2005,53.51529,-113.49740,POINT (-113.49740436204553 53.51529017993582)
23733,BLUE,> 95 L/s,2016,53.60820,-113.51456,POINT (-113.51456478431135 53.60819684635522)
16967,BLACK,> 95 L/s,2002,53.46058,-113.55964,POINT (-113.55963770539884 53.4605808035167)
25194,BLUE,> 95 L/s,2017,53.41456,-113.60002,POINT (-113.60001548003757 53.414560144981024)
9449,BLUE,> 95 L/s,2017,53.57363,-113.59599,POINT (-113.59599476202196 53.573632656233954)
4569,BLUE,> 95 L/s,1962,53.59216,-113.45741,POINT (-113.4574092314556 53.59215881543462)
22739,BLUE,> 95 L/s,2014,53.42262,-113.60328,POINT (-113.60328494188427 53.42262394312969)
21311,BLUE,> 95 L/s,2012,53.50617,-113.68454,POINT (-113.68454255735234 53.50617121989036)
22330,BLUE,> 95 L/s,2014,53.47194,-113.67428,POINT (-113.67428425047703 53.47193555189533)
5948,BLACK,> 95 L/s,1988,53.55105,-113.53671,POINT (-113.53671006424528 53.55105140955493)
12211,BLUE,> 95 L/s,1978,53.53137,-113.40802,POINT (-113.40801772694641 53.53137421270618)
7461,BLACK,> 95 L/s,1974,53.62727,-113.49844,POINT (-113.49844241075685 53.62727033382879)
23312,BLUE,> 95 L/s,2014,53.50830,-113.45478,POINT (-113.45478476600582 53.50830424630166)
16584,BLUE,> 95 L/s,2007,53.58713,-113.59006,POINT (-113.59006163453859 53.587126367747615)
19337,BLUE,> 95 L/s,2007,53.64212,-113.46921,POINT (-113.46920829813465 53.64212417786969)
10938,BLUE,> 95 L/s,2015,53.61324,-113.37638,POINT (-113.3763845646674 53.613237956894224)
6480,BLACK,> 95 L/s,1970,53.58498,-113.58217,POINT (-113.58216781225322 53.58497826100701)
22038,BLUE,> 95 L/s,2013,53.59791,-113.65392,POINT (-113.65391511145023 53.59791319707489)
8082,BLUE,> 95 L/s,1976,53.48826,-113.46614,POINT (-113.46613612026096 53.48825961052385)
23563,BLUE,> 95 L/s,2014,53.42143,-113.49675,POINT (-113.49674648883173 53.42143245422635)
24124,BLUE,> 95 L/s,2018,53.57002,-113.51743,POINT (-113.51742603114106 53.57001956925386)
19844,BLUE,> 95 L/s,2010,53.49559,-113.68068,POINT (-113.68068146914828 53.495588106423924)
3154,BLUE,> 95 L/s,1957,53.57715,-113.42752,POINT (-113.42752450294189 53.57714927738488)
17374,BLUE,> 95 L/s,2016,53.42801,-113.48009,POINT (-113.48008700477247 53.428009299219596)
21573,BLUE,> 95 L/s,2013,53.50008,-113.67917,POINT (-113.67917257850887 53.50008435211953)
20417,BLUE,> 95 L/s,2009,53.59888,-113.38891,POINT (-113.38890987495088 53.59888136170896)
4796,BLACK,> 95 L/s,1969,53.60228,-113.43970,POINT (-113.4397003204691 53.60227677597901)
7200,BLUE,> 95 L/s,1973,53.59723,-113.57400,POINT (-113.5739964422916 53.59722509193456)
1306,BLUE,> 95 L/s,2000,53.50953,-113.48588,POINT (-113.48587552521643 53.5095332360443)
6921,BLACK,> 95 L/s,1972,53.46561,-113.45040,POINT (-113.4504041399032 53.46560920616545)
16061,BLUE,> 95 L/s,1999,53.48710,-113.63566,POINT (-113.63565946756424 53.48710351051855)
1836,GREEN,60-95 L/s,2008,53.51583,-113.53415,POINT (-113.53414710970584 53.51582586349685)
16081,BLACK,> 95 L/s,1999,53.44806,-113.58737,POINT (-113.58737060451189 53.44805611951043)
8420,BLUE,> 95 L/s,1976,53.51610,-113.41012,POINT (-113.41011636934095 53.51609695173854)
16120,BLACK,> 95 L/s,1999,53.54381,-113.52304,POINT (-113.52304475764511 53.543811309703564)
9693,BLACK,> 95 L/s,1978,53.54324,-113.62626,POINT (-113.62625993074228 53.543239771924284)
24540,BLUE,> 95 L/s,2018,53.63590,-113.46234,POINT (-113.4623351502923 53.63589861927845)
20976,BLUE,> 95 L/s,2011,53.53321,-113.48609,POINT (-113.48608842642015 53.53320873036522)
14829,BLUE,> 95 L/s,1992,53.62302,-113.42865,POINT (-113.4286486448275 53.62302473607467)
26712,BLUE,> 95 L/s,2019,53.54608,-113.51668,POINT (-113.51667792594307 53.54607940841562)
24745,BLUE,> 95 L/s,2016,53.40817,-113.57956,POINT (-113.57956223234692 53.40817267106021)
449,GREEN,60-95 L/s,1990,53.55965,-113.45345,POINT (-113.45345212783506 53.55964814603458)
5918,BLUE,> 95 L/s,1967,53.47115,-113.53553,POINT (-113.53552519541094 53.47115358455432)
10730,BLACK,> 95 L/s,1979,53.60836,-113.37637,POINT (-113.3763688053589 53.60836143480527)
11859,BLUE,> 95 L/s,1981,53.45163,-113.47732,POINT (-113.47731545067599 53.45162775244564)
3296,BLUE,> 95 L/s,2003,53.55758,-113.41312,POINT (-113.41312386517855 53.55758172110756)
1717,BLUE,> 95 L/s,1989,53.50300,-113.51456,POINT (-113.51456418349713 53.50300099196651)
15462,BLACK,> 95 L/s,1995,53.56312,-113.51667,POINT (-113.51666566895926 53.563117516407885)
5643,GREEN,60-95 L/s,1965,53.59988,-113.45165,POINT (-113.45165488080302 53.599876734425166)
26113,BLUE,> 95 L/s,2018,53.44886,-113.66664,POINT (-113.66664373401127 53.44885818006787)
176,BLUE,> 95 L/s,2003,53.54931,-113.55053,POINT (-113.55052584950857 53.54931142003228)
15595,BLUE,> 95 L/s,1997,53.46016,-113.59346,POINT (-113.59345800134608 53.46016360728835)
7743,BLUE,> 95 L/s,1976,53.51007,-113.63844,POINT (-113.63844165803144 53.51006532082425)
15475,BLACK,> 95 L/s,1995,53.58752,-113.51523,POINT (-113.51522747650148 53.58751516788634)
7411,BLACK,> 95 L/s,1975,53.62680,-113.50865,POINT (-113.50864881933346 53.626800869716924)
20979,BLUE,> 95 L/s,2011,53.56446,-113.59027,POINT (-113.5902684447885 53.564456564012126)
14831,BLACK,> 95 L/s,1992,53.62213,-113.42734,POINT (-113.42734141299412 53.622126854928176)
3463,BLACK,> 95 L/s,1994,53.59922,-113.52804,POINT (-113.52804010420388 53.59922204705837)
15328,BLUE,> 95 L/s,1994,53.43765,-113.53800,POINT (-113.53799879121804 53.43765122722857)
16863,BLACK,> 95 L/s,2001,53.64110,-113.51071,POINT (-113.51070784284417 53.641103717401656)
2260,BLUE,> 95 L/s,1987,53.52757,-113.45150,POINT (-113.45150430877268 53.52756604579067)
1515,GREEN,60-95 L/s,2006,53.52633,-113.53703,POINT (-113.53703227242083 53.52633255769224)
11964,BLUE,> 95 L/s,2013,53.58900,-113.42685,POINT (-113.42684884279065 53.58899864595682)
12125,BLUE,> 95 L/s,1982,53.49654,-113.42141,POINT (-113.42141336555146 53.49653980109845)
14103,BLUE,> 95 L/s,1989,53.53560,-113.49426,POINT (-113.49426478116455 53.535603634324126)
1482,BLUE,> 95 L/s,2014,53.51424,-113.45839,POINT (-113.45839291779713 53.51423893897682)
2801,GREEN,60-95 L/s,1993,53.49898,-113.50248,POINT (-113.50247504489879 53.49898480255514)
2812,BLACK,> 95 L/s,2001,53.52084,-113.57040,POINT (-113.57039673679071 53.5208440901654)
9102,BLACK,> 95 L/s,1977,53.45666,-113.50182,POINT (-113.50181851823308 53.45666328930964)
5346,BLUE,> 95 L/s,1995,53.55728,-113.59890,POINT (-113.59890305953681 53.55727908637461)
3649,BLACK,> 95 L/s,2002,53.50075,-113.45555,POINT (-113.45555017189959 53.50075040495179)
4807,BLUE,> 95 L/s,1964,53.47512,-113.54862,POINT (-113.548619326452 53.47511525197278)
20242,BLUE,> 95 L/s,2009,53.59113,-113.66806,POINT (-113.66806296211841 53.591127056530844)
5196,GREEN,60-95 L/s,2013,53.50639,-113.58772,POINT (-113.5877176841664 53.5063907886465)
16733,BLACK,> 95 L/s,2001,53.47999,-113.37743,POINT (-113.37742772227296 53.479986050435734)
11380,BLUE,> 95 L/s,1980,53.61516,-113.47388,POINT (-113.47387861482186 53.615156415144135)
20775,BLUE,> 95 L/s,2011,53.62455,-113.55566,POINT (-113.55565507627972 53.62455410088992)
18383,BLUE,> 95 L/s,2005,53.62971,-113.51745,POINT (-113.51745162977838 53.62970908409978)
