_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
1,1,299,Annunciation,65 Avonwick Gt,North York,M3A 2M8,E,Open,"{u'type': u'Point', u'coordinates': (-79.3212678163, 43.7533508868)}"
2,2,290,All Saints,1435 Royal York Rd,Etobicoke,M9P 3A7,E,Open,"{u'type': u'Point', u'coordinates': (-79.5271629295, 43.6856179199)}"
3,3,222,St. Martin Program,55 Salisbury Ave,former Toronto,M4X 1C5,AL,Open,"{u'type': u'Point', u'coordinates': (-79.3644258453, 43.6671745304)}"
4,4,545,Bishop Marrocco-Thomas Merton,1515 Bloor St W,former Toronto,M6P 1A3,S,Open,"{u'type': u'Point', u'coordinates': (-79.4518077137, 43.6558578336)}"
5,5,549,Bishop Allen Academy,721 Royal York Rd,Etobicoke,M8Y 2T3,S,Open,"{u'type': u'Point', u'coordinates': (-79.5044646757, 43.6344279206)}"
6,6,555,St Oscar Romero,99 Humber Blvd,York,M6N 2H4,S,Open,"{u'type': u'Point', u'coordinates': (-79.4807968138, 43.680332876)}"
7,7,519,Blessed Cardinal Newman,100 Brimley Rd S,Scarborough,M1M 3X4,S,Open,"{u'type': u'Point', u'coordinates': (-79.2400642322, 43.7149222658)}"
8,8,409,Blessed Margherita of Citta Castello,108 Spenvalley Dr,North York,M3L 1Z5,E,Open,"{u'type': u'Point', u'coordinates': (-79.5079140444, 43.7436724725)}"
9,9,456,Blessed Pier Giorgio Frassati,8 Seasons Dr,Scarborough,M1X 1X4,E,Open,"{u'type': u'Point', u'coordinates': (-79.2327375191, 43.8298752035)}"
10,10,374,St Paul VI,270 Laughton Ave,former Toronto,M6N 2X8,E,Open,"{u'type': u'Point', u'coordinates': (-79.4577930288, 43.6740129018)}"
11,11,226,Blessed Sacrament,24 Bedford Park Ave,former Toronto,M5M 1H9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4039975154, 43.7274816104)}"
12,12,289,Blessed Trinity,3205 Bayview Ave,North York,M2K 1G3,E,Open,"{u'type': u'Point', u'coordinates': (-79.3918262, 43.7868975436)}"
13,13,508,Brebeuf College,211 Steeles Ave E,North York,M2M 3Y6,S,Open,"{u'type': u'Point', u'coordinates': (-79.40303816, 43.8015161658)}"
14,14,251,Canadian Martyrs,520 Plains Rd,East York,M4C 2Z1,E,Open,"{u'type': u'Point', u'coordinates': (-79.3193386362, 43.6981999204)}"
15,15,556e,Cardinal Carter Academy (Elem),36 Greenfield Ave,North York,M2N 3C8,E,Open,"{u'type': u'Point', u'coordinates': (-79.4097615824, 43.7640950103)}"
16,16,556,Cardinal Carter Academy (Sec),36 Greenfield Ave,North York,M2N 3C8,S,Open,"{u'type': u'Point', u'coordinates': (-79.4097615824, 43.7640950103)}"
17,17,419,Cardinal Leger,600 Morrish Rd,Scarborough,M1C 4Y1,E,Open,"{u'type': u'Point', u'coordinates': (-79.1757079145, 43.7930958018)}"
18,18,407,Catholic Education Centre,80 Sheppard Ave E,North York,M2N 6E8,ADM,Open,"{u'type': u'Point', u'coordinates': (-79.408095975, 43.7628440941)}"
19,19,509,Chaminade College,490 Queen's Dr,North York,M6L 1M8,S,Open,"{u'type': u'Point', u'coordinates': (-79.496059458, 43.710090959)}"
20,20,522,Dante Alighieri Academy,60 Playfair Ave,North York,M6B 2P9,S,Open,"{u'type': u'Point', u'coordinates': (-79.4583698316, 43.7100774152)}"
21,21,426,Dante Alighieri Beatrice Campus (Temp),50 Ameer Ave,North York,M6A 2L3,AL,Open,"{u'type': u'Point', u'coordinates': (-79.4413554537, 43.728972914)}"
22,22,318,D'Arcy McGee,20 Bansley Ave,York,M6E 2A2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4429115845, 43.69225563)}"
23,23,378,Epiphany of Our Lord Academy,3150 Pharmacy Ave,Scarborough,M1W 3J5,E,Open,"{u'type': u'Point', u'coordinates': (-79.328940246, 43.7989580963)}"
24,24,521,Father Henry Carr,1760 Martin Grove Rd,Etobicoke,M9V 3S4,S,Open,"{u'type': u'Point', u'coordinates': (-79.5923775468, 43.7358424757)}"
25,25,540,Father John Redmond,28 Colonel Samuel Smith Park Dr,Etobicoke,M8V 4B7,S,Open,"{u'type': u'Point', u'coordinates': (-79.5165387693, 43.5951413486)}"
26,26,391,Father Serra,111 Sun Row Dr,Etobicoke,M9P 3J3,E,Open,"{u'type': u'Point', u'coordinates': (-79.5368446799, 43.6862434283)}"
27,27,524,Francis Libermann,4640 Finch Ave E,Scarborough,M1S 4G2,S,Open,"{u'type': u'Point', u'coordinates': (-79.2743078385, 43.8073923412)}"
28,28,329,Holy Angels,65 Jutland Rd,Etobicoke,M8Z 2G6,E,Open,"{u'type': u'Point', u'coordinates': (-79.5176572602, 43.6284092591)}"
29,29,242,Holy Cross,299A Donlands Ave,East York,M4J 3R7,E,Open,"{u'type': u'Point', u'coordinates': (-79.3406763526, 43.6899875599)}"
30,30,433,Holy Child,850 Humberwood Blvd,Etobicoke,M9W 7A6,E,Open,"{u'type': u'Point', u'coordinates': (-79.6191818734, 43.7288858668)}"
31,31,215,Holy Name,690 Carlaw Ave,former Toronto,M4K 3K9,E,Open,"{u'type': u'Point', u'coordinates': (-79.3472848351, 43.677347502)}"
32,32,212,Holy Family,141 Close Ave,former Toronto,M6K 2V6,E,Open,"{u'type': u'Point', u'coordinates': (-79.4349109975, 43.6387502239)}"
33,33,225,Holy Rosary,308 Tweedsmuir Ave,York,M5P 2Y1,E,Open,"{u'type': u'Point', u'coordinates': (-79.414045331, 43.685047312)}"
34,34,282,Holy Spirit,3530 Sheppard Ave E,Scarborough,M1T 3K7,E,Open,"{u'type': u'Point', u'coordinates': (-79.3030962421, 43.7812077533)}"
35,195,338,St Victor,20 Bernadine St,Scarborough,M1P 4M2,E,Open,"{u'type': u'Point', u'coordinates': (-79.2591053695, 43.7690571563)}"
36,35,281,Immaculate Conception,23 Comay Rd,North York,M6M 2K9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4778216965, 43.6976801383)}"
37,36,272,Immaculate Heart of Mary,101 Birchmount Rd,Scarborough,M1N 3J7,E,Open,"{u'type': u'Point', u'coordinates': (-79.2624580005, 43.6961447952)}"
38,37,527,James Cardinal McGuigan,1440 Finch Ave W,North York,M3J 3G3,S,Open,"{u'type': u'Point', u'coordinates': (-79.4937985997, 43.7632895738)}"
39,38,325,James Culnan,605 Willard Ave,York,M6S 3S1,E,Open,"{u'type': u'Point', u'coordinates': (-79.4855842505, 43.661107119)}"
40,39,554,Jean Vanier,959 Midland Ave,Scarborough,M1K 4G4,S,Open,"{u'type': u'Point', u'coordinates': (-79.258414356, 43.737939927)}"
41,40,413,Josyf Cardinal Slipyj,35 West Deane Park Dr,Etobicoke,M9B 2R5,E,Open,"{u'type': u'Point', u'coordinates': (-79.5660253981, 43.6594751992)}"
42,41,510,Loretto Abbey,101 Mason Blvd,North York,M5M 3E2,S,Open,"{u'type': u'Point', u'coordinates': (-79.4106565596, 43.7412963243)}"
43,42,511,Loretto College,151 Rosemount Ave,former Toronto,M6H 2N1,S,Open,"{u'type': u'Point', u'coordinates': (-79.4432469398, 43.6757367137)}"
44,43,506,Madonna,20 Dubray Ave,North York,M3K 1V5,S,Open,"{u'type': u'Point', u'coordinates': (-79.4774808014, 43.7295150847)}"
45,44,544,Mary Ward,3200 Kennedy Rd,Scarborough,M1V 3S8,S,Open,"{u'type': u'Point', u'coordinates': (-79.3039400657, 43.8157534238)}"
46,45,561,Marshall McLuhan,1107 Avenue Rd,former Toronto,M5N 3B1,S,Open,"{u'type': u'Point', u'coordinates': (-79.409735163, 43.7076002457)}"
47,46,535,Monsignor Percy Johnson,2170 Kipling Ave,Etobicoke,M9W 4K9,S,Open,"{u'type': u'Point', u'coordinates': (-79.5720168732, 43.7206946675)}"
48,47,529,Michael Power-St Joseph,105 Eringate Dr,Etobicoke,M9C 3Z7,S,Open,"{u'type': u'Point', u'coordinates': (-79.5819840831, 43.6592899897)}"
49,48,340,Mother Cabrini,720 Renforth Dr,Etobicoke,M9C 2N9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5863080877, 43.663778108)}"
50,49,343,MSGR Fraser College - Annex Campus,700 Markham St,former Toronto,M6G 2M3,AL,Open,"{u'type': u'Point', u'coordinates': (-79.4137512495, 43.6672550542)}"
51,50,533,MSGR Fraser College - Isabella Campus,146 Isabella St,former Toronto,M4Y 1P6,AL,Open,"{u'type': u'Point', u'coordinates': (-79.3771533743, 43.6697994649)}"
