FOLDERYEAR;LicenceRSN;LicenceNumber;LicenceRevisionNumber;BusinessName;BusinessTradeName;Status;IssuedDate;ExpiredDate;BusinessType;BusinessSubType;Unit;UnitType;House;Street;City;Province;Country;PostalCode;LocalArea;NumberofEmployees;FeePaid;ExtractDate;Geom
18;3026026;18-457737;00;Celayix Inc;;Inactive;2017-12-30T00:59:54+01:00;2018-12-31;Office;Consultant;400;Unit;1090;W PENDER ST;Vancouver;BC;CA;V6E 2N7;Downtown;45;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.120233076106, 49.2871001771379]}"
18;3026031;18-457742;00;Yates & Company Enterprises Ltd;;Pending;;;Office;Manufacturer's Agent;;;1951;GLEN DRIVE;Vancouver;BC;CA;V6A 4V6;Strathcona;8;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.082533868649, 49.2673575932868]}"
18;3026032;18-457743;00;JDM Properties Inc;;Issued;2017-12-30T03:40:25+01:00;2018-12-31;Office;Development Company;;;;;Vancouver;BC;CA;;Victoria-Fraserview;1;145;2020-11-01T11:32:28+01:00;
18;3026036;18-457747;00;En'Tien Ernest Chan (En'Tien Chan);E-Bec Property Management;Pending;;;Office;Property Management;;;;;Vancouver;BC;CA;;Kerrisdale;1;;2020-11-01T11:32:28+01:00;
18;3026040;18-457751;00;John Paul Erickson (John Erickson);AWM Publishing;Issued;2018-02-21T10:57:57+01:00;2018-12-31;Office;Publisher;;;;;Vancouver;BC;CA;;Downtown;1;185;2020-11-01T11:32:28+01:00;
18;3026041;18-457752;00;(Pauline Cusack);Pacific Business & Law Institute;Issued;2017-11-29T18:08:36+01:00;2018-12-31;Office;Other;2;Unit;2246;SPRUCE ST;Vancouver;BC;CA;V6H 2P3;Fairview;6;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.127871943391, 49.2657552041993]}"
18;3026056;18-457767;00;Malachite Management Inc;;Issued;2018-01-02T21:01:04+01:00;2018-12-31;Office;Management Company;301;Unit;750;W PENDER ST;Vancouver;BC;CA;V6C 2T7;Downtown;28;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.115619724804, 49.2848045499607]}"
18;3026058;18-457769;00;Stantec Consulting Ltd;;Issued;2017-12-18T21:12:16+01:00;2018-12-31;Office;Architect;1100;Unit;111;DUNSMUIR ST;Vancouver;BC;CA;V6B 6A3;Downtown;400;162;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.110681548841, 49.2803893446208]}"
18;3026062;18-457773;00;ASK International Consulting Co Ltd;;Pending;;;Office;Administration;206;Unit;850;W HASTINGS ST;Vancouver;BC;CA;V6C 1E1;Downtown;1;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.115919426108, 49.2862337084847]}"
18;3026063;18-457774;00;Amelia Long-Yan Chan (Amelia Chan);Higher Options Consulting Services;Issued;2017-12-08T23:48:55+01:00;2018-12-31;Office;Consultant;;;;;Vancouver;BC;CA;;Fairview;1;145;2020-11-01T11:32:28+01:00;
18;3026074;18-457785;00;Integrity-Paahi Solutions Inc;;Pending;;;Office;Consultant;868;Unit;888;DUNSMUIR ST;Vancouver;BC;CA;V6C 3K4;Downtown;55;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118347310136, 49.2845427546149]}"
18;3026077;18-457788;00;Merit Consultants International Inc;;Issued;2017-11-16T17:56:56+01:00;2018-12-31;Office;Consultant;401;Unit;750;W PENDER ST;Vancouver;BC;CA;V6C 2T8;Downtown;19;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.115619724804, 49.2848045499607]}"
18;3026082;18-457793;00;Bluefin Consulting Inc;;Issued;2018-02-21T15:47:56+01:00;2018-12-31;Office;Consultant;;;;;Vancouver;BC;CA;;Mount Pleasant;1;185;2020-11-01T11:32:28+01:00;
18;3026083;18-457794;00;Pacific Dawn Asset & Property Management Services Inc;;Issued;2017-12-18T22:38:30+01:00;2018-12-31;Office;Property Management;301;Unit;609;W HASTINGS ST;Vancouver;BC;CA;V6B 4W4;Downtown;8;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.113051054166, 49.2851387435695]}"
18;3026090;18-457801;00;Metasoft Systems Inc;;Issued;2018-02-15T01:30:09+01:00;2018-12-31;Office;Administration;300;Unit;353;WATER ST;Vancouver;BC;CA;V6B 1B8;Downtown;60;185;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.110025930257, 49.2848030762725]}"
18;3026093;18-457804;00;Helio Resource Corp;;Pending;;;Office;Mining Exploration;580;Unit;625;HOWE ST;Vancouver;BC;CA;V6C 2T6;Downtown;4;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.11799800626, 49.2842309792976]}"
18;3026094;18-457805;00;Inter-Oceans Co Ltd;;Gone Out of Business;2018-05-05T00:30:17+02:00;2018-12-31;Office;Administration;B;Unit;671;MARKET HILL;Vancouver;BC;CA;V5Z 4B5;Fairview;3;185;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.119922191805, 49.2670663510306]}"
18;3026096;18-457807;00;Seaspan Ship Management Ltd;;Issued;2017-11-16T17:06:18+01:00;2018-12-31;Office;Administration;2600;Unit;200;GRANVILLE ST;Vancouver;BC;CA;V6C 1S4;Downtown;150;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.112189281814, 49.2866321702408]}"
18;3026098;18-457809;00;Matthew Cheng Architect Inc;;Issued;2018-01-04T18:54:54+01:00;2018-12-31;Office;Architect;202;Unit;670;EVANS AV;Vancouver;BC;CA;V6A 2K9;Strathcona;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.089644762382, 49.2718801078979]}"
18;3026104;18-457815;00;Speedi Gourmet Ltd;;Issued;2017-12-21T04:40:39+01:00;2018-12-31;Office;Administration;;;1695;W 5TH AV;Vancouver;BC;CA;V6J 1N5;Fairview;8;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.142985997894, 49.2673685349515]}"
18;3026105;18-457816;00;(Michael Ng);Ng Ariss Fong;Issued;2017-12-07T19:48:11+01:00;2018-12-31;Office;Barrister & Solicitor;800;Unit;555;W GEORGIA ST;Vancouver;BC;CA;V6B 1Z6;Downtown;2;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.116281926936, 49.2816138093639]}"
18;3026108;18-457819;00;Colyvan Pacific Real Estate Mgmt Services Ltd;;Cancelled;;;Office;Property Management;202;Unit;5704;BALSAM ST;Vancouver;BC;CA;V6M 4B9;Kerrisdale;22;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.161016595643, 49.2343841825624]}"
18;3026110;18-457821;00;David Simpson Architect Inc;Davidson Yuen Simpson Architects;Issued;2017-12-05T00:33:41+01:00;2018-12-31;Office;Architect;260;Unit;1770;BURRARD ST;Vancouver;BC;CA;V6J 3G7;Fairview;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.144998637116, 49.2700275085336]}"
18;3026111;18-457822;00;John B Davidson Architect Inc;Dysarchitecture;Issued;2017-12-05T00:33:41+01:00;2018-12-31;Office;Architect;260;Unit;1770;BURRARD ST;Vancouver;BC;CA;V6J 3G7;Fairview;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.144998637116, 49.2700275085336]}"
18;3026114;18-457825;00;(John Ingram);Verdant Group;Gone Out of Business;;;Office;Consultant;;;;;Vancouver;BC;CA;;Grandview-Woodland;1;;2020-11-01T11:32:28+01:00;
18;3026116;18-457827;00;Omicron Interiors Ltd;;Issued;2017-12-11T20:29:26+01:00;2018-12-31;Office;Engineer;;;595;BURRARD ST;Vancouver;BC;CA;V7X 1L4;Downtown;130;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.11972958074, 49.2861303368945]}"
18;3026117;18-457828;00;Kenstone Properties Ltd;;Issued;2017-12-07T19:48:11+01:00;2018-12-31;Office;Real Estate Development/Investment;201;Unit;1926;W BROADWAY;Vancouver;BC;CA;V6J 1Z2;Kitsilano;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.148811855179, 49.2634432358448]}"
18;3026121;18-457832;00;Alliance Grain Terminal Ltd;;Issued;2017-12-05T19:19:50+01:00;2018-12-31;Office;Administration;;;1155;STEWART ST;Vancouver;BC;CA;V6A 4H4;Strathcona;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.079491492602, 49.2864561336255]}"
18;3026125;18-457836;00;Jeffrey T K Fraser Law Corporation;;Issued;2017-11-29T21:47:50+01:00;2018-12-31;Office;Barrister & Solicitor;1710;Unit;1177;W HASTINGS ST;Vancouver;BC;CA;V6E 2L3;Downtown;1;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.121979852972, 49.2888486263507]}"
18;3026129;18-457840;00;Russia Travel Corp;Russia Travel Corp/visa universe;Issued;2017-11-16T18:31:24+01:00;2018-12-31;Office;Consultant;104;Unit;1093;W BROADWAY;Vancouver;BC;CA;V6H 1E2;Fairview;1;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.128762653801, 49.2637239611926]}"
18;3026132;18-457843;00;FWC Architecture & Urban Design Inc;;Issued;2017-12-01T20:56:40+01:00;2018-12-31;Office;Architect;;;;;Vancouver;BC;CA;;Kitsilano;1;145;2020-11-01T11:32:28+01:00;
18;3026135;18-457846;00;98 Corporate Group Resources Ltd;;Issued;2017-12-23T00:39:42+01:00;2018-12-31;Office;Administration;1610;Unit;777;DUNSMUIR ST;Vancouver;BC;CA;V7Y 1K4;Downtown;11;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.116383207944, 49.2843253122431]}"
18;3026137;18-457848;00;Robin Roy Scott (Robin Scott);Robin Scott Translations;Issued;2018-01-01T04:13:05+01:00;2018-12-31;Office;Other;;;;;Vancouver;BC;CA;;Kerrisdale;1;145;2020-11-01T11:32:28+01:00;
18;3026141;18-457852;00;(Gregory Bruce);;Issued;2017-11-16T22:57:22+01:00;2018-12-31;Office;Barrister & Solicitor;606;Unit;510;W HASTINGS ST;Vancouver;BC;CA;V6B 1L8;Downtown;1;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.112355771167, 49.2839174273775]}"
18;3026144;18-457855;00;Pottinger Gaherty Ltd;;Inactive;2017-12-05T00:25:33+01:00;2018-12-31;Office;Consultant;;;1185;W GEORGIA ST    Units 1200;Vancouver;BC;CA;V6E 4E6;Downtown;000;145;2020-11-01T11:32:28+01:00;
18;3026150;18-457861;00;Derek C Creighton Law Corporation;;Issued;2018-04-25T01:11:18+02:00;2018-12-31;Office;Barrister & Solicitor;1700;Unit;1185;W GEORGIA ST;Vancouver;BC;CA;V6E 4E6;Downtown;5;185;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.124659583362, 49.2871428552231]}"
