Index Number;Name;Address;Project Status;Occupancy Year;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;Clientele- Families;Clientele - Seniors;Clientele - Other;Operator;Local Area;URL;Geom
3;Inti Co-op;1675 Cypress St;Completed;1986;2;2;0;0;0;0;0;0;0;0;4;4;6;2;0;0;14;0;6;Inti Co-op Housing Association;Kitsilano;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=3;"{""type"": ""Point"", ""coordinates"": [-123.14821914, 49.27094519]}"
5;Sam Greer Place Co-op;1714 Maple St.;Completed;1977;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;7;0;8;Sam Greer Place Co-op Housing Association;Kitsilano;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=5;"{""type"": ""Point"", ""coordinates"": [-123.14995826, 49.27046454]}"
12;Habitat Villa;3859 W 2nd Ave;Completed;1980;0;0;4;0;0;0;0;0;0;0;0;4;29;0;0;0;37;0;0;Metro Vancouver Housing Corporation;West Point Grey;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=12;"{""type"": ""Point"", ""coordinates"": [-123.19038711, 49.27045566]}"
15;Coastview Apartments;1650 E 3rd Ave;Completed;1980;1;0;0;0;0;0;0;0;0;0;8;0;0;0;24;0;0;0;33;Coast Foundation Society;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=15;"{""type"": ""Point"", ""coordinates"": [-123.07052778, 49.26755868]}"
16;Moreland Kennedy House;2495 W 3rd Ave;Completed;1974;0;0;0;0;0;0;0;0;0;0;11;0;0;0;20;0;0;30;1;Brightside Community Homes Foundation;Kitsilano;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=16;"{""type"": ""Point"", ""coordinates"": [-123.16187563, 49.26939934]}"
17;Antkiw Court;1534 E 4th Ave;Completed;1988;0;0;0;0;0;0;0;0;0;0;0;13;6;2;0;0;21;0;0;Entre Nous Femmes Housing Society;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=17;"{""type"": ""Point"", ""coordinates"": [-123.07288057, 49.266645]}"
20;Northern Way Co-op;675 E 5th Ave;Completed;1985;3;0;0;0;0;0;0;0;0;0;13;24;19;1;0;0;44;0;16;Northern Way Co-op Housing Association;Mount Pleasant;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=20;"{""type"": ""Point"", ""coordinates"": [-123.09065341, 49.26639799]}"
21;Sunrise Co-op;1528 E 5th Ave;Completed;1987;0;2;0;0;0;0;0;0;0;0;8;16;13;0;0;0;31;0;8;Sunrise Co-op Housing Association;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=21;"{""type"": ""Point"", ""coordinates"": [-123.07336938, 49.26574527]}"
22;Rising Star Co-op;1556 E 5th Ave;Completed;1986;0;2;0;0;0;0;0;0;0;0;9;13;9;0;0;0;24;0;9;Rising Star Co-op Housing Association;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=22;"{""type"": ""Point"", ""coordinates"": [-123.07218136, 49.26573514]}"
24;Bauer Villa;1800 E 5th Ave;Completed;1976;0;0;0;0;2;0;0;0;0;0;0;0;0;0;23;0;0;0;25;BC Housing;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=24;"{""type"": ""Point"", ""coordinates"": [-123.06799095, 49.26555761]}"
25;China Creek Place;1040 E 7th Ave;Completed;1974;0;0;0;0;0;0;0;0;0;0;6;11;0;0;1;0;11;0;7;BC Housing;Mount Pleasant;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=25;"{""type"": ""Point"", ""coordinates"": [-123.08252037, 49.26400829]}"
31;Chelsea Tower - Project 7;330 E 6th Ave;Completed;1975;0;0;0;0;0;0;0;0;0;0;7;0;0;0;40;0;0;46;1;New Chelsea Society;Mount Pleasant;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=31;"{""type"": ""Point"", ""coordinates"": [-123.09804729, 49.26518737]}"
32;Carolina Court;600 E 6th Ave;Completed;1970;0;0;0;0;0;0;0;0;0;0;28;22;0;0;0;0;22;0;28;BC Housing;Mount Pleasant;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=32;"{""type"": ""Point"", ""coordinates"": [-123.09008792, 49.2649808]}"
