MAPID;NAME;CATEGORY1;CATEGORY2;ADDRESS;SHORT_DESCRIPTION;URL;URL2;URL3;Geom;Geo Local Area
GCP002;Southeast False Creek Neighbourhood Ener;City projects;Climate-Leadership;;City's first neighbourhood energy system serving the Olympic Village and soon to be Great Northern Way areas.;http://vancouver.ca/home-property-development/neighbourhood-energy-utility.aspx;;http://www.greenbuildingaudiotours.com/buildings/sefc_neighbourhood_energy_utility;"{""type"": ""Point"", ""coordinates"": [-123.114480365604, 49.2671751297035]}";Mount Pleasant
GCP008;LEED Platinum Building Certified in 2010;City projects;Green-Buildings;51 W 1st AV;City of Vancouver Housing - Net Zero Building (SEFC Parcel 9);http://www.thechallengeseries.ca/chapter-07/net-zero/;;;"{""type"": ""Point"", ""coordinates"": [-123.1046728, 49.27020319]}";Mount Pleasant
GCP011;LEED Platinum Neighbourhood Certified in;Private projects;Green-Buildings;12 Athletes Way;Southeast False Creek Neighbourhood;http://greenbuildingbrain.org/items/southeast_false_creek_olympic_village;;http://recollective.ca/projects/vancouver-olympic-village/;"{""type"": ""Point"", ""coordinates"": [-123.1053979, 49.27154122]}";Mount Pleasant
GCP012;LEED Gold Building Certified 2012;Private projects;Green-Buildings;1866 Main Mall;UBC Renew - Buchanan Complex;http://www.projectservices.lbs.ubc.ca/portfolio/renewal/buchanan-block-a.htm;;;"{""type"": ""Point"", ""coordinates"": [-123.2548825, 49.26730312]}";
GCP018;LEED Gold Building Certified 2011;Private projects;Green-Buildings;2177 Wbrook Mall;UBC Renew Friedman Building;http://recollective.ca/projects/ubc-friedman-building/;;;"{""type"": ""Point"", ""coordinates"": [-123.2460724, 49.26536007]}";
GCP019;LEED Gold for Commercial Interiors 2011;Private projects;Green-Buildings;507 W Broadway;City of Vancouver Engineering Services;http://edgesustainability.com/?portfolio=city-of-vancouver-engineering;;;"{""type"": ""Point"", ""coordinates"": [-123.1154173, 49.26336597]}";Fairview
GCP023;LEED Gold Building Certified 2010;Private projects;Green-Buildings;199 W 1st AV;SEFC Parcel 2 (Millennium Water / City of Vancouver Housing);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10522;"{""type"": ""Point"", ""coordinates"": [-123.1018564, 49.27014774]}";Mount Pleasant
GCP027;LEED Gold Building Certified 2010;Private projects;Green-Buildings;181 Athletes Way;Millennium Water - 181 Athletes Way (Parcel 4);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10514;"{""type"": ""Point"", ""coordinates"": [-123.1069329, 49.27155227]}";Mount Pleasant
GCP041;City Studio;City Studio Project;Lighter-Footprint;1800 Spyglass Place;A multi-disciplinary applied program for post-secondary students to work on Greenest City Action Plan projects;http://citystudiovancouver.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.1153227, 49.27054701]}";Fairview
GCP042;BikeLab;City Studio Project;Green-Transportation;1455 Quebec St;Spring 2013 City Studio Project - 1 of 2 bike repair stations.;http://citystudiovancouver.com/projects/bikelab-repair-stations/;;;"{""type"": ""Point"", ""coordinates"": [-123.1029187, 49.27327827]}";Downtown
GCP044;New Bike pumps;City projects;Green-Transportation;Hawks Ave. and Union St;First of 2 bike pumps installed in 2013.;http://vancouver.ca/streets-transportation/bicycle-parking-racks-and-corrals.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0875518, 49.27750791]}";Strathcona
GCP047;BiodiverCity;City Studio Project;Access-to-Nature;1800 Spyglass Pl;Spring 2013 City Studio Project - Garden of food sources for a range of pollinators;http://citystudiovancouver.com/projects/biodivercity-pollinator-garden/;;;"{""type"": ""Point"", ""coordinates"": [-123.1153869, 49.27031023]}";Fairview
GCP048;Walking Local;City Studio Project;Local-Food;Grandview-Woodlands neighbourhood;Spring 2013 City Studio Project - Grandview-Woodland signage pilot project highlighting community landmarks.;http://citystudiovancouver.com/projects/walking-local/;;;"{""type"": ""Point"", ""coordinates"": [-123.0703196, 49.26919804]}";Grandview-Woodland
GCP053;The Stoop;City Studio Project;Zero-Waste;2525 Main St;Fall 2012 City Studio Project - Creating value in waste wood.;http://citystudiovancouver.com/projects/1999/;;;"{""type"": ""Point"", ""coordinates"": [-123.101142116365, 49.2624460298107]}";Mount Pleasant
GCP054;Marpole Orphaned Spaces;City Studio Project;Access-to-Nature;Marpole neighbourhood;Fall 2012 City Studio Project - Mapping orphaned public spaces in the neighbourhood of Marpole.;http://citystudiovancouver.com/projects/marpoles-orphaned-spaces/;;;"{""type"": ""Point"", ""coordinates"": [-123.1305442, 49.21067815]}";Marpole
GCP055;VanbirdCity;City Studio Project;Access-to-Nature;1800 Spyglass Pl;Spring 2012 City Studio Project - Education program  to increase awareness about the importance of birds in Vancouver;http://citystudiovancouver.com/projects/vancouver-bird-project/;;;"{""type"": ""Point"", ""coordinates"": [-123.1163102, 49.27022462]}";Fairview
