ADDRESS,PERMIT,Permit Status,Inspection Date,Inspection Type,Inspection Result,Latitude/Longitude
10000 W SANTA MONICA BLVD,14044 10000 02293,Issued,07/20/2016,Rough-Ventilation,Partial Approval,"(34.06364, -118.41437)"
1000 S SANTA FE AVE,15016 10000 18196,Permit Finaled,07/22/2016,Smoke Detectors,Insp Cancelled,"(34.03143, -118.22981)"
3680 N BUENA PARK DR,15014 10000 04931,Issued,07/18/2016,Insulation,Approved,"(34.13745, -118.38853)"
1001 N LINDENWOOD LANE,16042 90000 14712,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.07732, -118.48578)"
2836 S ANCHOR AVE,15016 20001 17211,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.03878, -118.39963)"
2836 S ANCHOR AVE,15016 20001 17211,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.03878, -118.39963)"
5489 E KEATS ST,16042 10000 12648,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09126, -118.16077)"
4125 N PERLITA AVE #B,16016 20000 07926,Issued,07/18/2016,Drywall Nailing,Approved,"(34.12805, -118.26667)"
5744 W MANCHESTER AVE,01020 10000 02808,Issued,07/22/2016,Plumbing Verification,Insp Scheduled,"(33.95971, -118.38187)"
5924-5926 N FIGUEROA ST,16042 10000 11285,Issued,07/20/2016,Rough,Partial Approval,"(34.11074, -118.19008)"
5122 W 20TH ST,16016 90000 15961,Issued,07/20/2016,Final,Not Ready for Inspection,"(34.03975, -118.35207)"
5425 W CARLTON WAY,16044 10001 00994,Permit Finaled,07/21/2016,Inspection,Permit Finaled,"(34.10063, -118.30793)"
2111 N CAHUENGA BLVD,15020 10000 00708,Issued,07/21/2016,Masonry Wall/Backfill,Partial Approval,"(34.10889, -118.33124)"
5435 N HALBRENT AVE,16016 90000 15032,Issued,07/21/2016,ELECTRICAL-Rough,Approved,"(34.16952, -118.46511)"
3201 S HOOVER ST BLDG 8,15041 70000 16948,Issued,07/19/2016,Rough,Partial Approval,"(34.02547, -118.28503)"
11951 W COHASSET ST,16041 90000 21767,Permit Finaled,07/20/2016,Rough,Approved,"(34.20676, -118.39404)"
2171 N RIDGE DR,16042 20000 13363,Issued,07/22/2016,Rough,Insp Scheduled,"(34.10739, -118.48541)"
5215 N SYLMAR AVE,16014 20000 02916,Issued,07/20/2016,BUILDING-Rough-Frame,Partial Approval,"(34.16537, -118.44667)"
17330 W RAYEN ST,16014 20000 01810,Issued,07/22/2016,Insulation,Approved,"(34.23203, -118.51241)"
232 E 2ND ST,12010 10000 01694,Issued,07/19/2016,Drywall Nailing,Partial Approval,"(34.04956, -118.24249)"
2646 N GRIFFITH PARK BLVD,14016 10000 19893,Issued,07/22/2016,Plumbing Verification,Insp Scheduled,"(34.10629, -118.27178)"
10250 W SANTA MONICA BLVD,15016 10000 28260,Issued,07/19/2016,Wood Frame,Partial Approval,"(34.05949, -118.42045)"
9045 S LINCOLN BLVD,15046 10000 01417,Permit Finaled,07/20/2016,Final,Permit Finaled,"(33.95688, -118.41657)"
6829 N LANKERSHIM BLVD,16016 20000 01773,Issued,07/22/2016,Final,Insp Scheduled,"(34.19473, -118.38798)"
601 W ISABEL ST,15030 20000 07611,Issued,07/18/2016,Rough,Partial Approval,"(34.09011, -118.21987)"
1817 S WOOSTER ST acc bldg 2,15010 10000 02189,Issued,07/22/2016,BUILDING-Rough-Frame,Insp Scheduled,"(34.04564, -118.38436)"
1243 S OLIVE ST,13041 10000 34431,Issued,07/19/2016,Rough,Partial Approval,"(34.03859, -118.26331)"
11459 W BELLAGIO ROAD,15014 10000 05061,CofO in Progress,07/20/2016,Inspection,OK for CofO,"(34.08019, -118.46483)"
939 S FIGUEROA ST,15042 10000 24032,Issued,07/22/2016,Water Piping or Service,Insp Scheduled,"(34.04538, -118.26389)"
5105 N RADFORD AVE,15010 10000 03877,Issued,07/20/2016,Service/Power Release,Not Ready for Inspection,"(34.16349, -118.39226)"
1332 N VISTA ST,16046 90000 00594,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09546, -118.35162)"
3000 1/2 S WEST VIEW ST,16041 90000 21532,Issued,07/22/2016,Final,Insp Scheduled,"(34.02661, -118.35277)"
232 E 2ND ST,12010 10000 01694,Issued,07/20/2016,TCO Plumbing Verification,Completed (special insp),"(34.04956, -118.24249)"
5077 N LANKERSHIM BLVD #C,16042 20000 13993,Issued,07/18/2016,Water Piping or Service,Partial Approval,"(34.1626, -118.3736)"
22815 W CALIFA ST,15016 20002 18913,Permit Finaled,07/21/2016,Smoke Detectors,Approved,"(34.1775, -118.624)"
16429 W VICTORY BLVD,13010 20000 02790,Permit Expired,07/18/2016,Drywall Nailing,Partial Inspection,"(34.18682, -118.49132)"
660 S FIGUEROA ST # 1890,16016 10000 13842,Issued,07/21/2016,T-Bar Ceiling,Approved,"(34.04953, -118.25947)"
318 E 116TH ST,16041 20000 18801,Issued,07/21/2016,Final,Corrections Issued,"(33.92904, -118.26875)"
12026 W BENMORE TER,14030 30000 03588,Issued,07/21/2016,Bottom/Toe,Partial Approval,"(34.06966, -118.47588)"
6712 N SHOUP AVE,16016 90000 16331,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.19212, -118.61432)"
4968 N VINCENT AVE,16014 10000 01152,CofO in Progress,07/19/2016,CofO Issuance,CofO in Progress,"(34.13641, -118.20246)"
15030 W VENTURA BLVD,14016 20000 11432,CofO in Progress,07/20/2016,CofO Issuance,CofO in Progress,"(34.15272, -118.46063)"
11826 W BLYTHE ST,16041 90000 17225,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.21469, -118.39087)"
5223 N ALLOTT AVE,16016 20000 12256,Issued,07/19/2016,BUILDING-Rough-Frame,Cancelled,"(34.16543, -118.42829)"
11611 W MAGNOLIA BLVD,15016 10001 20020,Issued,07/22/2016,Footing/Foundation/Slab,Insp Scheduled,"(34.16503, -118.38486)"
2524 S PACIFIC AVE,15042 10000 13729,Issued,07/20/2016,Final,Not Ready for Inspection,"(33.98241, -118.46777)"
6201 W HOLLYWOOD BLVD,15044 10000 09980,Issued,07/22/2016,Fire Damper Framing,Insp Scheduled,"(34.1018, -118.32461)"
11933 W ALLEGHENY ST,15010 10000 03635,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Insp Scheduled,"(34.23744, -118.39294)"
416 W 8TH ST,15042 20000 01365,Issued,07/19/2016,Rough,Insp Scheduled,"(34.04471, -118.25646)"
12121 W VIEWCREST ROAD,16030 20000 01208,Permit Finaled,07/21/2016,Rough,Approved,"(34.13909, -118.39671)"
17 E 28TH AVE,16041 20000 24245,Issued,07/21/2016,Rough,Approved,"(33.98106, -118.4678)"
1999 S AVENUE OF THE STARS 29 Flr,15019 10000 02753,Issued,07/21/2016,Final,Conditional Approval,"(34.05886, -118.41642)"
2908 W GLENHURST AVE,16016 70000 15543,Issued,07/20/2016,Floor/Roof Diaphrgm/Shear Wall,Approved,"(34.11079, -118.25237)"
5100 W WILSHIRE BLVD 1-138,14020 30000 02558,Issued,07/22/2016,Deputy Shotcrete,Insp Scheduled,"(34.06187, -118.34094)"
18350 W HATTERAS ST 201-284,16016 10000 09831,Issued,07/20/2016,Pre-Inspection,Approved,"(34.17721, -118.53258)"
1840 S CENTURY PARK EAST 2ND FLOOR,15016 10000 22173,Permit Finaled,07/19/2016,Smoke Detectors,Approved,"(34.06188, -118.41473)"
6932 N ALCOVE AVE,16041 90000 23900,Issued,07/23/2016,Final,Insp Scheduled,"(34.19672, -118.41248)"
4205 W 63RD ST,16014 70000 02998,Issued,07/19/2016,Footing/Foundation/Slab,Approved,"(33.98273, -118.34815)"
5253 N BEN AVE,14010 10000 00612,Issued,07/20/2016,Gas Test,Approved,"(34.16641, -118.39445)"
9345 W OAKMORE ROAD,14047 20000 01795,CofO Issued,07/18/2016,CofO Issuance,CofO Issued,"(34.04779, -118.39294)"
2215 N LYRIC AVE,16016 10000 09076,Issued,07/19/2016,ELECTRICAL-Rough,Approved,"(34.10102, -118.27406)"
14305 W ROBLAR PL,14014 30000 05127,Issued,07/21/2016,BUILDING-Rough-Frame,Approved,"(34.14645, -118.44507)"
21600 W OXNARD ST SUITE 2000,16041 20000 10775,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.179, -118.6002)"
9200 N OAKDALE AVE,16041 30000 23093,Issued,07/21/2016,Life Safety,Partial Approval,"(34.23811, -118.56674)"
350 S GRAND AVE #3950,16041 10000 18906,Issued,07/22/2016,Final,Insp Scheduled,"(34.05173, -118.25219)"
931 S ELLERY DR,16014 40000 01496,Issued,07/20/2016,HVAC-Rough,Approved,"(33.73544, -118.3109)"
314 N MAR VISTA AVE,16016 30000 07572,Permit Finaled,07/18/2016,Final,Not Ready for Inspection,"(33.77242, -118.27737)"
907 S SHENANDOAH ST,12010 10000 01454,Issued,07/21/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.06068, -118.3815)"
8822 W CADILLAC AVE 1-15,16016 20000 00711,Issued,07/19/2016,Footing/Foundation/Slab,Cancelled,"(34.03957, -118.38297)"
915 W WILSHIRE BLVD 19TH FLR,16016 10000 10501,Issued,07/21/2016,T-Bar Ceiling,Conditional Approval,"(34.05069, -118.2599)"
10344 W CHEVIOT DR,15030 30000 04338,Permit Finaled,07/18/2016,Rough,Approved,"(34.03835, -118.40967)"
13219 W OTTOMAN ST,14014 20000 03342,CofO Issued,07/19/2016,Smoke Detectors,Approved,"(34.23394, -118.42111)"
941-941 1/2 E 52ND PL,16041 70001 18498,Issued,07/22/2016,Rough,Insp Scheduled,"(33.99514, -118.25912)"
12 N LATIMER ROAD,16042 90000 14540,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.04059, -118.51405)"
3033 W WILSHIRE BLVD,13010 10005 03617,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.06198, -118.28733)"
8009 S ALTAVAN AVE,16014 20000 01452,Issued,07/19/2016,PLUMBING-Rough,Approved,"(33.96466, -118.4211)"
7229 S AVALON BLVD,16026 10000 00030,Issued,07/19/2016,Special/Order Compliance,Partial Inspection,"(33.97403, -118.26533)"
5335 S 3RD AVE,16016 70000 15723,Issued,07/18/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Not Ready,"(33.99405, -118.32048)"
18209 W PARTHENIA ST,15042 20000 01392,Permit Finaled,07/22/2016,Inspection,Permit Finaled,"(34.22881, -118.52978)"
11426 N VINELAND CT,16042 90000 11673,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.27874, -118.57025)"
1102 W 6TH ST,14041 20000 00836,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05397, -118.26237)"
1642 N QUEENS ROAD,16016 10000 14176,Issued,07/22/2016,Wood Frame,Insp Scheduled,"(34.10031, -118.37726)"
13630 W SATICOY ST,15044 20000 08401,Issued,07/22/2016,Rough-A/C and Heating,Insp Scheduled,"(34.20928, -118.42941)"
13217 N HERRICK AVE,15014 20000 03894,Issued,07/22/2016,Green Building Rough,Insp Scheduled,"(34.31068, -118.46037)"
1332 S COMSTOCK AVE,16047 20000 00221,Issued,07/20/2016,Pool Equipment Noise Test,Not Ready for Inspection,"(34.0656, -118.42512)"
2215 E ALCAZAR ST,14010 10000 01873,Issued,07/20/2016,Verify Sprinkler Sign Off,Approved,"(34.06357, -118.20153)"
5708 N BECK AVE,16016 90000 16815,Issued,07/23/2016,Pre-Inspection,Insp Scheduled,"(34.1742, -118.38326)"
12401 W HELENA ST,15047 20000 01093,Issued,07/21/2016,Enclosure/Fence,Not Ready for Inspection,"(34.05164, -118.47935)"
6060 W PICKFORD ST,14010 10000 00089,Issued,07/18/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Not Ready,"(34.04844, -118.37391)"
1446 W 69TH ST,14014 70000 00287,CofO Issued,07/22/2016,Inspection,Permit Finaled,"(33.97689, -118.30181)"
