Intersection-Leg,Description,Start Date,Days,AWDT,EB Peak AM Hour,EB Peak AM Volume,EB Peak PM Hour,EB Peak PM Volume,WB Peak AM Hour,WB Peak AM Volume,WB Peak PM Hour,WB Peak PM Volume,NB Peak AM Hour,NB Peak AM Volume,NB Peak PM Hour,NB Peak PM Volume,SB Peak AM Hour,SB Peak AM Volume,SB Peak PM Hour,SB Peak PM Volume,Location
CLES-GILS-E,Cleveland St east of Gilman St,07/14/2015,3,9600,11:00 AM,593,5:00 PM,841,,,,,,,,,,,,,"(47.673113, -122.121896)"
024S-152A-S,152nd Ave NE south of NE 24th St,10/18/2018,3,4883,,,,,,,,,9:00 AM,230,5:00 PM,221,11:00 AM,159,5:00 PM,342,"(47.630822, -122.137717)"
040S-156A-E,NE 40th St east of 156th Ave NE,10/18/2018,3,19344,9:00 AM,1320,5:00 PM,732,8:00 AM,544,4:00 PM,982,,,,,,,,,"(47.646049, -122.13144)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,10/09/2007,3,12828,11:00 AM,323,5:00 PM,902,7:00 AM,809,12:00 PM,340,,,,,,,,,"(47.682383, -122.124596)"
REDW-187A-S,187th Ave NE south of Redmond Way,10/20/2009,3,1621,,,,,,,,,8:00 AM,80,5:00 PM,87,9:00 AM,52,5:00 PM,79,"(47.656825, -122.08911)"
UHR-188A-S,188th Ave NE south of Union Hill Rd,11/08/2018,3,8995,,,,,,,,,8:00 AM,271,4:00 PM,558,8:00 AM,392,5:00 PM,366,"(47.676317, -122.089673)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,11/15/2018,3,14848,11:00 AM,357,6:00 PM,812,8:00 AM,996,12:00 PM,410,,,,,,,,,"(47.682383, -122.124596)"
076S-185A-E,NE 76th St east of 185th Ave NE,11/08/2018,3,10741,11:00 AM,429,5:00 PM,603,8:00 AM,504,12:00 PM,364,,,,,,,,,"(47.67214, -122.093)"
REDW-LEAW-W,Redmond Way west of Leary Way,11/08/2018,3,15096,11:00 AM,364,4:00 PM,591,8:00 AM,600,1:00 PM,589,,,,,,,,,"(47.674378, -122.123457)"
085S-164A-W,NE 85th St west of 164th Ave NE,11/15/2018,3,8561,11:00 AM,236,5:00 PM,672,9:00 AM,473,3:00 PM,271,,,,,,,,,"(47.678485, -122.122287)"
