county,incident,direction,lanes,link,created,lat,long,updated,location
Prince George's County,I-95 OUTER LOOP FROM JOHN HANSON HWY TO ANNAPOLIS RD,Outer Loop,1 of 2 Outer Loop shoulders closed.,https://www.chart.maryland.gov/?id=19,Created:  11/3/2020 8:59:35 AM by SOC.,"{""x"":-76.858336,""y"":38.945456,""spatialReference"":{""wkid"":4326}}","{""x"":-76.858336,""y"":38.945456,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,MD 97 NORTH FROM NORBECK RD TO INTERCOUNTY CONNECTOR,North,1 of 3 Northbound traffic lanes closed.1 of 2 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=14,Created:  4/7/2020 10:00:30 AM by SOC.,"{""x"":-77.076678,""y"":39.102898,""spatialReference"":{""wkid"":4326}}","{""x"":-77.076678,""y"":39.102898,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,I-270 NORTH FROM CLARKSBURG RD TO COMUS RD,North,1 of 2 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=15,Created:  5/7/2020 6:16:41 AM by SOC.,"{""x"":-77.284937,""y"":39.231864,""spatialReference"":{""wkid"":4326}}","{""x"":-77.284937,""y"":39.231864,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,I-270 SOUTH AT EXIT 1 DEMOCRACY BLVD (NB),South,1 of 3 Southbound shoulders closed.,https://www.chart.maryland.gov/?id=16,Created:  10/13/2020 1:45:30 PM by SOC.,"{""x"":-77.15127,""y"":39.009656,""spatialReference"":{""wkid"":4326}}","{""x"":-77.15127,""y"":39.009656,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,MD 410 EAST FROM WISCONSIN AVE TO WAVERLY ST,East,1 of 1 Eastbound shoulders closed.,https://www.chart.maryland.gov/?id=17,Created:  10/16/2020 11:56:46 AM by SOC.,"{""x"":-77.093917,""y"":38.983589,""spatialReference"":{""wkid"":4326}}","{""x"":-77.093917,""y"":38.983589,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,MD 355 NORTH AT MONTGOMERY AVE,North,1 of 1 Northbound right turn lanes closed.1 of 2 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=18,Created:  10/16/2020 11:58:02 AM by SOC.,"{""x"":-77.093844,""y"":38.983605,""spatialReference"":{""wkid"":4326}}","{""x"":-77.093844,""y"":38.983605,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Baltimore City,MORAVIA RD WEST AT I-95 SOUTH ENTRANCE RAMP PARTIALLY RE-OPENED,South,1 of 2 Southbound right on ramp lanes closed.,https://www.chart.maryland.gov/?id=2,Created:  7/28/2020 11:25:14 AM by AOC Central.,"{""x"":-76.530824,""y"":39.299527,""spatialReference"":{""wkid"":4326}}","{""x"":-76.530824,""y"":39.299527,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Prince George's County,I-95 INNER LOOP FROM ANNAPOLIS RD TO JOHN HANSON HWY,Inner Loop,1 of 2 Inner Loop shoulders closed.,https://www.chart.maryland.gov/?id=20,Created:  11/3/2020 8:58:35 AM by SOC.,"{""x"":-76.866135,""y"":38.959521,""spatialReference"":{""wkid"":4326}}","{""x"":-76.866135,""y"":38.959521,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Washington County,MD 56 SOUTH AT EISENHOWER MEMORIAL HWY,South,1 of 1 Southbound traffic lanes closed.1 of 1 Southbound shoulders closed.1 of 1 Northbound traffic lanes bidirectional.,https://www.chart.maryland.gov/?id=21,Created:  8/13/2020 10:48:05 AM by SOC.,"{""x"":-78.016527,""y"":39.628154,""spatialReference"":{""wkid"":4326}}","{""x"":-78.016527,""y"":39.628154,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Washington County,I-70 EAST/WEST AT EXIT 12 MD 56 BIG POOL RD (EB),East/West,2 of 2 Westbound shoulders closed.2 of 2 Eastbound shoulders closed.,https://www.chart.maryland.gov/?id=22,Created:  6/19/2020 8:26:34 AM by SOC.,"{""x"":-78.054565,""y"":39.657038,""spatialReference"":{""wkid"":4326}}","{""x"":-78.054565,""y"":39.657038,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
