Property Name,Date Designated,Resolution Number,Built,Architect,Property Location
New York & Ted Brown Building,September 16 2003,35944,,,"1119-1121 Broadway Street
Tacoma, WA"
"Blackwell, William House",April 01 1975,23292,,"Smith, Andrew H","401 Broadway
Tacoma, WA
(47.260711, -122.443151)"
Slavonian Hall,June 09 1992,31784,02/01/1901 12:00:00 AM,,"2306 North 30th Street
Tacoma, WA
(47.274741, -122.467388)"
Swedish Mission Tabernacle,April 10 2012,38469,01/01/1909 12:00:00 AM,Heath & Twitchell,"910 South 10th Street
Tacoma, WA
(47.253307, -122.449252)"
Abbott/Passages Building,October 10 2000,34930,01/01/1889 12:00:00 AM,Pickles and Sutton,"708 South Broadway Ave
Tacoma, WA"
Semple Residence,May 24 2011,38267,,,"2802 North Carr Street
Tacoma, WA
(47.273081, -122.466919)"
Fire Station - Engine House No. 11,January 06 1987,29457,01/01/1909 12:00:00 AM,city engineer,"3802 McKinley Avenue
Tacoma, WA
(47.222811, -122.420853)"
Bridge - East 34th Street Bridge,January 01 1992,,01/01/1915 12:00:00 AM,,"Pacific Avenue to A Street
Tacoma, WA"
Hilltop - Adam Pfenning House,December 05 1995,33231,01/01/1904 12:00:00 AM,"Pfenning, Adam","1524 South Cushman
Tacoma, WA
(47.247042, -122.45645)"
Fire Station - Engine House No. 4,January 06 1987,29457,01/01/1935 12:00:00 AM,"Nelson, Silas and/or Shaw, Frederick","220-226 East 26th Street
Tacoma, WA"
Hilltop - McIlvaine Apartments,December 16 1997,33860,01/01/1909 12:00:00 AM,"Larkins, John P.","920 South 9th Street
Tacoma, WA
(47.254239, -122.450481)"
Municipal Barn,July 01 2014,38941,01/01/1910 12:00:00 AM,W.C. Raleigh,"2324 S C Street
Tacoma, WA
(47.240358, -122.437188)"
First Baptist Church (Urban Grace Church),November 24 2009,37927,01/01/1925 12:00:00 AM,"Heath, Gove & Bell","902 Market Street
Tacoma, WA
(47.25484, -122.441921)"
Cunningham Electric,September 30 2003,35968,01/01/1927 12:00:00 AM,,"2123 Pacific Avenue
Tacoma, WA
(47.242123, -122.435988)"
Manley-Thompson Ford Agency,February 12 2008,37397,01/01/1918 12:00:00 AM,"Bresemann, Emanuel J.","1302-1306 Fawcett Ave
Tacoma, WA"
Tacoma Building,December 13 2000,35020,01/01/1910 12:00:00 AM,"Potter and Merill (1910), Frost & Associates (1955)","1015-1021 A Street
Tacoma, WA"
Bostwick Building,February 09 1999,34303,01/01/1889 12:00:00 AM,"Dennis, Oliver P","764 Broadway
Tacoma, WA
(47.255692, -122.440639)"
Fraternity Hall,October 09 2001,35303,01/01/1890 12:00:00 AM,"Roath, Rollin J.","1111-1117 Tacoma Avenue South
Tacoma, WA"
Rutland and Woodstock Apartments,March 01 1988,29931,,Russell and Babcock,"115 North Yakima
Tacoma, WA
(47.262792, -122.450001)"
Fire Station - Fire Station No. 15,January 06 1987,29457,,"Nicholson, Morton J.","3510 East 11th Street
Tacoma, WA
(47.275682, -122.397107)"
Dickman Lumber Company Head Saw,December 11 1979,26119,01/01/1923 12:00:00 AM,,"3017 Ruston Way
Tacoma, WA
(47.279639, -122.475893)"
Hilltop - St. James Apartments,January 31 1995,34224,01/01/1929 12:00:00 AM,"Schneider, J.H.","821 South Yakima Ave
Tacoma, WA"
Mead-Keyser House,October 13 2015,39287,01/01/1903 12:00:00 AM,,"2702 N Puget Sound Avenue
Tacoma, WA
(47.272194, -122.482595)"
Holy Rosary Church,August 19 1975,23502,01/01/1929 12:00:00 AM,"MacMahon, Frank","512 South 30th Street
Tacoma, WA
(47.233645, -122.43893)"
Fire Station - Engine House No. 13,January 06 1987,29457,01/01/1911 12:00:00 AM,city engineer,"3825 North 25th Street
Tacoma, WA
(47.27014, -122.488559)"
"Lavroff, Samuel Home",January 31 2006,36772,01/01/1925 12:00:00 AM,,"820 North Stadium Way
Tacoma, WA
(47.271682, -122.456598)"
"Snyder, Ella and John House",July 17 2012,38510,01/01/1905 12:00:00 AM,Ambrose J. Russell,"612 North 4th Street
Tacoma, WA
(47.265374, -122.452993)"
Sandberg-Schoenfeld Building,February 09 1999,34302,01/01/1907 12:00:00 AM,"Heath, Frederick","1411-1423 Pacific Avenue
Tacoma, WA"
Hilltop - Agnew House,January 31 1995,32895,,"Agnew, James","605 South G Street
Tacoma, WA
(47.257458, -122.446976)"
Fire Station - Electrical Maintenance Shop,January 06 1987,29457,01/01/1919 12:00:00 AM,,"425 South Tacoma Avenue
Tacoma, WA
(47.258896, -122.445847)"
National Bank of Tacoma,August 01 2006,36927,01/01/1922 12:00:00 AM,"Sutton, Whitney and Dugan","1123 Pacific
Tacoma, WA
(47.252636, -122.438451)"
Albers Brothers Mill,August 13 2003,35597,01/01/1904 12:00:00 AM,"Donnellan, John J","1821 Dock Street
Tacoma, WA
(47.244872, -122.43423)"
School - McKinley Elementary School,October 14 2014,39037,,"Heath, Frederick","3720 McKinley Avenue
Tacoma, WA
(47.223923, -122.420834)"
School - Washington Elementary School,August 01 2006,36927,01/01/1906 12:00:00 AM,"Heath, Frederick","3701 N 26th Street
Tacoma, WA
(47.271066, -122.486444)"
Nisqually Power Substation,December 13 2000,35021,01/01/1911 12:00:00 AM,"Gronen, Hamilton F. (engineer)","2416 South C Street
Tacoma, WA
(47.239311, -122.43694)"
School - Jason Lee Middle School,December 08 2010,38158,01/01/1924 12:00:00 AM,"Borhek, Roland E.","602 North Sprague
Tacoma, WA
(47.256394, -122.463034)"
"Brix, Anton House",December 05 1995,33213,01/01/1907 12:00:00 AM,"Evans, John","646 South State Street
Tacoma, WA
(47.253898, -122.465913)"
Waddell Building,May 06 2003,35841,,"Mendel, Louis and G.C. Clements & Co./Darmer and Cutting","1502 Pacific Avenue
Tacoma, WA
(47.248949, -122.437618)"
Ansonia Apartments,September 30 2008,37604,01/01/1914 12:00:00 AM,Heath & Gove,"215-219 Tacoma Avenue N
Tacoma, WA"
Carnegie Library (Tacoma Public Library),January 14 1975,23183,01/01/1903 12:00:00 AM,"Jardine, Kent and Jardine","1102 Tacoma Avenue South
Tacoma, WA
(47.25224, -122.444312)"
"Bridge - Highway 16, over Tacoma Narrows",October 20 1992,31955,01/01/1950 12:00:00 AM,Moran and Proctor/Moisseif/Eldridge,"spans over Tacoma Narrows
Tacoma, WA"
Olympic Garage,April 08 2008,,01/01/1919 12:00:00 AM,Hill and Mock,"1224 Tacoma Avenue S
Tacoma, WA
(47.250891, -122.444006)"
"Rhodes, Henry House",January 31 2006,36775,01/01/1901 12:00:00 AM,,"701 North J Street
Tacoma, WA
(47.2637, -122.459506)"
Marymac/Carlton Apartments,October 10 2000,34928,01/01/1929 12:00:00 AM,"Nelson, Silas","615 South 7th Street
Tacoma, WA
(47.256785, -122.446422)"
"Geiger, Henry O. House",April 27 1993,32171,01/01/1889 12:00:00 AM,"Robertson, R.L.","912 North I Street
Tacoma, WA
(47.265674, -122.462148)"
Pythian Temple,March 29 1988,29962,01/01/1906 12:00:00 AM,"Heath, Frederick","924-926 Broadway
Tacoma, WA"
Totem Pole,April 01 1975,23292,01/01/1903 12:00:00 AM,,"Fireman's Park
Tacoma, WA"
