BusinessName,Address,Suite,City,State,Zip,PermitType,OwnerName,Location
CLUB PRESSURE,3940 TULANE AVE,,NEW ORLEANS,LA,70119,"8440 - Music for Entertainment,Dancing/Admission Charged","MALLET ENTERPRISES, INC","(29.9677545841039, -90.1043808412406)"
FUNKY PIRATE,727 BOURBON ST,,NEW ORLEANS,LA,70116,8405 - Orchestras in Businesses/No Admission Charged,"727, INCORPORATED","(29.9592339370518, -90.0652029495608)"
TREME ART AND MUSIC LOUNGE,1623 ST ANN ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",TREME ART AND MUSIC LOUNGE LLC,"(29.9645649620923, -90.0722212551703)"
HANDSOME WILLY'S CAFE,220 S ROBERTSON ST,,NEW ORLEANS,LA,70112,"8255 - Music for Entertainment,Dancing/No Admission Charged",HANDSOME WILLY'S CAFE LLC,"(29.9570416178056, -90.0779668917644)"
SIDNEY'S SALOON,1200 ST BERNARD AVE,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged","TAROB HOLDINGS,LLC","(29.9681329098326, -90.0630671895813)"
TREME MARKET BRANCH,800 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",TREME MARKET BRANCH,"(29.964687736085, -90.072399462676)"
LABARRE,614 GRAVIER ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","614 GRAVIER,LLC","(29.9511289177335, -90.0693090974191)"
STARLIGHT LOUNGE,817 ST. LOUIS STREET,,NEW ORLEANS,LA,70112,"8255 - Music for Entertainment,Dancing/No Admission Charged","MS. CHOPSLEY, LLC",
"CARONDELET 845, LLC",845 CARONDELET ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",BEARCAT,"(29.9452498984044, -90.0733439227211)"
CENTRAL CITY BARBEQUE,1201 S RAMPART ST,,NEW ORLEANS,LA,70113,"8440 - Music for Entertainment,Dancing/Admission Charged","CCBBQ,LLC","(29.9438865496138, -90.0785785067928)"
COUNTRY CLUB,634 LOUISA ST,,NEW ORLEANS,LA,70117,8405 - Orchestras in Businesses/No Admission Charged,COUNTRY CLUB INC.,"(29.9629248419919, -90.0439226563292)"
FUNKY 544,544 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","FUNKY 544, LLC.","(29.9577113980425, -90.0663474783554)"
SATCHMO'S,411 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","CAJUN HOUSE,LLC","(29.9565563738711, -90.0675998817436)"
HI HO LOUNGE,2239 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,"8440 - Music for Entertainment,Dancing/Admission Charged","TIN MAN ENTERPRISES, LLC","(29.9689248428709, -90.055417751494)"
TIPITINA'S,501 NAPOLEON AVE,,NEW ORLEANS,LA,70115,"8440 - Music for Entertainment,Dancing/Admission Charged",TIP'S DEVELOPMENT LLC,"(29.9174165563515, -90.1008707933226)"
CAFE BEIGNET DECATUR,600 DECATUR ST,STE:101B-103,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","CAFE BEIGNET,LLC","(29.9559970377262, -90.0632283463323)"
THE RITZ-CARLTON HOTEL,921 CANAL ST,,NEW ORLEANS,LA,70112,"8440 - Music for Entertainment,Dancing/Admission Charged",THE RITZ-CARLTON HOTEL C,"(29.9548832277425, -90.0710247634115)"
CARRE RESTAURANT AND BAR,239 DECATUR ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","THE MUSE GROUP,LLC","(29.9535774694793, -90.0658978608837)"
BOURBON STREET DRINKERY,217 BOURBON  ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","217 BOURBON, LLC",
HUNK OASIS,226-228 BOURBON ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged","SOBO NOLA, LLC",
ATCHAFALAYA,901-903 LOUISIANA AVE,,NEW ORLEANS,LA,70115,"8255 - Music for Entertainment,Dancing/No Admission Charged",JAFFE REST LLC,
SKINNY'S TAVERN & MARIE'S KITCHEN,3829 CLEMATIS ST,,NEW ORLEANS,LA,70122,"8440 - Music for Entertainment,Dancing/Admission Charged",J & M RESTAURANT CORP,
THE GOAT,1301-03 ST BERNARD AVE,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged","SNEAUXBALL NOLA THE GOAT,LLC",
COURT LIQUORS,618-620 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","JOS FEIN CATERERS, INC",
ONE EYED JACKS,615 TOULOUSE ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",EL RIO II INC,"(29.9568983005076, -90.0648417929116)"
THE WILLOW,8200 WILLOW ST,,NEW ORLEANS,LA,70118,"8440 - Music for Entertainment,Dancing/Admission Charged","LUCKY TAB, LLC","(29.949516915815, -90.1294020296476)"
SHE SHE'S,9000 CHEF MENTEUR HWY,K,NEW ORLEANS,LA,70127,8594 - Adult Entertainment/Admission Charged,CODE INC,"(30.0150002420754, -89.9806247816141)"
CASA BORREGA RESTAURANT,1719 ORETHA CASTLE HALEY BLVD,,NEW ORLEANS,LA,70113,"8255 - Music for Entertainment,Dancing/No Admission Charged",CASA BORREGA INC,"(29.9394556864809, -90.0806599126582)"
HUSTLER'S BARELY LEGAL,423 BOURBON ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",SB ENTERTAINMENT INC,"(29.9567360259655, -90.067440214238)"
COFFEE & CONCIERGE LTD,334 ROYAL ST,B,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",COFFEE & CONCIERGE LTD,"(29.9554089782398, -90.0669329257568)"
GRANDPRE'S,834 N RAMPART ST,STE 1,NEW ORLEANS,LA,70116,8405 - Orchestras in Businesses/No Admission Charged,MP COOKIE LLC.,"(29.9618699889426, -90.06697149557)"
THE SWAMP ON BOURBON,516 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",516 ENTERPRISES LLC,"(29.9572766436966, -90.0667220756468)"
REPUBLIC NOLA,828 S PETERS ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",REPUBLIC NOLA LLC,"(29.9441800433692, -90.0656828396493)"
OZ,800 BOURBON ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",800  ENTERPRISES LLC,"(29.9595706309819, -90.064691484048)"
GAZEBO CAFE,1016 DECATUR ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","GAZEBO CAFE, LLC","(29.9594552405535, -90.0602436504245)"
BOMBAY CLUB,830 CONTI ST,,NEW ORLEANS,LA,70112,8405 - Orchestras in Businesses/No Admission Charged,"CONTI BC, LLC","(29.9565486108807, -90.0683911485525)"
TROP ISLE'S ORIG PAPA JOE'S   CAFE,600 BOURBON ST,,NEW ORLEANS,LA,70130,8405 - Orchestras in Businesses/No Admission Charged,TROP ISLE'S ORIG PAPA JOINC,"(29.9578569954259, -90.066214488125)"
CARROLLTON STATION,8140 WILLOW ST,,NEW ORLEANS,LA,70118,"8440 - Music for Entertainment,Dancing/Admission Charged",EJO INCORPORATED,"(29.9493248738986, -90.1291385183595)"
BOURBON HEAT,711 BOURBON ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",BOURBON HEAT LLC,"(29.9588966547846, -90.0655026320514)"
SPIRITS ON BOURBON,615 BOURBON ST,,NEW ORLEANS,LA,70130,8405 - Orchestras in Businesses/No Admission Charged,"TURTLE BAY ON BOURBON, LLC","(29.9581588995186, -90.0662037925531)"
LARRY FLYNTS HUSTLER CLUB,225 BOURBON ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",H D V NO.1 LLC,"(29.9551776116622, -90.0688213427508)"
PHILLIPS BAR & RESTAURANT,733 CHEROKEE ST,,NEW ORLEANS,LA,70118-5051,"8440 - Music for Entertainment,Dancing/Admission Charged","PHILLIPS BAR & RESTAURANT, INC","(29.9404454165108, -90.1279946680022)"
ACE HOTEL,600 CARONDELET ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",ACE GROUP NEW ORLEANS LLC,"(29.9484041719003, -90.0721543198545)"
PYTHIAN MARKET,234 LOYOLA AVE,,NEW ORLEANS,LA,70112,"8440 - Music for Entertainment,Dancing/Admission Charged",PYTHIAN MARKET LLC,"(29.9535455072129, -90.0749855430361)"
WINDSOR COURT HOTEL,300 GRAVIER ST,,NEW ORLEANS,LA,70130,8405 - Orchestras in Businesses/No Admission Charged,"AIMBRIDGE CONCESSIONS, INC.","(29.9497948404032, -90.0662661592716)"
MARCELLO'S,715 ST CHARLES AVE,,NEW ORLEANS,LA,70115,"8255 - Music for Entertainment,Dancing/No Admission Charged",GENE'S THEATRE LLC,"(29.9470698018377, -90.0714820768073)"
CARNAVAL LOUNGE,2227 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,"8440 - Music for Entertainment,Dancing/Admission Charged",ST CLAUDE ST PROJECT LLC,"(29.9688809257189, -90.0558964510286)"
THE BEACH ON BOURBON,227 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",JTMC ENTERPRISES LLC,"(29.9552410131866, -90.0687756570539)"
THE BOOT,1039 BROADWAY ST,,NEW ORLEANS,LA,70118,"8440 - Music for Entertainment,Dancing/Admission Charged","CJN, INC","(29.9412100613515, -90.1235624308936)"
OLD POINT BAR,545 PATTERSON ST,,NEW ORLEANS,LA,70114,"8440 - Music for Entertainment,Dancing/Admission Charged",POINT INVESTMENTS CO INC,"(29.9549772527402, -90.0501847533596)"
FAMOUS DOOR,339 BOURBON ST,,NEW ORLEANS,LA,70130,8405 - Orchestras in Businesses/No Admission Charged,MBS MANAGEMENT LLC,"(29.956224745155, -90.0679196471999)"
BOURBON COWBOY,241 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",241 ENTERPRISES LLC,"(29.9554759431274, -90.0686107718891)"
CAFE NEGRIL,606 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",CLUB NEGRIL LLC,"(29.9637295447782, -90.0578708346146)"
NOLA CANTINA,437 ESPLANADE AVE,,NEW ORLEANS,LA,70118,"8255 - Music for Entertainment,Dancing/No Admission Charged","NOLA CANTINA, LLC.","(29.9619423743028, -90.0574591184759)"
THE ELMS MANSION,3029 ST CHARLES AVE,,NEW ORLEANS,LA,70115,"8440 - Music for Entertainment,Dancing/Admission Charged",THE VAN BENTHUYSEN-ELMS MANSION,"(29.9296005441701, -90.0888080706275)"
SWEET LORRAINE'S JAZZ CLUB,1931 ST CLAUDE AVE,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",SWEET LORRAINE'S JAZZ CLUB LLC,"(29.9684431121164, -90.059600570787)"
DMAC'S BAR & GRILL,542 S JEFFERSON DAVIS PKWY,,NEW ORLEANS,LA,70119,"8255 - Music for Entertainment,Dancing/No Admission Charged","DMAC 8, LLC","(29.9656190266329, -90.0974937940996)"
SPADES,633 S ROMAN ST,,NEW ORLEANS,LA,70112,"8440 - Music for Entertainment,Dancing/Admission Charged",MIJO 3 ENTERPRISES,"(29.9543707758532, -90.0830775602306)"
WINDSOR COURT HOTEL,300 GRAVIER ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","AIMBRIDGE CONCESSIONS, INC.","(29.9497948404032, -90.0662661592716)"
VISIONS,4000 DOWNMAN RD,,NEW ORLEANS,LA,70126,"8440 - Music for Entertainment,Dancing/Admission Charged",L I G INC,"(30.0119873404845, -90.0213941856267)"
FRITZEL'S EUROPEAN JAZZ PUB,733 BOURBON ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","FRITZEL'S OF BOURBON STREET, LLC","(29.959291630381, -90.065134803815)"
CORNER POCKET,940 ST LOUIS ST,,NEW ORLEANS,LA,70112,"8440 - Music for Entertainment,Dancing/Admission Charged",MIK LEE INC,"(29.9580572605687, -90.0689048605893)"
BALCONY MUSIC CLUB,1331 DECATUR ST,,NEW ORLEANS,LA,70116,8405 - Orchestras in Businesses/No Admission Charged,LOWER DECATUR ENTERTAINMENT LLC,"(29.9619364206441, -90.0582593802653)"
RICK'S CABARET,315 BOURBON ST,,NEW ORLEANS,LA,70130,8593 - Adult Entertainment/No Admission Charged,"RCI ENTERTAINMENT LOUISIANA, INC","(29.9558713077723, -90.0682168839065)"
THE HOWLIN' WOLF,907 S PETERS ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",CAT & DOG INC,"(29.9426968812024, -90.0659227127758)"
PORTSIDE LOUNGE,3000 DRYADES ST,,NEW ORLEANS,LA,70115,"8440 - Music for Entertainment,Dancing/Admission Charged","PORTSIDE INVESTMENTS,LLC","(29.9321115896164, -90.0900642434062)"
THE PENTHOUSE CLUB,727 IBERVILLE ST,,NEW ORLEANS,LA,70130,8594 - Adult Entertainment/Admission Charged,"AMERICAN RESTAURANT, INC","(29.954554192602, -90.0688036036664)"
THE SHOWCASE BAR LOUNGE,1915 N BROAD ST,,NEW ORLEANS,LA,70119,8594 - Adult Entertainment/Admission Charged,TURTLE CREEK ENTERPRISE INC,"(29.9841090573274, -90.0714776048371)"
KERRY IRISH PUB,331 DECATUR ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",KERRY ROSE CORP,"(29.9542192386288, -90.0652116400027)"
N7,1117 MONTEGUT ST,,NEW ORLEANS,LA,70117,"8440 - Music for Entertainment,Dancing/Admission Charged",LA JETEE LLC,"(29.968571274306, -90.0457194049745)"
HOUSE OF BLUES RESTAURANT,225 DECATUR ST,SUITE B,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",HOUSE OF BLUES NEW ORLEANS RESTAURANT CORP.,"(29.9532593908728, -90.0661266380105)"
APPLE BARREL,609 FRENCHMEN ST,,NEW ORLEANS,LA,70116,8405 - Orchestras in Businesses/No Admission Charged,ADLOFO'S RESTAURANT INC,"(29.9638056023555, -90.0576765135927)"
THREE MUSES,536 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",RUE MUSES LLC,"(29.9632677781837, -90.0578360283065)"
MAISON DE LA MUSIQUE,508 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",SHORELEAVE LLC,"(29.9627900707654, -90.0577955613587)"
SATURN BAR,3067 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,"8255 - Music for Entertainment,Dancing/No Admission Charged","SATURN BAR OF  N.O., LLC","(29.9678854086327, -90.0442731932487)"
BB KING'S BLUES CLUB,1104 DECATUR ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",BSBC-NEW ORLEANS LLC,"(29.9599796887424, -90.0597579787818)"
THE GOLDEN LANTERN,1239 ROYAL ST,,NEW ORLEANS,LA,70116,8593 - Adult Entertainment/No Admission Charged,WITCH'S GOLDEN LANTERN LLC,"(29.9627310949855, -90.0606092164157)"
HARD ROCK CAFE,125 BOURBON ST,,NEW ORLEANS,LA,70130,8405 - Orchestras in Businesses/No Admission Charged,HARD ROCK CAFE INTL. STP  INC ATTN: TAX DEPARTMENT,"(29.95441222, -90.069519547203)"
THE EIFFEL SOCIETY,2040 ST CHARLES AVE,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",LVX NEW ORLEANS LLC,"(29.934763877537, -90.0792262773929)"
