Owner,Common Name,Scientific Name,Park,Number of Stems,Trunk Diameter (cm),Date Installed,Memorial Tree,GeoJSON,Lat/Long
Municipal,Silver Maple,Acer saccharinum,,1,81.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50139925799994, 44.226076497000065]}","44.226076497,-76.501399258"
Municipal,Black Willow,Salix nigra,,1,45.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60736444499997, 44.23746101900008]}","44.237461019,-76.607364445"
Municipal,Amur Maple,Acer ginnala,,7,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55143838099997, 44.25352363600007]}","44.253523636,-76.551438381"
Municipal,Norway Maple,Acer platanoides,,1,49.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52924890899999, 44.234079792000045]}","44.234079792,-76.529248909"
Municipal,Norway Maple,Acer platanoides,,1,28.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59437881399998, 44.23241034100005]}","44.232410341,-76.594378814"
Municipal,Norway Maple,Acer platanoides,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52710130999998, 44.23223699400006]}","44.232236994,-76.52710131"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49385534299995, 44.23242672900005]}","44.232426729,-76.493855343"
Municipal,White Spruce,Picea glauca,Greenwood Park Linear Trail,1,,,,"{""type"": ""Point"", ""coordinates"": [-76.43876453381988, 44.268680935189145]}","44.2686809352,-76.4387645338"
Municipal,Bitternut Hickory,Carya cordiformis,Bluffwood Parkette,1,5.0,2016-09-27T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.43892202570362, 44.270776125720545]}","44.2707761257,-76.4389220257"
Municipal,White Spruce,Picea glauca,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45884423599995, 44.25423323200005]}","44.254233232,-76.458844236"
Municipal,Silver Maple,Acer saccharinum,,1,30.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51920885299995, 44.255737030000034]}","44.25573703,-76.519208853"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52872358599996, 44.253283115000045]}","44.253283115,-76.528723586"
Municipal,Northern Red Oak,Quercus rubra,Woodlands Park,1,79.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52244784299995, 44.22659574800008]}","44.226595748,-76.522447843"
Municipal,Littleleaf Linden,Tilia cordata,,1,57.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51980906799997, 44.25526576300007]}","44.255265763,-76.519809068"
Municipal,Littleleaf Linden,Tilia cordata,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44853652599994, 44.270978178000064]}","44.270978178,-76.448536526"
Municipal,Littleleaf Linden,Tilia cordata,,1,72.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53380673499998, 44.23331415700005]}","44.233314157,-76.533806735"
Municipal,Norway Maple,Acer platanoides,,1,19.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55942548299998, 44.239637412000036]}","44.239637412,-76.559425483"
Municipal,Eastern White Pine,Pinus strobus,,1,36.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56797113099998, 44.21374044800007]}","44.213740448,-76.567971131"
Municipal,Eastern White Pine,Pinus strobus,,1,59.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50910605099995, 44.219940035000036]}","44.219940035,-76.509106051"
Municipal,Norway Maple,Acer platanoides,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44775098799994, 44.26804037100004]}","44.268040371,-76.447750988"
Municipal,Eastern Hemlock,Tsuga canadensis,,1,33.0,,,"{""type"": ""Point"", ""coordinates"": [-76.38597819999995, 44.25472577000005]}","44.25472577,-76.3859782"
