Incident #,Alarm Time,Call Type,Incident Type,Response Time (Median),Incident Duration,Stations,Units,Unit Count,GeoJSON,geo_point_2d
20-0800418,2020-08-20,Fire,Other pre fire conditions (no fire),3.03,16.02,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49202995834474, 44.23161180196919]}","44.231611802,-76.4920299583"
20-0800419,2020-08-20,False Fire Call,Alarm System Equipment - Malfunction,2.53,17.02,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49036082452875, 44.23046208733469]}","44.2304620873,-76.4903608245"
20-0800428,2020-08-20,Motor Vehicle Accident,Vehicle Collision,2.92,13.03,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.4847767106038, 44.23238703505585]}","44.2323870351,-76.4847767106"
20-0800430,2020-08-20,Fire,Open air burning/unauthorized controlled burning (,6.4,20.82,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47951535290912, 44.26683575675753]}","44.2668357568,-76.4795153529"
20-0800432,2020-08-21,Fire,NO LOSS OUTDOOR fire (see exclusions),3.18,22.03,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.49655936182248, 44.256045560965646]}","44.256045561,-76.4965593618"
20-0800436,2020-08-21,False Fire Call,Other False Fire Call,4.63,17.0,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.55740425839119, 44.259707763830235]}","44.2597077638,-76.5574042584"
20-0800437,2020-08-21,Motor Vehicle Accident,Vehicle Collision,2.44,12.13,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55049732070538, 44.25680949578515]}","44.2568094958,-76.5504973207"
20-0800438,2020-08-21,False Fire Call,Alarm System Equipment - Malfunction,4.17,13.28,"BROCK ST,PALACE RD,RAILWAY ST","L261,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48237759997983, 44.23959846021711]}","44.2395984602,-76.4823776"
20-0800443,2020-08-21,Medical,Medical/resuscitator call no action required,5.22,12.08,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.45656924907865, 44.25416765677923]}","44.2541676568,-76.4565692491"
20-0800445,2020-08-21,Motor Vehicle Accident,Vehicle Collision,8.71,32.63,"GORE RD,RAILWAY ST,UNITY RD","C231,P231,P251,P281",4,"{""type"": ""Point"", ""coordinates"": [-76.5280824024692, 44.29038563072454]}","44.2903856307,-76.5280824025"
20-0800453,2020-08-21,Fire,NO LOSS OUTDOOR fire (see exclusions),13.77,112.18,"38 HY,GORE RD,RAILWAY ST,UNITY RD","A231,C231,P231,P251,P281,R271,T231,T281,T291",9,"{""type"": ""Point"", ""coordinates"": [-76.48819040117714, 44.2770981733712]}","44.2770981734,-76.4881904012"
