occupant_code,debtor_number,category_code,category_description,bill_code,utility_type,start_date,end_date,current_read_date,last_read_date,usage_hcf,usage_gallons,net,bill_date,batch_number,street_name,block_address,street_side,zip_code,census_block_id,street_centroid_lat,street_centroid_lon,street_centroid_wkt,street_centroid,street_segment_wkt,id
1,10281,MU,MUNICIPAL,WANR1,W,1999/11/12,,2016/05/12,2016/03/14,0,0,0.00,2016/05/31,11350,OCEAN AVE,600BLK OCEAN AVE,,90403,,,,,,,60184011135012016-05-12
3,60239,FI,FIRE,WAFI6,W,1996/08/19,,2015/11/11,2015/09/14,0,0,172.32,2015/11/25,10458,3RD ST,1400BLK 3RD ST,,90401,,,,,,,55101931045812015-11-11
2,10281,CL,CITY LANDSCAPE,WANR1,W,1991/07/17,,2009/06/02,2009/04/06,0,0,0.00,2009/06/16,2683,3RD CT,1300BLK 3RD CT,,90401,,,,,,,217552268312009-06-02
2,76123,FI,FIRE,WAFI6,W,2011/02/24,,2013/09/16,2013/07/15,0,0,153.77,2013/10/24,7589,3RD ST,1400BLK 3RD ST,,90401,,,,,,,10000632758912013-09-16
1,68948,CO,COMMERCIAL,WANR2,W,2003/05/30,,2008/06/11,2008/04/14,228,170544,509.13,2008/06/20,1382,3RD ST,1300BLK 3RD ST,,90401,,,,,,,224161138212008-06-11
1,14991,FI,FIRE,WAFI5,W,1985/05/07,,2011/03/15,2011/01/10,0,0,79.52,2011/03/31,4865,3RD ST,1300BLK 3RD ST,,90401,,,,,,,5573101486512011-03-15
4,14747,FI,FIRE,WAFI7,W,1981/04/15,,2017/05/03,2017/03/07,0,0,367.71,2017/05/09,12888,3RD ST,,,90401,,,,,,,55011041288812017-05-03
3,60239,FI,FIRE,WAFI6,W,1996/08/19,,2019/03/04,2019/01/03,0,0,217.44,2019/03/14,16272,3RD ST,1400BLK 3RD ST,,90401,,,,,,,55101931627212019-03-04
1,51851,FI,FIRE,WAFI6,W,2002/10/08,,2019/03/04,2019/01/03,0,0,217.44,2019/03/14,16272,3RD ST,1200BLK 3RD ST,,90401,,,,,,,55030311627212019-03-04
5,65053,SF,SINGLE FAMILY,WASF1,W,2004/07/22,,2017/10/03,2017/08/02,25,18700,91.64,2017/10/06,13785,LINDA LN,3000BLK LINDA LN,,90405,060377022024012,,,,,,43754351378512017-10-03
6,19943,CO,COMMERCIAL,WANR3,W,1991/10/23,,2017/09/14,2017/07/17,12,8976,51.24,2017/09/26,13712,19TH ST,1700BLK 19TH ST,,90404,,,,,,,32043261371212017-09-14
1,10281,CL,CITY LANDSCAPE,WANR1,W,2008/09/25,,2017/09/14,2017/07/17,29,21692,123.83,2017/09/26,13712,EXPOSITION BLVD,3300BLK EXPOSITION BLVD,,90404,,,,,,,100009411371212017-09-14
6,82262,MX,MULTI UNIT DWELLING,WAMF3,W,2014/06/09,,2017/10/09,2017/08/08,0,0,0.00,2017/10/24,13827,PALISADES BEACH RD,1400BLK PALISADES BEACH RD,,90401,060377019023036,,,,,,1162161382712017-10-09
1,10281,RW,RECLAIMED WATER,WARW6,W,2006/07/01,,2008/11/11,2008/09/11,1487,1112276,3301.14,2008/12/01,1913,15TH ST,1800BLK 15TH ST,,90404,,,,,,,6028591191312008-11-11
16,60529,CO,COMMERCIAL,WANR3,W,1994/08/25,2009/04/07,2008/08/07,2008/06/11,67,50116,117.14,2008/08/21,1586,3RD ST,1200BLK 3RD ST,,90401,,,,,,,2180216158612008-08-07
