STREET_NAME,STREET_NAME_2,ACCIDENT_CNT,INJURY_CNT,DEATH_CNT,GeoReference
TIMBERLINE DR,WEBB CHAPEL EXT,53,59,0,POINT (-96.86794255 32.85917424)
IH0635,SKILLMAN ST,256,153,0,POINT (-96.71760644 32.90044651)
IH0635,GREENVILLE AVE,130,109,0,POINT (-96.74336064 32.91679203)
AUDELIA RD,WHITEHURST DR,105,55,0,POINT (-96.71909258 32.89860423)
N HAMPTON RD,SINGLETON BLVD,56,44,0,POINT (-96.85660256 32.77861426)
ARAPAHO RD,DALLAS PKWY,63,25,0,POINT (-96.82078255 32.95948422)
IH0635,US0075,70,68,0,POINT (-96.76394653 32.92419434)
IH0635,JOSEY LN,64,62,0,POINT (-96.8818922 32.9110285)
W CAMP WISDOM RD,CHAUCER PL,69,75,0,POINT (-96.86786256 32.66217428)
SH0352,S FITZHUGH AVE,57,66,0,POINT (-96.75832422 32.77129919)
N HAMPTON RD,W JEFFERSON BLVD,91,82,0,POINT (-96.85697256 32.74750426)
IH0020,S HAMPTON RD,78,75,0,POINT (-96.85687743 32.64578281)
ALPHA RD,DALLAS PKWY,59,50,0,POINT (-96.82170256 32.93288423)
ABRAMS RD,ROYAL LN,56,43,0,POINT (-96.74093258 32.89306423)
IH0635,MONTFORT DR,50,59,0,POINT (-96.81123981 32.92591822)
GREENVILLE AVE,ROYAL LN,68,57,0,POINT (-96.75346258 32.89354423)
MAPLE AVE,OAK LAWN AVE,56,21,0,POINT (-96.81433256 32.80418425)
IH0635,MIDWAY RD,183,141,0,POINT (-96.8385459 32.92518154)
SL0012,LAKE JUNE RD,52,51,0,POINT (-96.68288386 32.73418404)
IH0035E,SL0012,130,92,0,POINT (-96.89377594 32.86243057)
IH0035E,ROYAL LN,56,27,0,POINT (-96.89803436 32.89595749)
IH0020,S POLK ST,68,68,0,POINT (-96.84025304 32.6428975)
SL0012,JOHN WEST RD,64,51,0,POINT (-96.68273599 32.80716042)
SS0303,DUNCANVILLE RD,53,49,0,POINT (-96.90875206 32.70568456)
CADIZ ST,S RIVERFRONT BLVD,76,73,0,POINT (-96.80354257 32.76638426)
US0075,N FITZHUGH AVE,66,52,0,POINT (-96.78940997 32.81569953)
IH0635,MARSH LN,54,42,0,POINT (-96.85623328 32.91792688)
IH0635,HILLCREST RD,109,81,0,POINT (-96.78624256 32.92478759)
SH0352,N MASTERS DR,57,46,0,POINT (-96.6481817 32.76231909)
SH0078,SS0244,51,40,0,POINT (-96.67076286 32.86398476)
PINE ST,S 2ND AVE,97,86,0,POINT (-96.75013258 32.76581426)
IH0635,INWOOD RD,64,43,0,POINT (-96.82119263 32.92597916)
FERGUSON RD,PEAVY RD,52,52,0,POINT (-96.6844526 32.81870424)
SL0012,SS0348,163,105,0,POINT (-96.90015411 32.86458588)
US0075,FOREST LN,67,37,0,POINT (-96.76888711 32.90934112)
S HAMPTON RD,W ILLINOIS AVE,65,69,0,POINT (-96.85710256 32.72022427)
DALLAS PKWY,KELLER SPRINGS RD,60,33,0,POINT (-96.82122255 32.96856422)
LAKE JUNE RD,N MASTERS DR,54,54,0,POINT (-96.64843261 32.73401426)
US0075,ROYAL LN,86,64,0,POINT (-96.76906692 32.8985679)
SL0012,SL0354,75,62,0,POINT (-96.88084412 32.85821915)
ELM ST,N ST PAUL ST,62,41,0,POINT (-96.79591257 32.78211425)
LEMMON AVE,TURTLE CREEK BLVD,56,28,0,POINT (-96.80309257 32.80969425)
US0067,SL0012,68,69,0,POINT (-96.84612274 32.69128418)
