WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047364,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047365,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047366,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047367,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047368,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047369,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047370,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047371,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047372,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,95,(%) Percent,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047373,,,432613,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,5,Count,Total,6014--Understory,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047374,,,432613,false,
