Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20191571574,FRAUD - OTHER,1199,N,06/03/2019 04:00:00 PM,06/03/2019,1600,06/06/2019 05:34:00 PM,06/06/2019,1734,DEPARTMENT / DISCOUNT STORE,10817 BALLARD PATH,78717,6,AD,5,573,203.11,,,,,3097785,3097785,30.48364631,-97.7894953,"(30.48364631, -97.7894953)"
20191550153,DEADLY CONDUCT,408,N,06/04/2019 03:12:00 AM,06/04/2019,312,06/04/2019 03:16:00 AM,06/04/2019,316,RESIDENCE / HOME,8312 N IH 35 SVRD SB,78753,4,ED,1,250,18.06,N,06/06/2019,13A,Aggravated Assault,3128227,3128227,30.34664576,-97.69657342,"(30.34664576, -97.69657342)"
20195022816,THEFT OF LICENSE PLATE,614,N,06/03/2019 03:00:00 PM,06/03/2019,1500,06/04/2019 03:22:00 PM,06/04/2019,1522,RESIDENCE / HOME,6312 LIBYAN DR,78745,2,FR,4,509,24.09,N,06/04/2019,23G,Theft,3098393,3098393,30.20526729,-97.79490043,"(30.20526729, -97.79490043)"
20205007833,RUNAWAY CHILD,4100,N,02/22/2020 06:00:00 PM,02/22/2020,1800,02/24/2020 06:03:00 PM,02/24/2020,1803,RESIDENCE / HOME,13012 DEARBONNE DR,78617,2,HE,7,612,,N,03/03/2020,,,3155456,3155456,30.17613952,-97.6150307,"(30.17613952, -97.6150307)"
20191671388,BURGLARY OF RESIDENCE,500,N,06/14/2019 12:00:00 PM,06/14/2019,1200,06/16/2019 10:00:00 PM,06/16/2019,2200,RESIDENCE / HOME,3809 SPICEWOOD SPRINGS RD EB,78731,10,BA,8,256,17.51,N,09/18/2019,220,Burglary,3111039,3111039,30.36498691,-97.75058749,"(30.36498691, -97.75058749)"
20195022771,THEFT FROM AUTO,603,N,06/04/2019 10:00:00 AM,06/04/2019,1000,06/04/2019 12:34:00 PM,06/04/2019,1234,RESIDENCE / HOME,12433 DESSAU RD,78754,1,ED,6,206,18.42,N,06/07/2019,23F,Theft,3143646,3143646,30.38973892,-97.64647714,"(30.38973892, -97.64647714)"
20191491199,BURGLARY OF RESIDENCE,500,N,05/22/2019 05:00:00 AM,05/22/2019,500,05/29/2019 03:42:00 PM,05/29/2019,1542,RESIDENCE / HOME,5605 JIM HOGG AVE,78756,7,ID,7,288,2.05,N,06/05/2019,220,Burglary,3116077,3116077,30.32914365,-97.73557387,"(30.32914365, -97.73557387)"
20191442317,DISTURBANCE - OTHER,3401,N,05/24/2019 11:16:00 PM,05/24/2019,2316,05/24/2019 11:41:00 PM,05/24/2019,2341,RESIDENCE / HOME,4201 MONTEREY OAKS BLVD,78749,8,DA,6,79,17.49,,,,,3085873,3085873,30.22850779,-97.83394268,"(30.22850779, -97.83394268)"
20191390566,FAMILY DISTURBANCE,3400,N,05/19/2019 08:36:00 AM,05/19/2019,836,05/19/2019 08:36:00 AM,05/19/2019,836,RESIDENCE / HOME,1105 CLAYTON LN,78723,4,ID,5,292,21.05,N,06/02/2019,,,3126792,3126792,30.31796168,-97.70190647,"(30.31796168, -97.70190647)"
2016152010,DWI 2ND,2102,N,01/15/2016 11:08:00 PM,01/15/2016,2308,01/16/2016 12:05:00 AM,01/16/2016,5,STREETS / HWY / ROAD / ALLEY,2100 W BEN WHITE BLVD EB,78745,5,DA,4,488,,C,02/03/2016,,,3099641,3099641,30.23087705,-97.79027457,"(30.23087705, -97.79027457)"
20053350683,VIOL CITY ORDINANCE - CURFEW,3213,N,12/01/2005 10:40:00 AM,12/01/2005,1040,12/01/2005 10:40:00 AM,12/01/2005,1040,STREETS / HWY / ROAD / ALLEY,CRIPPLE CREEK DR / PARKFIELD DR,78758,4,ED,1,239,,C,02/06/2006,,,3126584,3126584,30.37489529,-97.70101271,"(30.37489529, -97.70101271)"
