INTERSECTIONID,ONST,CRST,QUAD,INSPECTOR,DATE,EVNT_LAT,EVNT_LON,EVNT_MAP,EVNT_TYPE,PED_SIGNAL_PRES,CPL_SIZE,CPL_FORCE,CPL_OP,CPL_CTRST,CPL_VIS,CPL_AUD,CMNT_1,CPL_LDG,CPL_PROX,CPL_PLACE,CPL_SEP,CPL_HGT,CPL_CW_1,CPL_CW_2,CMNT_2,OA_CMNT,Mapped Location
3580,Gallatin Pike S,Emmitt Avenue,Northeast,Jeff Pedine,04/11/2019 12:00:00 AM,36.253319,-86.716576,5104,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.716576 36.253319)
2923,Bell Road,Blue Hole Rd,Southeast,Greg Roddy,04/09/2019 12:00:00 AM,36.04557,-86.67424,16212,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The ped signal light is in good working condition.,POINT (-86.67424 36.04557)
4687,Old Hickory Blvd,Cedarmont Dr,Southeast,Greg Roddy,04/09/2019 12:00:00 AM,36.045311,-86.703499,16209,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The ped signal light is in good working condition.,POINT (-86.703499 36.045311)
2460,Old Hickory Boulevard,24th Street,Northeast,Jeff Pedine,04/10/2019 12:00:00 AM,36.247643,-86.641243,5307,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.641243 36.247643)
4763,Merritt Street,Robinson Road,Northwest,Jeff Pedine,04/10/2019 12:00:00 AM,36.255863,-86.65419,5302,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,42,8,0,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.65419 36.255863)
3265,Doverside Drive,Unnamed,Northeast,Jeff Pedine,04/11/2019 12:00:00 AM,36.242569,-86.760048,5012,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.760048 36.242569)
3820,Harding place,Danby dr,Southwest,Jacob Locey,04/16/2019 12:00:00 AM,36.078514,-86.745369,14701,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational. No push button observed.,POINT (-86.745369 36.078514)
3844,Harding place,Harding mall rd,Northeast,Jacob Locey,04/16/2019 12:00:00 AM,36.080559,-86.72319,14703,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.72319 36.080559)
4610,McCall st,Nolensville pk,Northeast,Jacob Locey,04/17/2019 12:00:00 AM,36.099712,-86.739342,13302,PED_SIGNAL,true,false,false,false,true,false,false,Red button with yellow housing.,true,true,false,true,48,1.7,12.5,Push button is too close to curb.,Pedestrian signal is operational. Push button has no visual or audio indicators.,POINT (-86.739342 36.099712)
4900,W Trinity Lane,Youngs Lane,Southwest,Jeff Pedine,04/30/2019 12:00:00 AM,36.205944,-86.811005,7007,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.811005 36.205944)
