SUMD ID,SUMD Type,SUMD Group,GPS Latitude,GPS Longitude,Availability Start Date,Availability Start Time,Availability Duration,Real Time Fare,Company Website,Company Phone
Powered 1QEU9,Powered,scooter,36.147529,-86.803092,2020-02-12,15:59:41,10979.560535567,15,1-866-205-2442,https://www.bird.co
Powered 33KD4,Powered,scooter,36.160414,-86.776707,2020-02-12,17:40:34,4926.554267512,15,1-866-205-2442,https://www.bird.co
Powered 36JMX,Powered,scooter,36.139662,-86.796803,2020-02-12,17:05:38,7022.544495533,15,1-866-205-2442,https://www.bird.co
Powered 3IBN1,Powered,scooter,36.16043,-86.7767,2020-02-12,17:40:33,4927.54169536,15,1-866-205-2442,https://www.bird.co
Powered 3TU4U,Powered,scooter,36.14254,-86.805354,2020-02-12,18:34:45,1675.550773095,15,1-866-205-2442,https://www.bird.co
Powered 4ICDD,Powered,scooter,36.149249,-86.800729,2020-02-12,15:35:50,12410.545907527,15,1-866-205-2442,https://www.bird.co
Powered 631SU,Powered,scooter,36.148781,-86.798701,2020-02-12,15:25:14,13046.557765849,15,1-866-205-2442,https://www.bird.co
Powered 6TDBK,Powered,scooter,36.148023,-86.803621,2020-02-12,18:04:14,3506.558455281,15,1-866-205-2442,https://www.bird.co
Powered 8NPNR,Powered,scooter,36.1462,-86.799961,2020-02-12,18:50:08,752.538837946,15,1-866-205-2442,https://www.bird.co
Powered 9TPK7,Powered,scooter,36.145044,-86.800601,2020-02-12,17:58:20,3860.54379811,15,1-866-205-2442,https://www.bird.co
Powered ADBM6,Powered,scooter,36.139702,-86.80064899999999,2020-02-12,16:22:03,9637.553576382,15,1-866-205-2442,https://www.bird.co
Powered C28LX,Powered,scooter,36.148586,-86.800233,2020-02-12,15:15:25,13635.538091431,15,1-866-205-2442,https://www.bird.co
Powered DI6NE,Powered,scooter,36.140318,-86.796673,2020-02-12,16:55:49,7611.552162663,15,1-866-205-2442,https://www.bird.co
Powered DLWXW,Powered,scooter,36.142837,-86.801503,2020-02-12,18:08:17,3263.540265554,15,1-866-205-2442,https://www.bird.co
Powered F3X21,Powered,scooter,36.143343,-86.801956,2020-02-12,15:37:58,12282.561981326,15,1-866-205-2442,https://www.bird.co
Powered G1G3J,Powered,scooter,36.140072,-86.798033,2020-02-12,18:42:22,1218.542399575,15,1-866-205-2442,https://www.bird.co
Powered GUM4W,Powered,scooter,36.146115,-86.804161,2020-02-12,18:36:07,1593.557069721,15,1-866-205-2442,https://www.bird.co
Powered H5738,Powered,scooter,36.148545,-86.800172,2020-02-12,15:10:32,13928.548670045,15,1-866-205-2442,https://www.bird.co
Powered HZCVY,Powered,scooter,36.146207,-86.802207,2020-02-12,18:17:12,2728.559149016,15,1-866-205-2442,https://www.bird.co
Powered IB2CC,Powered,scooter,36.152581,-86.79381,2020-02-12,01:11:43,64257.561252128,15,1-866-205-2442,https://www.bird.co
Powered J3BT3,Powered,scooter,36.148738,-86.801246,2020-02-12,18:16:34,2766.555651059,15,1-866-205-2442,https://www.bird.co
Powered JVJYL,Powered,scooter,36.14437,-86.800673,2020-02-12,16:33:19,8961.539558866,15,1-866-205-2442,https://www.bird.co
Powered JZVTM,Powered,scooter,36.142695,-86.808127,2020-02-12,17:05:03,7057.545221894,15,1-866-205-2442,https://www.bird.co
Powered K5YMK,Powered,scooter,36.145831,-86.804761,2020-02-12,02:42:11,58829.546599594,15,1-866-205-2442,https://www.bird.co
Powered MU1C4,Powered,scooter,36.148446,-86.800762,2020-02-12,16:14:46,10074.537329543,15,1-866-205-2442,https://www.bird.co
Powered MXGP7,Powered,scooter,36.142126,-86.808261,2020-02-12,16:24:46,9474.552877675,15,1-866-205-2442,https://www.bird.co
Powered NH263,Powered,scooter,36.138942,-86.80494,2020-02-12,15:11:00,13900.54728489,15,1-866-205-2442,https://www.bird.co
Powered NNSFG,Powered,scooter,36.139061,-86.797961,2020-02-12,18:46:35,965.551462602,15,1-866-205-2442,https://www.bird.co
Powered QZX2M,Powered,scooter,36.136678,-86.801355,2020-02-12,18:48:37,843.556350579,15,1-866-205-2442,https://www.bird.co
Powered T72J8,Powered,scooter,36.14546,-86.801597,2020-02-12,18:41:27,1273.554961404,15,1-866-205-2442,https://www.bird.co
Powered TFA2R,Powered,scooter,36.138846,-86.806033,2020-02-12,15:15:11,13648.601136532,15,1-866-205-2442,https://www.bird.co
Powered UJH9N,Powered,scooter,36.139661,-86.796779,2020-02-12,17:05:39,7021.547977265,15,1-866-205-2442,https://www.bird.co
Powered VAMM9,Powered,scooter,36.149022,-86.801752,2020-02-12,18:45:42,1018.549390922,15,1-866-205-2442,https://www.bird.co
Powered Y47HK,Powered,scooter,36.161192,-86.776036,2020-02-12,17:40:31,4929.540997763,15,1-866-205-2442,https://www.bird.co
Powered YTT8X,Powered,scooter,36.145215,-86.802283,2020-02-12,18:08:23,3257.54309673,15,1-866-205-2442,https://www.bird.co
Powered Z232L,Powered,scooter,36.149669,-86.805959,2020-02-12,16:29:55,9165.559835167,15,1-866-205-2442,https://www.bird.co
Powered Z7FP3,Powered,scooter,36.139629,-86.796807,2020-02-12,17:05:38,7022.550077856,15,1-866-205-2442,https://www.bird.co
