SUMMONS NUMBER,SUMMONS DATE,VIOLATION TIME,VIOLATION DESCRIPTION,ORIGINAL FINE,VIOLATION ADDRESS NUMBER,VIOLATION STREET,VIOLATION FULL ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,LOCATION,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK
18688489,12/22/2008,0932A,ALTERNATE PARKING,30,56,XXX,56 XXX,Buffalo,NY,,,,,,,,
38551497,10/02/2007,0733A,LESS THAN 20 FT FROM CROSSWALK,30,,180LPBIDWELL,180LPBIDWELL,Buffalo,NY,,,,,,,,
38580963,02/27/2007,0804A,NO STANDING,35,,125LPHODGE,125LPHODGE,Buffalo,NY,,,,,,,,
38585973,03/15/2007,0731A,ALTERNATE PARKING,30,177,IBIDWELL,177 IBIDWELL,Buffalo,NY,,,,,,,,
38602208,04/10/2007,0757A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
38627674,06/06/2007,0759A,NO STANDING,35,,864LPMICHIGAN,864LPMICHIGAN,Buffalo,NY,,,,,,,,
38629961,06/28/2007,0754A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
38637509,07/03/2007,1040A,METHOD OF PARKING(ALL),35,,PEARL,PEARL,Buffalo,NY,,,,,,,,
38639380,08/16/2007,0756A,NO STANDING,35,,864LPMICHIGAN,864LPMICHIGAN,Buffalo,NY,,,,,,,,
38652517,08/21/2007,0752A,PARKED IN HANDICAPPED AREA,100,,125LPHODGE,125LPHODGE,Buffalo,NY,,,,,,,,
38663912,11/28/2007,0134P,NO PARKING,35,,111LPEAGLE WEST,111LPEAGLE WEST,Buffalo,NY,,,,,,,,
38668955,12/11/2007,0115P,METHOD OF PARKING(ALL),35,,DELAWARE,DELAWARE,Buffalo,NY,,,,,,,,
38669434,10/17/2007,0742A,LESS THAN 20 FT FROM CROSSWALK,30,109,IBIDWELL,109 IBIDWELL,Buffalo,NY,,,,,,,,
38672888,10/31/2007,1254P,METHOD OF PARKING(ALL),35,56,54NIAGARA SQ,56 54NIAGARA SQ,Buffalo,NY,,,,,,,,
38679451,11/27/2007,1111A,NO STANDING,35,,111LPNIAGARA,111LPNIAGARA,Buffalo,NY,,,,,,,,
38689922,05/20/2008,0906A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38691039,12/14/2007,0837A,NO STANDING,35,,214LPGENESEE WEST,214LPGENESEE WEST,Buffalo,NY,,,,,,,,
38691307,12/26/2007,0717A,EXPIRED INSPECTION STICKER (ALL),35,,125LPHODGE,125LPHODGE,Buffalo,NY,,,,,,,,
38691364,12/27/2007,0754A,NO STANDING,35,,173LPCARLTON,173LPCARLTON,Buffalo,NY,,,,,,,,
38691433,12/31/2007,0802A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
38696302,01/08/2008,0755A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
