UNIQUE KEY,TOW DATE,AGENCY,VEHICLE YEAR,VEHICLE MAKE,LICENSE PLATE,LICENSE STATE,TOW LOCATION,CITY,STATE,ZIP,TOW REASON,TOW DESCRIPTION,LOCATION,LATITUDE,LONGITUDE,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD
200701011DPE,01/01/2007,DPE,1989,LINC,,NY,WEST/LAFAYETTE,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.920054024431, -78.896732958268)",42.92005402443136,-78.89673295826806,NIAGARA,District D,61,1,1021,UNKNOWN
200701012DPE,01/01/2007,DPE,1989,CADI,,NY,39 VERDUN,Buffalo,NY,14214,AI,ACCIDENT,"(42.92843066956, -78.838442680967)",42.92843066955972,-78.83844268096708,MASTEN,District E,40.01,4,4013,UNKNOWN
200701013DPE,01/01/2007,DPE,1993,BUIC,,NY,STRAUSS/BROADWAY,Buffalo,NY,14212,AI,ACCIDENT,"(42.892579982873, -78.841201957649)",42.89257998287279,-78.84120195764885,FILLMORE,District C,16,1,1002,UNKNOWN
200701014DPE,01/01/2007,DPE,1996,TOYO,,NY,51 POTOMAC,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.924063871626, -78.897165223139)",42.924063871625734,-78.89716522313935,NIAGARA,District D,171,1,1019,UNKNOWN
200701015DPE,01/01/2007,DPE,1998,CHEV,,NY,4 WEST CHIPPEWA,Buffalo,NY,14202,IL,ILLEGAL VEHICLE,"(42.890051643417, -78.873070752459)",42.89005164341721,-78.87307075245933,ELLICOTT,District B,165,1,1019,UNKNOWN
200701016DPE,01/01/2007,DPE,1993,FORD,,NY,91 LOMBARD,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.888538549998, -78.837006889815)",42.888538549997925,-78.83700688981466,FILLMORE,District C,16,4,4007,UNKNOWN
2007010210DPE,01/02/2007,DPE,1998,HYUN,,NY,7TH COLUMBUS,Buffalo,NY,14220,IL,ILLEGAL VEHICLE,"(42.847678061184, -78.82332825776)",42.84767806118392,-78.82332825776031,SOUTH,District A,8,2,2012,UNKNOWN
200701021DPE,01/02/2007,DPE,1995,FORD,,NY,755 E DELAVAN,Buffalo,NY,14215,IL,ILLEGAL VEHICLE,"(42.922084926978, -78.829074211419)",42.92208492697772,-78.82907421141898,MASTEN,District E,34,2,2001,UNKNOWN
200701022DPE,01/02/2007,DPE,2006,KIA,,NY,GRANT/198,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.936532982146, -78.888795057792)",42.936532982146026,-78.88879505779248,NORTH,District D,171,5,5003,UNKNOWN
200701023DPE,01/02/2007,DPE,2000,CHEV,,NY,WALDEN/BAILEY AVE,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.904855016498, -78.813761059639)",42.904855016497855,-78.81376105963876,LOVEJOY,District C,28,4,4002,UNKNOWN
200701024DPE,01/02/2007,DPE,1999,CHEV,,NY,NORTH/DELAWARE,Buffalo,NY,14209,IL,ILLEGAL VEHICLE,"(42.902232020561, -78.873022007377)",42.902232020560575,-78.8730220073772,ELLICOTT,District B,67.02,2,2003,UNKNOWN
200701025DPE,01/02/2007,DPE,1992,CHEV,,NY,GENESEE/BURGARD,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.912202010205, -78.814786003795)",42.912202010205384,-78.8147860037952,FILLMORE,District C,36,1,1011,UNKNOWN
200701026JMA,01/02/2007,JMA,1986,GMC,,NY,260 TAUNTON,Buffalo,NY,14216,AB,ABANDONED VEHICLE,"(42.954620909075, -78.854701009163)",42.954620909074535,-78.85470100916325,DELAWARE,District D,51,1,1015,UNKNOWN
200701027DPE,01/02/2007,DPE,1999,DODG,,PA,1 PEACE BRIDGE,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.909778814607, -78.809221349583)",42.90977881460747,-78.80922134958261,LOVEJOY,District C,30,3,3001,UNKNOWN
200701028DPE,01/02/2007,DPE,2001,CHRY,,AL,55 FLOSS,Buffalo,NY,14211,AI,ACCIDENT,"(42.917690928897, -78.8048606203)",42.917690928896555,-78.80486062030003,LOVEJOY,District E,37,1,1005,UNKNOWN
200701029DPE,01/02/2007,DPE,1990,HOND,,NY,94 CHENANGO,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.913691753906, -78.884671273025)",42.91369175390573,-78.88467127302535,NIAGARA,District B,66.01,1,1004,UNKNOWN
2007010310DPE,01/03/2007,DPE,1996,CHEV,,NY,619 NORTHUMBERLAND,Buffalo,NY,14215,ST,STOLEN VEHICLE,"(42.932584501639, -78.820621506021)",42.93258450163936,-78.82062150602081,MASTEN,District E,42,4,4001,UNKNOWN
200701031DPE,01/03/2007,DPE,1991,FORD,,NY,JEFFERSON/WILLIAM,Buffalo,NY,14206,IL,ILLEGAL VEHICLE,"(42.885151958419, -78.853936054377)",42.88515195841872,-78.8539360543766,ELLICOTT,District C,14.02,2,2000,UNKNOWN
200701032DPE,01/03/2007,DPE,1990,BUIC,,NY,245 E AMHERST,Buffalo,NY,14214,IL,ILLEGAL VEHICLE,"(42.940078541778, -78.828523218758)",42.94007854177769,-78.82852321875846,MASTEN,District E,40.01,1,1000,UNKNOWN
