APCASEINSPKEY,INSPTYPE,CASENO,SCHEDDTTM,COMPDTTM,RESULTDTTM,RESULT,INSPBY,COMMENTS,ADDRESS NUMBER,STREET NAME,ADDRESS,CITY,STATE,ZIP,SBL,LATITUDE,LONGITUDE,LOCATION,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD
10229570,INITIAL,GEN20-9487473,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,VIOLATION,Robert Roman,311 lov sent,80,SIDWAY,80 SIDWAY,BUFFALO,NY,14210,1224900001003000,42.867883945958674,-78.85825858850117,POINT (-78.858258588501 42.867883945959),FILLMORE,District A,5,1,1016,First Ward
10229573,INITIAL,GEN20-9487474,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,VIOLATION,Monique Bates,,167,VANDERBILT,167 VANDERBILT,BUFFALO,NY,14206,1124300004001000,42.89236005862676,-78.80328418986377,POINT (-78.803284189864 42.892360058627),LOVEJOY,District C,24,3,3001,Lovejoy
10229576,INITIAL,GEN20-9487475,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Daniel Purcell,lov,79,RICH,79 RICH,BUFFALO,NY,14211,1007600001048000,42.903094569044036,-78.84255032650256,POINT (-78.842550326503 42.903094569044),FILLMORE,District C,166,2,2002,Broadway Fillmore
10229579,INITIAL,GEN20-9487476,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,VIOLATION,Robert Roman,patrol,366,PERRY,366 PERRY,BUFFALO,NY,14204,1222400001002100,42.87372959264031,-78.86369210480925,POINT (-78.863692104809 42.87372959264),FILLMORE,District A,164,2,2005,Ellicott
10229580,INITIAL,GEN20-9487477,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,VIOLATION,Monique Bates,,88,ST MARYS,88 ST MARYS,BUFFALO,NY,14211,1015800001015000,42.90831107574046,-78.8071346125097,POINT (-78.80713461251 42.90831107574),LOVEJOY,District C,30,3,3001,Schiller Park
10229583,INITIAL,GEN20-9487478,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,NCA,Monique Bates,,1079,LOVEJOY,1079 LOVEJOY,BUFFALO,NY,14206,1125000002001000,42.88969582179,-78.80843169827122,POINT (-78.808431698271 42.88969582179),LOVEJOY,District C,23,4,4000,Lovejoy
10229585,INITIAL,GEN20-9487480,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,NCA,Monique Bates,,448,GOETHE,448 GOETHE,BUFFALO,NY,14212,1122700004018100,42.897089336647696,-78.79995227430675,POINT (-78.799952274307 42.897089336648),LOVEJOY,District C,24,6,6001,Lovejoy
10229587,INITIAL,GEN20-9487481,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Daniel Purcell,lov,701,BEST,701 BEST,BUFFALO,NY,14211,1007600001003000,42.90365203282813,-78.842284761871,POINT (-78.842284761871 42.903652032828),FILLMORE,District C,166,2,2002,Broadway Fillmore
10229591,INITIAL,GEN20-9487482,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,VIOLATION,DAVID GILSON,,352,DARTMOUTH,352 DARTMOUTH,BUFFALO,NY,14215,0798100001024000,42.94349388334499,-78.81153385966634,POINT (-78.811533859666 42.943493883345),UNIVERSITY,District E,43,2,2001,Kensington-Bailey
10229596,INITIAL,GEN20-9487483,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,VIOLATION,Monique Bates,311 COMPLAINT,317,IDEAL,317 IDEAL,BUFFALO,NY,14206,1123400003044000,42.89344941299778,-78.80731909756315,POINT (-78.807319097563 42.893449412998),LOVEJOY,District C,24,4,4002,Lovejoy
10229603,INITIAL,GEN20-9487484,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Daniel Purcell,lov,40,LOCUST,40 LOCUST,BUFFALO,NY,14204,1113200003001100,42.89530964636568,-78.86166392043373,POINT (-78.861663920434 42.895309646366),ELLICOTT,District B,25.02,1,1002,Fruit Belt
10229603,INITIAL,GEN20-9487484,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Daniel Purcell,lov,40,LOCUST,40 LOCUST,BUFFALO,NY,14204,1113200003002000,42.89530964636568,-78.86166392043373,POINT (-78.861663920434 42.895309646366),ELLICOTT,District B,25.02,1,1002,Fruit Belt
10229607,INITIAL,GEN20-9487485,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,VIOLATION,DAVID GILSON,,309,DARTMOUTH,309 DARTMOUTH,BUFFALO,NY,14215,0798100008001000,42.94338203145329,-78.81294602786053,POINT (-78.812946027861 42.943382031453),UNIVERSITY,District E,43,2,2002,Kensington-Bailey
10229613,INITIAL,GEN20-9487486,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,VIOLATION,Robert Roman,patrol,473,JEFFERSON,473 JEFFERSON,BUFFALO,NY,14204,1115000001022000,42.887933874573825,-78.85387907893019,POINT (-78.85387907893 42.887933874574),ELLICOTT,District C,15,2,2010,Broadway Fillmore
10229616,INITIAL,GEN20-9487487,11/09/2020 12:00:00 AM +0000,11/09/2020 12:00:00 AM +0000,11/09/2020 12:00:00 AM +0000,VIOLATION,John C Stephens,Initial 311,461,CONNECTICUT,461 CONNECTICUT,BUFFALO,NY,14213,0996000007002000,42.90754306946522,-78.88421070425247,POINT (-78.884210704252 42.907543069465),NIAGARA,District B,67.01,2,2005,Elmwood Bryant
10229618,INITIAL,GEN20-9487488,,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,VIOLATION,DAVID GILSON,,320,SHIRLEY,320 SHIRLEY,BUFFALO,NY,14215,0797300005033000,42.94426165526424,-78.81256589615666,POINT (-78.812565896157 42.944261655264),UNIVERSITY,District E,43,3,3005,Kensington-Bailey
10217237,INITIAL,GEN20-9482106,,07/09/2020 12:00:00 AM +0000,07/09/2020 12:00:00 AM +0000,VIOLATION,Michael J Kelly,,47,GIRARD,47 GIRARD,BUFFALO,NY,14211,1006000006013000,42.90836724516761,-78.84213316050597,POINT (-78.842133160506 42.908367245168),ELLICOTT,District C,35,4,4009,MLK Park
10217246,INITIAL,GEN20-9482109,08/14/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,1439,DELAVAN EAST,1439 DELAVAN EAST,BUFFALO,NY,14215,0908200004006000,42.92269915088268,-78.80350437400823,POINT (-78.803504374008 42.922699150883),LOVEJOY,District E,38,1,1004,Schiller Park
10217247,INITIAL,GEN20-9482110,,07/09/2020 12:00:00 AM +0000,07/09/2020 12:00:00 AM +0000,NCA,Monique Bates,,112,KEYSTONE,112 KEYSTONE,BUFFALO,NY,14211,1016500009009000,42.90460318309334,-78.81053395219115,POINT (-78.810533952191 42.904603183093),LOVEJOY,District C,30,2,2007,Genesee-Moselle
10217251,INITIAL,GEN20-9482112,08/28/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,5,COUNTESS,5 COUNTESS,BUFFALO,NY,14211,1014200003024000,42.913790270360856,-78.80476707823146,POINT (-78.804767078231 42.913790270361),LOVEJOY,District C,37,2,2000,Schiller Park
10217257,INITIAL,GEN20-9482114,07/24/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,1861,GENESEE,1861 GENESEE,BUFFALO,NY,14211,1014100006006000,42.9128934755453,-78.81291198514616,POINT (-78.812911985146 42.912893475545),LOVEJOY,District C,37,3,3003,Genesee-Moselle
10201815,INITIAL,GEN19-9474985,12/27/2019 12:00:00 AM +0000,12/27/2019 12:00:00 AM +0000,12/31/2019 12:00:00 AM +0000,VIOLATION,ANGELA   WHITE,"<FONT face=""Times New Roman"" size=2>infested need ppw to show property has been exterminated</FONT>",484,GRANT,484 GRANT,BUFFALO,NY,14213,0886700001042000,42.92716925766783,-78.88953887247781,POINT (-78.889538872478 42.927169257668),NORTH,District D,171,2,2002,Upper West Side
10229625,INITIAL,GEN20-9487489,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,NCA,ANGELA   WHITE,no cause,585,DELAVAN WEST,585 DELAVAN WEST,BUFFALO,NY,14222,0897700004007000,42.92215677338718,-78.87744473321281,POINT (-78.877444733213 42.922156773387),DELAWARE,District D,63.01,2,2007,Elmwood Bidwell
10229626,INITIAL,GEN20-9487490,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,10/30/2020 12:00:00 AM +0000,VIOLATION,ANGELA   WHITE,311 Complaint,577,POTOMAC,577 POTOMAC,BUFFALO,NY,14222,0896900004015000,42.924136496737994,-78.87785493516127,POINT (-78.877854935161 42.924136496738),DELAWARE,District D,63.01,2,2000,Elmwood Bidwell
10229633,INITIAL,GEN20-9487491,,11/13/2020 12:00:00 AM +0000,11/13/2020 12:00:00 AM +0000,NCA,Monique Bates,,65,PERSON,65 PERSON,BUFFALO,NY,14212,1123100010033000,42.892657241881444,-78.82465334763954,POINT (-78.82465334764 42.892657241881),FILLMORE,District C,24,1,1010,Lovejoy
10229638,INITIAL,GEN20-9487492,12/16/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,174,ZELMER,174 ZELMER,BUFFALO,NY,14211,1014200001009000,42.91361064399384,-78.80725225450055,POINT (-78.807252254501 42.913610643994),LOVEJOY,District C,37,2,2002,Schiller Park
10229641,INITIAL,GEN20-9487493,03/03/2021 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,229,BISSELL,229 BISSELL,BUFFALO,NY,14211,1014700002008100,42.910044637033465,-78.8231755511908,POINT (-78.823175551191 42.910044637033),FILLMORE,District C,36,3,3006,Genesee-Moselle
10229641,INITIAL,GEN20-9487493,03/03/2021 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,229,BISSELL,229 BISSELL,BUFFALO,NY,14211,1014700002009000,42.910044637033465,-78.8231755511908,POINT (-78.823175551191 42.910044637033),FILLMORE,District C,36,3,3006,Genesee-Moselle
10229646,INITIAL,GEN20-9487494,04/21/2021 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,318,DOAT,318 DOAT,BUFFALO,NY,14211,1014900006035000,42.90981984759842,-78.80896894737965,POINT (-78.80896894738 42.909819847598),LOVEJOY,District C,37,2,2004,Schiller Park
10217291,INITIAL,GEN20-9482127,08/28/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,1309,DELAVAN EAST,1309 DELAVAN EAST,BUFFALO,NY,14211,0908100006003000,42.9226543371023,-78.80838091696256,POINT (-78.808380916963 42.922654337102),LOVEJOY,District E,37,1,1002,Schiller Park
10229648,INITIAL,GEN20-9487495,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Thomas Carter,LOV,166,PRIES,166 PRIES,BUFFALO,NY,14220,1333000004045000,42.85037959683995,-78.82820581339368,POINT (-78.828205813394 42.85037959684),SOUTH,District A,2,2,2003,Hopkins-Tifft
10229650,INITIAL,GEN20-9487496,,11/16/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,NCA,Thomas Carter,POSTED SWO / PERMIT OBTAINED,132,WOODSIDE,132 WOODSIDE,BUFFALO,NY,14220,1335600002074000,42.84263183419541,-78.82854415779491,POINT (-78.828544157795 42.842631834195),SOUTH,District A,1.10,4,4002,Hopkins-Tifft
10229651,INITIAL,GEN20-9487497,11/16/2020 12:00:00 AM +0000,11/16/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Thomas Carter,LOV,98,RICHFIELD,98 RICHFIELD,BUFFALO,NY,14220,1334000006026000,42.84616655201464,-78.82007421038044,POINT (-78.82007421038 42.846166552015),SOUTH,District A,8,1,1000,South Park
10229656,INITIAL,GEN20-9487498,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Phillip Mazzone,LOV,1402,DELAVAN EAST,1402 DELAVAN EAST,BUFFALO,NY,14215,0907400005031000,42.92279700071157,-78.8049235189006,POINT (-78.804923518901 42.922797000712),UNIVERSITY,District E,41,4,4004,Kenfield
10229660,PROGRESS,GEN20-9486659,12/22/2020 12:00:00 AM +0000,11/12/2020 12:00:00 AM +0000,11/12/2020 12:00:00 AM +0000,FAILED,Luis Soto,no change,207,CHADDUCK,207 CHADDUCK,BUFFALO,NY,14207,0774000007025000,42.95611578020585,-78.905353060957,POINT (-78.905353060957 42.956115780206),NORTH,District D,58.02,3,3002,Riverside
10229662,INITIAL,GEN20-9487499,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,Phillip Mazzone,LOV,66,WESTON,66 WESTON,BUFFALO,NY,14215,0905700003021000,42.928379710460156,-78.81128104990167,POINT (-78.811281049902 42.92837971046),UNIVERSITY,District E,44.02,2,2008,Kenfield
10229665,INITIAL,GEN20-9487500,,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,PAUL CLIFT,,578,HOWARD,578 HOWARD,BUFFALO,NY,14206,1126200001021000,42.88303612469543,-78.8320367705193,POINT (-78.832036770519 42.883036124695),FILLMORE,District C,17,1,1002,Broadway Fillmore
10217259,INITIAL,GEN20-9482115,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,Robert Kendall,"7/13/20 - finalize permit for addition, plans never submitted for change of use to a Multiple Dwelling which is current status which owner was advised over a year ago to not occupy 3rd unit. Viewed&nbsp;4 meters,&nbsp;3 mailboxes and gas meters&nbsp;",395,ELMWOOD,395 ELMWOOD,BUFFALO,NY,14222,1005400001037000,42.90769177646574,-78.87704029486453,POINT (-78.877040294865 42.907691776466),NIAGARA,District B,67.02,3,3002,Elmwood Bryant
10217263,INITIAL,GEN20-9482117,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,VIOLATION,Sean Myers,311,22,PULASKI,22 PULASKI,BUFFALO,NY,14206,1233400004008000,42.872200163186335,-78.80503045989306,POINT (-78.805030459893 42.872200163186),LOVEJOY,District A,167,2,2002,Kaisertown
10217267,INITIAL,GEN20-9482119,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,VIOLATION,Sean Myers,311,18,PULASKI,18 PULASKI,BUFFALO,NY,14206,1233400004010000,42.87214276558149,-78.8050324543313,POINT (-78.805032454331 42.872142765581),LOVEJOY,District A,167,2,2002,Kaisertown
10217270,INITIAL,GEN20-9482122,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,VIOLATION,Sean Myers,311,1510,WILLIAM,1510 WILLIAM,BUFFALO,NY,14206,1125600002020000,42.884851427522435,-78.81497782911717,POINT (-78.814977829117 42.884851427522),LOVEJOY,District C,23,4,4003,Lovejoy
10217279,INITIAL,GEN20-9482125,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,VIOLATION,Sean Myers,311,129,LONGNECKER,129 LONGNECKER,BUFFALO,NY,14206,1125000002042000,42.88833942645177,-78.80850706654272,POINT (-78.808507066543 42.888339426452),LOVEJOY,District C,23,4,4000,Lovejoy
10229667,INITIAL,GEN20-9487501,,11/17/2020 12:00:00 AM +0000,11/17/2020 12:00:00 AM +0000,VIOLATION,PAUL CLIFT,,221,LOMBARD,221 LOMBARD,BUFFALO,NY,14212,1122900010015000,42.89209801104724,-78.83702098770311,POINT (-78.837020987703 42.892098011047),FILLMORE,District C,16,4,4001,Broadway Fillmore
10229699,INITIAL,GEN20-9487512,,11/18/2020 12:00:00 AM +0000,11/18/2020 12:00:00 AM +0000,VIOLATION,KEVIN GOULD,,752,MAIN,752 MAIN,BUFFALO,NY,14203,1113000002001110,,,,,,,,,
10217242,PROGRESS,GEN19-9452615,07/31/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,PROGRESS,Jeorge Dawkins,07-14-20 COULDN'T VERIFY INTERIOR VIOLATIONS CALLED TENANT 464-3626 COULDN'T LEAVE MESSAGE,156,HAMLIN,156 HAMLIN,BUFFALO,NY,14208,1002700002024000,42.917779864292456,-78.8469077151708,POINT (-78.846907715171 42.917779864292),MASTEN,District E,33.01,2,2011,Hamlin Park
10217358,INITIAL,GEN20-9482149,,07/10/2020 12:00:00 AM +0000,07/10/2020 12:00:00 AM +0000,VIOLATION,TRACY KRUG,,49,UNGER,49 UNGER,BUFFALO,NY,14210,1237200001004000,42.8592750771512,-78.81937767223161,POINT (-78.819377672232 42.859275077151),SOUTH,District A,11,2,2002,Seneca-Cazenovia
10217362,PROGRESS,GEN19-9457390,08/12/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,NOPROGRESS,TRACY KRUG,,43,LOCUST,43 LOCUST,BUFFALO,NY,14204,1113200004015000,42.89533520371551,-78.86150235731378,POINT (-78.861502357314 42.895335203716),ELLICOTT,District B,25.02,1,1001,Fruit Belt
10217401,PROGRESS,GEN20-9482163,07/23/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,TOCRT,Thomas Carter,,383,HOPKINS,383 HOPKINS,BUFFALO,NY,14220,1333800005052000,42.84803242215733,-78.83222345800462,POINT (-78.832223458005 42.848032422157),SOUTH,District A,2,3,3003,Hopkins-Tifft
10036050,PROGRESS,242241,,04/09/2015 12:00:00 AM +0000,04/09/2015 12:00:00 AM +0000,PASSED,ROBERT BARRALI,,,,,,,,10036050,,,,,,,,,
