Editing,Botanical Name,Common Name,DBH,Total Yearly Eco Benefits ($),Stormwater Benefits ($),Stormwater Gallons Saved,Greenhouse CO2 Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),Energy Benefits ($),kWh Saved,Therms Saved,Air Quality Benefits ($),Pollutants Saved (in lbs.),Property Benefits ($),Leaf Surface Area (in sq. ft.),Address,Street,Side,Site,Council District,Park Name,Latitude,Longitude,Site ID,Location
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,SOBIESKI ST,Front,1,FILLMORE,0,42.8968624745409,-78.8328295236502,960,"(42.8968624745409, -78.8328295236502)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,CARLTON ST,Front,1,ELLICOTT,0,42.8985666193254,-78.8641559443613,13859,"(42.8985666193254, -78.8641559443613)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,LANDON ST,Front,1,ELLICOTT,0,42.9101515227356,-78.8477522671067,24179,"(42.9101515227356, -78.8477522671067)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,EAGLE ST EAST,Side,1,ELLICOTT,0,42.88050516727,-78.8519279623979,13630,"(42.88050516727, -78.8519279623979)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,HICKORY ST,Front,1,ELLICOTT,0,42.8881543675987,-78.8595938802454,15702,"(42.8881543675987, -78.8595938802454)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,MICHIGAN AV,Side,1,ELLICOTT,0,42.9067314203802,-78.8620110943071,10633,"(42.9067314203802, -78.8620110943071)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,KINGSLEY ST,Front,1,ELLICOTT,0,42.9081976369782,-78.8466313543393,12155,"(42.9081976369782, -78.8466313543393)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,CLINTON ST,Side,1,FILLMORE,0,42.8778184284605,-78.8338300676189,6232,"(42.8778184284605, -78.8338300676189)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,PECK ST,Front,1,FILLMORE,0,42.8950928674136,-78.8226161252507,5156,"(42.8950928674136, -78.8226161252507)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,BROADWAY ST,Side,1,FILLMORE,0,42.8962183759626,-78.8155348799843,5108,"(42.8962183759626, -78.8155348799843)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,LEWIS ST,Front,1,FILLMORE,0,42.8787050479284,-78.8342995519153,6933,"(42.8787050479284, -78.8342995519153)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,LORD ST,Front,1,FILLMORE,0,42.8773253391293,-78.8456440560013,5727,"(42.8773253391293, -78.8456440560013)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,CLINTON ST,Front,1,ELLICOTT,0,42.8812630008564,-78.8500913702113,16643,"(42.8812630008564, -78.8500913702113)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,ERIE ST,Front,1,FILLMORE,0,42.8799478668737,-78.8816903741028,20382,"(42.8799478668737, -78.8816903741028)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,HOWARD ST,Side,1,FILLMORE,0,42.8836746906285,-78.8449694882717,10602,"(42.8836746906285, -78.8449694882717)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,MILLS ST,Front,1,FILLMORE,0,42.8977703966661,-78.8365601070544,877,"(42.8977703966661, -78.8365601070544)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,NEWTON ST,Front,1,FILLMORE,0,42.8909939071327,-78.8303425140881,2189,"(42.8909939071327, -78.8303425140881)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,PEMBROKE AV,Front,1,MASTEN,0,42.9294155303454,-78.8257505814923,24425,"(42.9294155303454, -78.8257505814923)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,EMSLIE ST,Front,1,ELLICOTT,0,42.8890888514972,-78.8489324013686,8898,"(42.8890888514972, -78.8489324013686)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,LIDDELL ST,Front,1,FILLMORE,0,42.8979308290377,-78.8200906924287,925,"(42.8979308290377, -78.8200906924287)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,DODGE ST,Front,1,ELLICOTT,0,42.9058284519623,-78.8647709733306,10688,"(42.9058284519623, -78.8647709733306)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,OGDEN ST SOUTH,Front,1,LOVEJOY,0,42.8685250961477,-78.8021777832546,89911,"(42.8685250961477, -78.8021777832546)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,CORNWALL AV,Front,1,MASTEN,0,42.9194646389029,-78.8214639324707,23237,"(42.9194646389029, -78.8214639324707)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,GRAPE ST,Front,1,ELLICOTT,0,42.8992135855086,-78.8563001821991,11769,"(42.8992135855086, -78.8563001821991)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,HICKORY ST,Front,1,ELLICOTT,0,42.8919952030535,-78.86154078127,12538,"(42.8919952030535, -78.86154078127)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,URBAN ST,Front,1,FILLMORE,0,42.9092840601937,-78.8254523763181,2989,"(42.9092840601937, -78.8254523763181)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,NORTHAMPTON ST,Front,1,ELLICOTT,0,42.9074595593445,-78.8506550185811,10223,"(42.9074595593445, -78.8506550185811)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,LAUREL ST,Front,1,ELLICOTT,0,42.9100720573123,-78.8564722080477,13975,"(42.9100720573123, -78.8564722080477)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,COIT ST,Front,1,FILLMORE,0,42.891656021375,-78.8429839124239,465,"(42.891656021375, -78.8429839124239)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,RILEY ST,Front,1,ELLICOTT,0,42.9094149801195,-78.8545632683007,8592,"(42.9094149801195, -78.8545632683007)"
Olmsted,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,HUMBOLDT PKWY,Front,1,ELLICOTT,0,42.9105580889357,-78.8430511107144,24178,"(42.9105580889357, -78.8430511107144)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,HOLLAND PL,Front,1,ELLICOTT,0,42.9087699217504,-78.8636365441726,12029,"(42.9087699217504, -78.8636365441726)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,URBAN ST,Side,1,MASTEN,0,42.9090548666221,-78.8337806132172,22556,"(42.9090548666221, -78.8337806132172)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,BRISTOL ST,Front,1,FILLMORE,0,42.8806948580109,-78.8423936823335,5967,"(42.8806948580109, -78.8423936823335)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,HICKORY ST,Front,1,ELLICOTT,0,42.8868749945332,-78.8590793030114,15753,"(42.8868749945332, -78.8590793030114)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,NORTH ST EAST,Front,1,ELLICOTT,0,42.9020552299907,-78.8580137183449,12232,"(42.9020552299907, -78.8580137183449)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,JONES ST,Front,1,FILLMORE,0,42.8796119978035,-78.834881059673,6890,"(42.8796119978035, -78.834881059673)"
