Date,Parcel,Property Details,Property Type,Ward,Street Address,Zip Code,Title Status,Available for Purchase,Purchase Price,Funding Source,Status,New Georeferenced Column
05/02/2019,44L1340810800,Vacant Lot,Land Bank,4,Tatum St,72204,Quitclaim Deed,Yes,8400.00,City,,
12/10/2012,34L0430007800,Vacant Lot,Land Bank,1,1001 Dennison St,72202,Title Insurance Policy,Yes,5028.78,Federal,,POINT (-92.29877100000002 34.741616)
11/02/2010,34L1480010200,Vacant Lot,Land Bank,1,1623 Johnson St,72204,Title Insurance Policy,Yes,2575.93,Federal,,POINT (-92.308147 34.735617)
12/30/2010,34L1670000100,Vacant Lot,Land Bank,1,2001 Abigail St,72205,Title Insurance Policy,Yes,3284.36,Federal,,POINT (-92.321637 34.733272)
10/19/2010,34L1620026200,Vacant Lot,Land Bank,1,4223 W 19th St,72204,Quiet Title,Yes,1500.00,Federal,,POINT (-92.321049 34.733897)
12/22/2011,34L1750001500,Vacant Lot,Land Bank,1,3205 W 23rd St,72204,Title Insurance Policy,Yes,1534.91,Federal,,POINT (-92.309606 34.730384)
12/12/2017,44L1220006600,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 9),72204,Quitclaim Deed,Yes,,City,,
10/07/2011,34L1570001700,Vacant Lot,Land Bank,1,3215 W 17th St,72204,Title Insurance Policy,Yes,2000.00,Federal,,POINT (-92.309886 34.735556)
01/22/2018,34L1780013400,Vacant Lot,Land Bank,1,2306 Valmar St,72204,Commissioners Deed,Yes,3639.00,City,,POINT (-92.312855 34.730089)
09/05/2013,34L1480010800,Vacant Lot,Land Bank,1,3019 W 16th St,72204,Title Insurance Policy,Yes,3902.13,City,,POINT (-92.307807 34.736659)
07/08/2019,35L018011770,Vacant Lot,Land Bank,1,5301 Blueberry Dr,72206,Quit Claim Deed,Yes,16000.00,City,,POINT (-92.340493 34.629042)
12/12/2017,44L1220006700,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 10),72204,Quitclaim Deed,Yes,,City,,
08/19/2009,34L1890006200,Vacant Lot,Land Bank,1,1414 Jones St,72202,Title Insurance Policy,Yes,3758.96,Federal,,POINT (-92.302585 34.737185)
10/19/2010,34L1580000500,Vacant Lot,Land Bank,1,1808 Brown St,72204,Quiet Title,Yes,2000.00,Federal,,POINT (-92.310451 34.734415)
02/09/2012,34L2750302600,Vacant Lot,Land Bank,1,3504 Dr Martin Luther King Jr Dr,72206,Title Insurance Policy,Yes,3000.00,Federal,,POINT (-92.290229 34.714367)
12/12/2017,44L1220007200,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 8 Lot 3),72204,Quitclaim Deed,Yes,,City,,
09/20/2011,34L0920007200,Vacant Lot,Land Bank,1,3023 W 11th St,72204,Quiet Title,Yes,3000.00,City,,POINT (-92.307876 34.740989)
12/12/2017,44L1220006100,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 4),72204,Quitclaim Deed,Yes,,City,,
09/04/2012,34L1850058100,Vacant Lot,Land Bank,1,1816 S Schiller St,72202,Quitclaim Deed,Yes,3263.65,Federal,,POINT (-92.29671 34.733056)
04/27/2011,34L1780006300,Vacant Lot,Land Bank,1,2104 S Valmar St,72202,Title Insurance Policy,Yes,3040.90,Federal,,POINT (-92.312771 34.731873)
02/17/2016,34L1640003400,Vacant Lot,Land Bank,1,4021 W 23rd St,72204,Quiet Title,Yes,2000.00,Federal,,POINT (-92.319158 34.73052)
11/01/2016,34L1570009200,Vacant Lot,Land Bank,1,1601 S Elm St,72204,Quitclaim Deed,Yes,2000.00,City,,POINT (-92.319172 34.736803)
12/12/2017,44L1220006000,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 3),72204,Quitclaim Deed,Yes,,City,,
12/12/2017,44L1220006200,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 5),72204,Quitclaim Deed,Yes,,City,,
04/03/2017,34L3010006400,Vacant Lot,Land Bank,1,5118 W 31st St,72204,Warranty Deed,Yes,3000.00,City,,POINT (-92.331803 34.723889)
05/07/2012,34L1710002100,Vacant Lot,Land Bank,1,2613 Abigail St,72205,Title Insurance Policy,Yes,1222.04,Federal,,POINT (-92.321727 34.727497)
10/25/2010,34L2650001400,Vacant Lot,Land Bank,1,3101 S Arch St,72206,Title Insurance Policy,Yes,4209.79,Federal,,POINT (-92.280451 34.718436)
04/02/2012,34L1350000600,Vacant Lot,Land Bank,1,4624 W 23rd St,72204,Title Insurance Policy,Yes,2000.00,City,,POINT (-92.3252 34.730793)
10/19/2010,34L1520002100,Vacant Lot,Land Bank,1,3426 W 18th St,72204,Quiet Title,Yes,3000.00,Federal,,POINT (-92.312262 34.73477)
03/03/2017,34L1780007500,Structure,Land Bank,1,2017 S Maple St,72204,Title Insurance Policy,Yes,5000.00,City,,POINT (-92.315002 34.732389)
05/31/2019,45L0240001100,Structure,Land Bank,1,7909 Mann Rd,72209,Quitclaim Deed,Yes,106450.00,City,,POINT (-92.366189 34.668228)
10/03/2012,34L1590005600,Vacant Lot,Land Bank,1,1812 Johnson St,72204,Title Insurance Policy,Yes,1103.91,City,,POINT (-92.30826400000001 34.734093)
04/20/2011,34L1570018900,Vacant Lot,Land Bank,1,3812 W Charles Bussey St,72204,Title Insurance Policy,Yes,1980.00,City,,POINT (-92.31645 34.733138)
08/02/2019,34L1480012200,Vacant Lot,Land Bank,1,1614 S Woodrow St,72204,Title Insurance Policy,Yes,3000.00,City,,POINT (-92.305908 34.736008)
12/12/2017,44L1220006400,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 7),72204,Quitclaim Deed,Yes,,City,,
06/15/2017,45L0120015800,Vacant Lot,Land Bank,2,7319 Twin Oaks Rd,72209,Title Insurance Policy,Yes,4000.00,City,,POINT (-92.360183 34.663072)
01/01/2019,34L2450003000,Vacant Lot,Land Bank,1,2801 Barber St,72206,Commissioners Deed,Yes,3800.00,City,,POINT (-92.26135 34.721416)
09/27/2011,45L0110000400,Vacant Lot,Land Bank,2,9200 Adkins St,72209,Title Insurance Policy,Yes,1053.10,Federal,,POINT (-92.359669 34.667209)
08/19/2009,34L1890015200,Vacant Lot,Land Bank,1,2500 W 18th St,72202,Title Insurance Policy,Yes,3929.13,Federal,,POINT (-92.301684 34.733871)
12/12/2017,44L1220006900,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 12),72204,Quitclaim Deed,Yes,,City,,
04/24/2017,34L1780007400,Structure,Land Bank,1,2013 S Maple St,72204,Title Insurance Policy,Yes,13000.00,City,,POINT (-92.314991 34.732526)
06/12/2017,34L1690003600,Vacant Lot,Land Bank,1,4301 W 25th St,72204,Warranty Deed,Yes,2000.00,City,,POINT (-92.32190300000002 34.72881)
03/14/2011,34L1570018500,Vacant Lot,Land Bank,1,3823 W 19th St,72204,Quiet Title,Yes,2000.00,Federal,,POINT (-92.316941 34.734088)
09/27/2012,34L1750001100,Vacant Lot,Land Bank,1,3221 W 23rd St,72204,Title Insurance Policy,Yes,3908.20,City,,POINT (-92.310203 34.730142)
05/24/2012,34L1480008500,Vacant Lot,Land Bank,1,3108 W 17th St,72204,Title Insurance Policy,Yes,4718.21,Federal,,POINT (-92.308653 34.735503)
12/04/2012,34L1230008800,Vacant Lot,Land Bank,1,1812 Pinewood Dr,72204,Title Insurance Policy,Yes,4500.00,City,,POINT (-92.326381 34.734772)
12/12/2017,44L1220006500,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 8),72204,Quitclaim Deed,Yes,,City,,
12/12/2017,44L1220006800,Undeveloped Lot,Land Bank,6,35th St (Interurban Heights Blk 7 Lot 11),72204,Quitclaim Deed,Yes,,City,,
10/27/2010,34L0430001000,Vacant Lot,Land Bank,1,S Park St,72202,Title Insurance Policy,Yes,1435.06,Federal,,
07/25/2018,34L2870007400,Vacant Lot,Land Bank,1,3010 Dr Martin Luther King Jr Dr,72204,Title Insurance Policy,,35000.00,City,,POINT (-92.289979 34.719431)
08/18/2010,34L1480010300,Vacant Lot,Land Bank,1,1619 Johnson St,72204,Title Insurance Policy,Yes,6033.92,Federal,,POINT (-92.308144 34.735738)
07/08/2019,35L018011690,Vacant Lot,Land Bank,1,5509 Blueberry Dr,72206,Quit Claim Deed,Yes,16000.00,City,,POINT (-92.34287900000001 34.629088)
06/05/2018,34L1780015700,Rehab Structure,Land Bank,1,2308 S Martin St,72204,Title Insurance Policy,Yes,5000.00,City,,POINT (-92.311758 34.729901)
