School,School Number,School Type,Minimum Grade,Maximum Grade,Start Time,End Time,Telephone,Fax,Principal,Assistant Principal 1,Assistant Principal 2,Assistant Principal 3,Assistant Principal 4,Associate Supt. / Board of Ed. Member 1,Associate Supt. / Board of Ed. Member 2,Address Number,Street,City,State,Zip Code,Council DIstrict,Police District,Census Tract,Census Block,Census Block Group,Latitude,Longitude,Location
D’Youville Porter Campus School #3 (PK-8),3,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3120,(716)888-7004,Freddy Barrera,Kristy Giardina,Fred Sales,,,C. Wright,J. Mecozzi,245,PORTER AVE,BUFFALO,NY,14201,ELLICOTT,District B,70,2010,2,42.90102088,-78.89263012,POINT (-78.89263012 42.901020880000004)
Native American Magnet #19 (PK-8),19,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3180,(716)888-7042,Michael Suwala,Kate Wendling,,,,J. Weimer,J. Mecozzi,97,W DELAVAN AVE,BUFFALO,NY,14213,NIAGARA,District D,171,1018,1,42.92208083,-78.89576505,POINT (-78.89576505 42.92208083)
South Park #206 (9-12),206,Secondary,9,12,09/01/2019 08:20:00 AM,09/01/2019 03:31:00 PM,(716)816-4828,(716)828-4905,Theresa Schuta,Molly Forero,Joshua Miller,Michael Morris,Kathleen Thomas,J. Weimer,L. Petrucci,150,SOUTHSIDE PKWY,BUFFALO,NY,14220,SOUTH,District A,2,2000,2,42.85226588,-78.82373126,POINT (-78.82373126 42.85226588)
Lewis J. Bennett High School of Innovative Technology #363 (9-11),363,Secondary,9,11,09/01/2019 07:55:00 AM,09/01/2019 02:49:00 PM,(716)816-4250,(716)838-7490,Carlos Alvarez,Jamie Barden,,,,J. Weimer,S. Belton-Cottman,2885,MAIN ST,BUFFALO,NY,14214,DELAWARE,District D,45,1015,1,42.94462225,-78.83327159,POINT (-78.83327159 42.94462225)
Research Laboratory High School for Bioinformatics & Life Sciences @ Bennett #366 (9-11),366,Secondary,9,11,09/01/2019 07:55:00 AM,09/01/2019 02:49:00 PM,(716)816-4250,(716)838-7490,Angela Cullen,,,,,J. Weimer,S. Belton-Cottman,2885,MAIN ST,BUFFALO,NY,14214,DELAWARE,District D,45,1015,1,42.94462225,-78.83327159,POINT (-78.83327159 42.94462225)
Community School #53 (PK-8),53,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3330,(716)888-7099,Denisca Thompson,Shannon Moreland,,,,C. Wright,S. Belton-Cottman,329,ROERHER AVE,BUFFALO,NY,14208,MASTEN,District C,33.02,3012,3,42.9125697,-78.8491933,POINT (-78.8491933 42.9125697)
Bilingual Center #33 (PK-8),33,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4783,(716)828-4786,Hadassa Bachellor,Enadrienne Dubose,,,,C. Wright,L. Petrucci,157,ELK ST,BUFFALO,NY,14210,FILLMORE,District A,5,1000,1,42.8687754,-78.84804875,POINT (-78.84804875 42.8687754)
International School #45 (PK-8),45,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3300,(716)888-7074,Lynn Piccirillo,Joel Blasdell,Jennifer English,Elaine Hayes,,D. Jesonowski,J. Mecozzi,141,HOYT ST,BUFFALO,NY,14213,NIAGARA,District D,65.01,4001,4,42.91958742,-78.8868376,POINT (-78.8868376 42.91958742)
Arthur O. Eve School of Distinction #61 (PK-4),61,Elementary,PK,4,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3400,(716)838-7436,Parette Walker,Unseld Robinson,,,,C. Wright,S. Belton-Cottman,453,LEROY AVE,BUFFALO,NY,14215,MASTEN,District E,39.01,1009,1,42.93268061,-78.82915747,POINT (-78.82915747 42.93268061)
Middle College @ Bennett #335 (9-12),335,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:49:00 PM,(716)816-4010,(716)838-7507,Susan Doyle,David Potter,,,,S. Cimato,S. Belton-Cottman,2885,MAIN ST,BUFFALO,NY,14214,DELAWARE,District D,45,1015,1,42.94462225,-78.8332715,POINT (-78.8332715 42.94462225)
